cid,text,time,author,channel,votes,photo,heart
Ugyrqv2KPXxPknliIWR4AaABAg,https://youtube.com/shorts/gX-T3kCJAf8?feature=share,1 month ago,P🅾️THead,UC3lH9zOpghhRWOkkAJ27Gmg,0,https://yt3.ggpht.com/yVfG8wCCrg2jsoBdZMuqMbK1zYXfm1Mg3Iky3nwYOvV8xgD8gCQGyWR-SRtrlHTWA6Uw2NkB5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxzWsKN4AhNSjZ5GhB4AaABAg,जो इस वक्त मेरा कमेन्ट पढ़ रहा है/रही हैं हम लोग एक दूसरे के लिए अनजान है पर मैं फिर भी भगवान से प्रार्थना करती हूं कि आप और आपकी लाइफ में कोई भी टेंशन चल रहा हो तो  वह दूर हो जाए और आप और आपके माता पिता हमेशा खुश रहें😍🤩😇😘,1 month ago,SY Edits,UCYmm5NKX0b1zpfBrA_tNisw,1,https://yt3.ggpht.com/tZ5lwZVr4xBrPZdcKaTJFpHLOrMEpqL7kVZo1UE5YBznZxNvbudzFEaSR6DFo5WQYFHpCgRyY2I=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZAehSaXrQ4-YSbnR4AaABAg,"your one click can change my whole life 🙏😭😭🙏,,,,,,",1 month ago,G Chaudhry Sahab,UCPuzI2iKnaPF5VbtfOk_9kQ,0,https://yt3.ggpht.com/ytc/AKedOLSiCTuBzkshvyNrFtdjJ54rGGVicriSIJekZ-HE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-9k_7DsHxQQRmmAh4AaABAg,Most of these videos are amazing,1 month ago,Sekse Madhu Films,UCn2HqLhJxBa7WadaWszO_1A,0,https://yt3.ggpht.com/GPjWTJSgLndhYU5MEMXgH4j6dgv9v5QJjvKuj1Ffo-GD10eAEGDmG2p3usufyImvxFK5LFGJtQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_7j_mwNBZHlvvrtB4AaABAg,MEHRAMA SONG 💙💙,1 month ago,Apexa Patel,UC_F-wSrpK4TQcZ4bOvyn86Q,2,https://yt3.ggpht.com/-4cLcpPFHbht7CIcpG05PqDACmd8QbY0GweXOwJFptPYfgs9OhbVVVOPMFHJD2DAZp1Lmg-NxQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzf82Zz5e3jhDdcFeR4AaABAg,Arijit singh is the soul of this masterpiece album by pritam❤️,1 month ago,Anik Rahman,UCtsszP_xTaKqYp5b9YKlnHQ,1,https://yt3.ggpht.com/RMPl5DNpxmpwzfpXulclpHzy2FEevhW7tWqRBLHkovU2YPR93-iJ82bOQV1-cCe7naVOt4SzcA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0j4OTjlZcwasLQwd4AaABAg,Shayad 💖,1 month ago,Niranjana Kurup,UCHzTmEi2nqGb0VRiP29NmQw,1,https://yt3.ggpht.com/CngH84raQWz15tjP7Q2EYMLxt2exONsL7kS6zECawfz_6gPga8CQrEgjUgr7MA74Fa3FmJXoJg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbR0VKUdrvjtwPwYx4AaABAg,Arijit ❤️,1 month ago,Niranjana Kurup,UCHzTmEi2nqGb0VRiP29NmQw,1,https://yt3.ggpht.com/CngH84raQWz15tjP7Q2EYMLxt2exONsL7kS6zECawfz_6gPga8CQrEgjUgr7MA74Fa3FmJXoJg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9Nk97SVcKpiadkbZ4AaABAg,One of my most favourite albums of all time 🎧🖤🌙,1 month ago,MD. Ahnaf Asif,UC6rrr_BvV8hXiptLIPgYPWw,1,https://yt3.ggpht.com/ytc/AKedOLQZvRuvigx3feU71zGDGQP2hI6HnchvBRUl5olEZg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJkFukY0bX1gWkvUh4AaABAg,❤️,1 month ago,it's real,UCpJy0lObJqbuR-3ArJcK8mA,1,https://yt3.ggpht.com/ytc/AKedOLQRYeQY4vg05UomJZ8yyxmNGp6MYY5Sc6viSNsbGA=s176-c-k-c0x00ffffff-no-rj,0.0
