cid,text,time,author,channel,votes,photo,heart
UgwAwGMcm_laQt7Q2H14AaABAg,"""They loved so purely and dearly, that they never loved again"" ❤",3 weeks ago (edited),Taniya Hmm,UCj_TlCwVLx0GzwnXP2ljA9w,0,https://yt3.ggpht.com/ytc/AKedOLQdLrau301b8daAWjdhL74qDAM1WPNrfVqqKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBgf0661lmUHuDb_h4AaABAg,Every time I see Shershah Songs on TV and Internet.. I feel so happy that finally Sidharth Malhotra getting the fame he deserved always..,3 weeks ago,Preeti Rakesh,UCuE0NwHw4l_6lozWwwSlI1w,0,https://yt3.ggpht.com/ytc/AKedOLQe0smyAS-UtsQG5UAHtj3a24oE5lgkshrLggxjDw=s176-c-k-c0x00ffffff-no-rj,0.0
UgziOf1u8dml4UgVoGV4AaABAg,❤❤,2 months ago,Raju Malik,UCTaLcx0mxGde2JLzz1Uw38Q,1,https://yt3.ggpht.com/ytc/AKedOLQx7EF-PTpWsaRxCU0NJDjzzPq6CRaKrrFsOw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwc7wxBHAo9iWaYwdx4AaABAg,https://youtube.com/channel/UCLcSQUMWZyegV19nqwHhedA,3 months ago,Romanta,UCLcSQUMWZyegV19nqwHhedA,0,https://yt3.ggpht.com/ytc/AKedOLTGNSw1phVUdNh4yvgnbR4XEaRtK99GvYe3Tz8aLlPpP882gHaQHlRqyZFqZz3z=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyy-GFtD1HrpXmInSp4AaABAg,Sugam anno,4 months ago,Aishwarya,UC4wMVK0MMQcX9CaGiKeHyIg,1,https://yt3.ggpht.com/-v7TzOrGGvxNWybLPeoZ_P2S8mefycs0kqc8c233ivDF70-AVl9J3ofGv0OaPTplwAzXSWeX4A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjOJ775UDD186_V2R4AaABAg,Siddhart malohtra sir this film is awesome i watched #shershaah,4 months ago,Devarsh Seth,UCw-tzptd2AU59Qbc5Z-kahw,0,https://yt3.ggpht.com/pLOI2YSdP5EIoaE3btcj2VXgWR7zQvZLM0D6PWOQh_r46ZmFsobLvvHDtHZkDq1CD4GxbxqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPOwSNcjNuRnpzB-Z4AaABAg,I think that my fav..hero is Siddharth sir we love you......❤️❤️,4 months ago,shivprasad kanojia,UCDgKeuj588UovDUb81H2d6A,0,https://yt3.ggpht.com/ddpoGITG1gpRpawcn6VVN4BzpOjaCXtXeeF_G-o5noxEx9SEV3QYJbuj-nTfdq8WSLPrjcx6dQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyExPVEDTSRg8zpTbV4AaABAg,“That they could never love again”,5 months ago,Shivangi Yadav,UCEVDuHX0nl-7Zoxs9t3NNqw,0,https://yt3.ggpht.com/ytc/AKedOLRcrhDut3BSGmFXmXyCu4-PFCjqo_oHVQqGLd22vrY=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuXyLagL4RGACiitV4AaABAg,Plzzz sir orgnl sng upload itt,5 months ago,Amit Mahanandia,UC3zi-7ICfbftbfx0fC7T8wQ,0,https://yt3.ggpht.com/ytc/AKedOLTy4a-Zbi3_4Kf-nLtr-m56qmh5Qt5H56s5Bg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDuYfN-ccUJoo-igR4AaABAg,https://youtu.be/3zfJtNowsys,5 months ago,Raju Rastogi,UCjtx7NB0X2hiV0IfrKD-6IQ,0,https://yt3.ggpht.com/ytc/AKedOLQghwVES2HSYR8wY9Y74Tf0CgE6wXL8g9kfKQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8Y5q68OPKifsI5694AaABAg,"Never ignore a person who loves you, cares for you, misses you. Because one day, you might wake up from your sleep and realize that you lost the moon while counting the stars💝",5 months ago,Orange TV,UCv53ZvnWWHTac_u8F_ciXiQ,2,https://yt3.ggpht.com/Ag9HDg4LqhWiWXTlw9ywM2bzUcw0x2-z5zIEqrT00gqrP1qpk-hYXFKDl4XC5CFygRJPPo4PquQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9K6vvgXjWWL9oW7d4AaABAg,0:22 wow.... 💖💖,5 months ago (edited),Anitta Anil 7 C,UCmQsvd-54BJWxUKxw2gUICg,1,https://yt3.ggpht.com/EFEPwpouLsEsjvgSqZAA0reR2oxiBi5PfPYgmcFUhEqIOz-bZZYD2F1iZOcW9BXwT3GQGaAz=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZN85nX697oiycrRd4AaABAg,किथे चलि ए तू ... तू किथे चली.. ए... तू किथेय चली ए...मन नहीं भरता...बस सुनते रहो...,5 months ago,ajay kumar,UC3wjnAUAextKmGaJ6zFWWJQ,0,https://yt3.ggpht.com/ytc/AKedOLQrQwFZ6H3xZnVTxrKOPbetseOSNwa6779wUA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4RBSp7QdrOErGQsd4AaABAg,What a couple. Love u always Cute couple.😘😍🥰🤩♥️,5 months ago,ARTI SRIVASTAVA,UCytOCUGmzzk6MV1pJ_p-JCw,0,https://yt3.ggpht.com/ytc/AKedOLTFLXnymAXL1VJyBmbfwQouWEjRMD3mk4AwTA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_poz-v_kcfcWYV4J4AaABAg,"J= JUST FAVOURITE
U= UNIQUE VOICE
B= BLESSING OF GOD
I= INTRESTING SONGS
N= NEVER STOP SINGING",5 months ago,MD NADEEM AKHTAR Akhara,UCdcls6ht2ix83rELvxNm-dQ,1,https://yt3.ggpht.com/ytc/AKedOLRq7M-ySM5f4GyMDbMIwnPru5SpDUZrNzGvbVFw9w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDAB9T4ubbeXdSsdF4AaABAg,good,5 months ago,keshabnarayan mukherjee,UCdKpL0kicDTIb6Q9JSZ0_WQ,0,https://yt3.ggpht.com/ytc/AKedOLRxvZpyjouUAPZOLyt2z3P2J0NV7g4Om5oUDoJ2jZtnfPOAOsFkZis-QbVB2yp-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz28pEja0uGu0p6sRJ4AaABAg,Hi,5 months ago,patel  mahesh,UC1MN1rgwV5Q0jmTs4Gt_dzw,0,https://yt3.ggpht.com/uCZrFRQ8OlNgEWTAxkr4t3Or0LYtTLby2GhfMJ84_9cQhjtyjpXAHM70c1pGxVnZtun6D7Ne=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9fnFMu-Maak2aHah4AaABAg,Lllllll,5 months ago,Balvantbhai Bhangi,UCqn928IFBFC_jQ6RyTDOx4A,0,https://yt3.ggpht.com/0u621nzS9-zOrLp1uCCOAQNrqg_2ndVcttoH7qSJoo144IGN2lG68DBKeF6l0pC3CWiD3hbtLw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyex9NwnNgf3lrrPEN4AaABAg,👌💖I love you song so cute👌💖💖💖💖💖💖💖💖💖🎤🎤🎤👌,5 months ago,M bharath Naik,UCIyD8GKfXDBzTsQ73_t3meQ,0,https://yt3.ggpht.com/NMujmS9J1szjgkyIJMyfRq6v45l3Yjl7Wh9WMvcCZviM3XUuCqisacRFdFu7Woy0E-BWtIaiSw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjyQD-HJza7itYbG14AaABAg,Yaar English mein bakchodi kar rahe ho to film bhi English mein banaa liye Hote,5 months ago,Rahul Kumar,UC7foRj5gmsHnZJtMcQ9EwKw,0,https://yt3.ggpht.com/ytc/AKedOLS_fA8i3EXTQoetJR1nYWarO7fMg90J-Kd6d6ifh9jK6go02ae2zFUtW7nusxTO=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJh9h3bXSRHgLftHZ4AaABAg,Mr divesh,5 months ago,Nutan Chaudhari,UCwaGNNWmVB5gLrweP5_XB_g,0,https://yt3.ggpht.com/ytc/AKedOLQcUnfkgptsn9ZoH0wh8C3S1mYsUwok2pNBMmBNy_yjaSjtcmYdgpJUlA6rGt9m=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0919xzeKUEoLtBQ14AaABAg,"After the pandemic, Whoever has a father and mother, Who has a wife and a husband, Who has enough relatives is a blessing. Let's love each other while we can 💖",5 months ago,MR DJ NH,UCH325aPVFK2ocyo9akotxVA,2,https://yt3.ggpht.com/ckT6TEeJimXvfgCnZu5t-UT-yOa2art2ECbvYbCEryIw2tmEcQKLPZGd4eh89MNv6K-oJIKs590=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYcA_GTxWlb3hJmDJ4AaABAg,Nice song,6 months ago,A K STATUS ( status king ),UC5za_39k0PsJ7kQDWAskwZQ,0,https://yt3.ggpht.com/GzGeM_V8HfJAGu8mkUsGP5JIc-RXMFxPMY7H5cc_fbQNx9nyjv_-7mgUhQf_QBFWDvDIGG69=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPFBwhrgiLItq5JCx4AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Rahul Mahajan,UCbGejg6YGQg5FhWYlvV7N_g,0,https://yt3.ggpht.com/ytc/AKedOLSR3BOwhIH5F9rg25LrWe4j9_3GyeQGesSQfxmS=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaRvgU1UtjENL-Fg54AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Krishnat Kamble,UCGf3_JX3bylB3eP7OIcOhIg,0,https://yt3.ggpht.com/ytc/AKedOLQtjo1-nzwiFQACsLO-BURaUQ4ktjBCnE3gukatEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPgtPcG1k4OQjOhH14AaABAg,👍👍👍,6 months ago,Empty Vessel,UCJy8DKt3tAeR_JcxAoYz31Q,0,https://yt3.ggpht.com/a8OwlhUCxMkzF5UJ4hxqVYTbik_0BdkLhsgXvferekQ8cgHVstp30mYWVwEpYdBYmmAC0sF_Mg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzm5QZZZNaiJ_rxhAt4AaABAg,Baird❤️,6 months ago,Rajveersinh Vaghela,UC25YWwCQKMNFEljWZrR-y7A,0,https://yt3.ggpht.com/ytc/AKedOLSwns8ymXZz2d3Wgf5NNEy8c36caaGBF_Qd6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGco_fK1F6SFV938R4AaABAg,"﻿😚 Sweet Home ✨
🏠❤🏠💃💛🏃🎶🎶",6 months ago,Vanshika Vanshika,UCif22FGb_p6cK6xFXg5N1Bg,0,https://yt3.ggpht.com/ytc/AKedOLTCi5133mFPuTYpgOZ2la1E4I1LaM5UX9ZsBIeolg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwfDhQIqAvBdCPPWt4AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Rahul Mahajan,UCbGejg6YGQg5FhWYlvV7N_g,0,https://yt3.ggpht.com/ytc/AKedOLSR3BOwhIH5F9rg25LrWe4j9_3GyeQGesSQfxmS=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsmFpiWgHFagnZEe14AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Rushikesh Navale patil,UCgRumckN7Tua35_vAkCijVQ,0,https://yt3.ggpht.com/ytc/AKedOLTUACQ2Yq30UAfk69KX6nb7uGMmNBYsGxvGET0Gkxa_3vekLwF3J1S_3qstGi4G=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPKIIpBitgKHOAPTZ4AaABAg,Kiara honesty next level,6 months ago,Grace Santhosh,UC0KzvvVvlhnQm3g1j5NDiYA,1,https://yt3.ggpht.com/ytc/AKedOLTERvslUpHWuvdJVvGRqUe64OVd86vkfi_0Hg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwD04NNYQ-tHgAU5SN4AaABAg,Such a lovely 😍 songs,6 months ago,Amit Sen,UCWEF0V6k4ucNnSXvX3mrc6w,0,https://yt3.ggpht.com/ytc/AKedOLRxU_Jniz4zevl6FotOXoNHOxaYlCWvr2fzNQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYAl_Am-BEZgKGps94AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Kiran More,UCgzYEZ0rJOQXJ9zQ_Crgx6w,0,https://yt3.ggpht.com/ytc/AKedOLRBWWhT9IWUgqNFRdIPMfAzwM_YwB55vFaaomiX6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJavHl21NpQtUenyx4AaABAg,https://www.youtube.com/watch?v=GXzzp6ebX3k,6 months ago,Saurabh Mahajan,UCSpvn5wzCJZ_byOS6NWWgbQ,0,https://yt3.ggpht.com/ytc/AKedOLTzXqP0WoV0nDby1QTanguDkMzNKxtYwmkuNyrPLuBSOzNe1BB1Hd_yG8yLwfHb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWs41cMR3qOPOt6mR4AaABAg,Sid+Kiara😘😘😘😘😘,6 months ago,samim begum,UC4iqdL-DQM3dtICQISrT-6Q,0,https://yt3.ggpht.com/ytc/AKedOLShf6pqU0DOq8apZdir9QHw2WxpdH8yb0JtOsOAyeL9Na743nBP0gEjkcaw-NUx=s176-c-k-c0x00ffffff-no-rj,0.0
