cid,text,time,author,channel,votes,photo,heart
Ugz1hU4kbvNAyZHxlcx4AaABAg,@SidhartMalhotra,2 weeks ago,Rakshit Gupta,UC9h40be1Gr5LV39pAHo1fAg,0,https://yt3.ggpht.com/BD4rNEvdtZwxXGwUV-5k4-HjkupX6FvQL4D2MPJph87ifjVRAwyuQwhgW3aLz6ZtDFAYndglRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrxEPTlFDADIeSYr14AaABAg,Can anyone say about the resort location in this song,3 months ago,Priyanka Rout,UCO2B9bCvS2xBwTK3eLPlWRw,0,https://yt3.ggpht.com/ytc/AKedOLSepLHWUeRShawhRtbhUjlSJlbhlTP1iNaE4n6_=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQgja9enBJ6FAmNwd4AaABAg,This song is suitable for Valentine's day.Who agree?,3 months ago,Jahid Hosssin,UC_eVtcyVqragZMv0SVQwloQ,1,https://yt3.ggpht.com/ytc/AKedOLRGkfY-XnzpfNuBfwMnswJXPMzs3jdaba4FgQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAmcMODclB_p20HLR4AaABAg,Which place was this shooted man. great ambience for a great song..,3 months ago,MA Sidhiq,UCKU0M514v6fpYax13TR09bg,0,https://yt3.ggpht.com/ytc/AKedOLS09MBrh62nZ6B8ywTN_1N0_8LGnOwcvr1_dQPShg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxkDXzhaHFWbTjFQT94AaABAg,As I say two times. A one story,3 months ago,ACADEMY-21 FOR ALL GOVT JOB : BY-KAJAL SINGH,UCHXqWr7FxG09RpPi2rGDRJA,0,https://yt3.ggpht.com/zTIKqLiI87ZVejgJ-0jMKKPEClz8gVLgM9tK9HjjcQelKTUydpOLzAWRWpsIhCM65L6RFQ4cM5s=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx26EGOYEornshdV-B4AaABAg,Nice one movie,3 months ago,ACADEMY-21 FOR ALL GOVT JOB : BY-KAJAL SINGH,UCHXqWr7FxG09RpPi2rGDRJA,0,https://yt3.ggpht.com/zTIKqLiI87ZVejgJ-0jMKKPEClz8gVLgM9tK9HjjcQelKTUydpOLzAWRWpsIhCM65L6RFQ4cM5s=s176-c-k-c0x00ffffff-no-rj,0.0
UgzES0VawhkzcRYQW2N4AaABAg,Dear parents please let ur children choose whomever they want to get married If they are genuinely asking for ur permissions. Don't break hearts.,4 months ago (edited),Zig 123,UCT9r6UN05lnAAjtLrOo0Zdg,0,https://yt3.ggpht.com/ytc/AKedOLQ2T5UwoK3bqxHTUrPO4c2MeJa1RwyeyRt7gg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7VmROaFcoMWeL3Hl4AaABAg,A,4 months ago,Sourav Seikh,UCcuWyL68guJG8cuBgtxkpuQ,1,https://yt3.ggpht.com/8qUjyd9XvkuqaYpXCySvYYyQXpDAQSuCp4GFDl4jN4WoQM4BaqLAb9TOVY--uYnhYKEQ8tk8F4Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwFsh2tWwvH1CapkCl4AaABAg,"Listening Ranjhaa continously...
Mind :- Aur kitni baar sunega
Heart :- Ek baar aur plzz",5 months ago,Pankaj ahiwar,UCNtHUvxryjiJ3X8MVAbCuOQ,2,https://yt3.ggpht.com/ytc/AKedOLSx30WGnoYyf0mfTJx0Sy5OJlOqdu0DU8vb-mYVoBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLjqK4HP3-0MFnw_p4AaABAg,Any malayalees😂,5 months ago,The Art Palette,UCGfoMiHyhDhnCG-r7MjleXw,3,https://yt3.ggpht.com/UNWgtKf_aKAAviUxKuPJ0tt9X2QT6nkY-87T9o-dAIMQ17v48tt9CqM1WuVsaYZjrcJOD74VIQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-zmKk3J9TjLW3JNR4AaABAg,♥️♥️♥️🥰🥰🥰🤗🤗😍😍,5 months ago,Sheikh Meghna,UCI0u8hEKvzSAm6UXSKaSzlQ,1,https://yt3.ggpht.com/ytc/AKedOLQTSNCKOv8Ox_2d30B0EpEDdVja-gYtBIHG_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWzXg41UCurj4SVrF4AaABAg,Hindu stani ho ki or,5 months ago,GHOST ARMY,UCE2BN_gTljGAqljZbszoevw,0,https://yt3.ggpht.com/baiCcQ6--tWcyUi0NMpyhWfFXhtlcPXi8DBDMkrECIwYvsxlBS5XViYSUAkKVJOaH_LGVLGr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOkuLsDjki9MXvak94AaABAg,Haeeeeeeeee ❤️🥺❤️,5 months ago,Royal World 99,UCJO91VfPz_0XL2Cv4gy6R4A,1,https://yt3.ggpht.com/qxydvNAhYtEODZ8wBWUnl90BuR87e21s31LdW97Xxc4jB70wpO2oVXUYIZTnPg1o5dXw7nVIF3o=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaZHagNJV7i5AlrrV4AaABAg,Million and Billion salute Captain Vikram Batra and Dimple . And again Million and billion salutes for Siddharth and Kiara because they do roll of  Captain Vikram Batra and Dimple,6 months ago,KANCHAN CHAUDHARY,UCq73h1uUimiN8TRHrvAnggg,4,https://yt3.ggpht.com/ytc/AKedOLRi2PmpAcbXRR2IasKdTC2anktmGBfkDUrbig=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBt-2T3qDL0NErCpV4AaABAg,So romantic 🥺🥰💋😍❤️😛😆,6 months ago,Rohit Ghale,UCaj5Db5PSjlw_5q1khXgKqw,3,https://yt3.ggpht.com/1L1T_kF7QPhqFln1fVWQSzakqW_yaVfOja5r_4PW6RR0_Og06vJfb8hsYaaqdUMCw8uGvbO9TQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-UD0ep_w9BYifdDh4AaABAg,https://www.youtube.com/watch?v=t87KsMwfktY,6 months ago,Krishnat Kamble,UCGf3_JX3bylB3eP7OIcOhIg,0,https://yt3.ggpht.com/ytc/AKedOLQtjo1-nzwiFQACsLO-BURaUQ4ktjBCnE3gukatEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzPk3GkayLqQWEOet4AaABAg,https://www.youtube.com/watch?v=t87KsMwfktY,6 months ago,Rahul Mahajan,UCbGejg6YGQg5FhWYlvV7N_g,0,https://yt3.ggpht.com/ytc/AKedOLSR3BOwhIH5F9rg25LrWe4j9_3GyeQGesSQfxmS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7QP5_mNmlZTzA1Sp4AaABAg,👍👍,6 months ago,Empty Vessel,UCJy8DKt3tAeR_JcxAoYz31Q,0,https://yt3.ggpht.com/a8OwlhUCxMkzF5UJ4hxqVYTbik_0BdkLhsgXvferekQ8cgHVstp30mYWVwEpYdBYmmAC0sF_Mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzH4PyC8bDCcAXhyKh4AaABAg,😍😍❤️❤️,6 months ago,Rukhsar Zeri,UCjTMtNFJWpUY3UYd2ZnErpQ,0,https://yt3.ggpht.com/ytc/AKedOLQZ46XG9WFH3Vwjali-elbZvjACixV4D6SN5ONNCw=s176-c-k-c0x00ffffff-no-rj,0.0
UgywPUQXzxe-7XkoXid4AaABAg,https://www.youtube.com/watch?v=t87KsMwfktY,6 months ago,Rahul Mahajan,UCbGejg6YGQg5FhWYlvV7N_g,0,https://yt3.ggpht.com/ytc/AKedOLSR3BOwhIH5F9rg25LrWe4j9_3GyeQGesSQfxmS=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvL2bdwo1JH5YEvz94AaABAg,SHE HAS SO LOVELY VOICECTO EARS🥰🥰😘🤩🤩😍😘😠❤️❤️❤️,6 months ago,Sakshi Shirke 41,UClaIs83_FtnrBf6x1atbFZg,1,https://yt3.ggpht.com/ytc/AKedOLSzeVeZuP5CQHcdxytvkZbf3fvrviPU44VhY09f8bQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmI32TrMnEGk8aHwt4AaABAg,Sid and  Kiara have very pure and very natural chemistry ❣️,6 months ago,Kashish Chauhan,UC6LPhwKjTArN0s-lHjUPv_g,9,https://yt3.ggpht.com/ytc/AKedOLQgDfK9Myvz0pYA2NDtzshrgf23UKFNjvx7KiW7UJwt98-8d_D0bZgpwRf7h30P=s176-c-k-c0x00ffffff-no-rj,0.0
