cid,text,time,author,channel,votes,photo,heart
Ugz7w9q-kH1fhpwWS1l4AaABAg,Felt lil jealous of Jasmine  di when she touched amaal's hair but anyways you'll look very cute❤ lots of love,2 weeks ago,J d,UCVmqo1elTEs3wcTRYKaLLLQ,0,https://yt3.ggpht.com/ytc/AKedOLROD8686aXhbODuFbOfadZuBh5wka7NhrDZt9paO60JRDvJ-Kzqy7DzwkWylYZy=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSoekN8J5vsGRXJZV4AaABAg,Bffs,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwl7HPr9gXluUSOEHB4AaABAg,When they are coming back #jasmaal,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtI9dIToLDTSCWAS14AaABAg,They are best friend goals 🙂,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7MYr89PAO3ofBVLZ4AaABAg,#jasmaal 💓,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4_K_riQxG2rvg9px4AaABAg,💕💕💕💕,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLT7tIQEspQTZvp894AaABAg,Jasmaal ❤️💕💕,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzrs6fWzPkZu1qFMe54AaABAg,Next project kab aayega... Missing jasmaal badly🥺🥺🥺,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxaa-FA6x2nBXNUB894AaABAg,Jasmaal ❤️,2 weeks ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_VjoFqDv6lFjd-U14AaABAg,#jasmaal 💕,1 month ago,sirisha bhukya,UCq0_yuFOQvqYiq1fPmm5saw,0,https://yt3.ggpht.com/ytc/AKedOLRBRnLyixdUt0yEPKZB9RFAz_AeYQnox4c1bQ=s176-c-k-c0x00ffffff-no-rj,0.0
