cid,text,time,author,channel,votes,photo,heart
Ugy6_HJGShaeXn0T6Ld4AaABAg,Wow really cool music new friend from Thailand I love India music,6 hours ago,จินดาพร Waa's Mum,UC6bhITl3hG43wPWLODzFKCw,0,https://yt3.ggpht.com/ytc/AKedOLQyyVbgojG19eq_IxwnZIgSUXgdDdqHAu8_jOSf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx69-7aG1dILX5mYMJ4AaABAg,❤️❤️❤️,15 hours ago,Dinesh Patel,UC4EuW9mBpnnOTvjgcljKS3w,0,https://yt3.ggpht.com/ytc/AKedOLTk30W_3ImkRD4si68_m-Ny3BnSkKGNfzWk5XAt=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGBkAWS49cUbgGV7V4AaABAg,Badshah Hit Song💯🔥,1 day ago,G.P.F MUSIC RECORD,UCeRqMXcASkxoCmKcpB-isZQ,1,https://yt3.ggpht.com/pdOtULQiq8IrO6xtdkvSC2Rlg-4H3_yIxXLBSMNQmhomyVp6_9qKidmvMg-gJSam0XkKnf9Q5PQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyt3AyL1He_KDrg_sd4AaABAg,"True line----👉 भाईयो कभी हार मत मानना 🔥 क्योंकि आपकी मां ❤️ आपकी जीत की आश लगाए हुई हैं""""🙏🙏:::::::::::::::",1 day ago,World Love Status,UCqYNgn21aZeqXmSPOFh1QBg,2,https://yt3.ggpht.com/3w3V93JgxToxFadRAtb6LHnjn90jpRb8eZ6tL8Rf8FI3TjD9JTEfswjNZFvjZBBlj0LRt4RcVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcBcn4FwCWlaaPwE14AaABAg,Wow 🔥🔥🔥 amazing,1 day ago,Harsh Pandey,UCYhPRRovHH5zjfEmD9u6rAg,1,https://yt3.ggpht.com/ytc/AKedOLQhSGCMAukR2nf_p4cGiGSaF1y69ZIoAIKH8gslKzG-lhHNvA15t0h8cgXvndJ3=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxti6MoNnGs15cHfLt4AaABAg,😌🎧✌️🔥🔥,1 day ago,Sima Bhoi,UC3hnVVLlhM_WZP3ObnLNzrQ,0,https://yt3.ggpht.com/DTxwyzAQYpqsUh1J9jHBswB4ZoXl95WXh7NDuwYJ3kcpvbB-8n-9lqP5s87Qyl59Nu81pQPwdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgytmoCvUFuzj4S9P7B4AaABAg,Nice song badshah bro bahut hi pyari awaaz aapki,1 day ago,Anokha Abhishek Star,UCL8BJ6T6ZUmhoD6CjQE0gvw,0,https://yt3.ggpht.com/UI2-okMxS89Y5zIrByXdLgBM9urfUc41v9PRGABbcuEVumQuT6VMil_z1_ryXiKtgNqAiHSEERk=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzydpT9DDkTd8WDKR4AaABAg,Badshah MERI Jaan Yaar,1 day ago,DEVIL-YBR MUSIC,UCCGaebCnxCP0yEfKgLa5L7w,0,https://yt3.ggpht.com/ytc/AKedOLTsOkKppELzHt2-h1nJub-_LyCotz8ygYagQDTS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0LptmYpF70LGfVvB4AaABAg,https://youtu.be/Jq3SNWekXsE,2 days ago,Aliya khan,UCfRB2JQ6z-WQkn39_jqIhhQ,0,https://yt3.ggpht.com/ytc/AKedOLTwOVpa_Bzss9n7xZ2GOKQGB17vFCKR95nmTdOGfF2jnIgH7KMNiexKrqhl94EN=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxetx6RleMdMTHdKRh4AaABAg,"If you want something
You can do...",2 days ago,PAYAL GUPTA U2,UCLpstiYkUUWNdy7NSYBxjqg,1,https://yt3.ggpht.com/wQXmYWLv_cLjpY5bv4mlELWhLvJr6GCjD0xB1LElpDiXkRlSfxKNOxxX482oOFMWmQ58xjyt=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwspv3bDEW1NRgIUut4AaABAg,"I Respect Everyone who were involved in this, seriously the best piece that I've ever seen on YouTube▶️",2 days ago,The soul of magic,UC_Ssl3OQTCjIqH3yvmacT2g,1,https://yt3.ggpht.com/Te18Aj8Xq3FFJyt7Uvm-ytarZ3Dm1WZE9BVJhJAYEPXbchC_HZSsRxhcRQj9ZrR57fndFN5D=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7XZ-dTrsn_bVJQgd4AaABAg,Nice 👍👍,2 days ago,Himanshu Kesharwani,UC0PZvcaPVYDwjPfbyNPYyXA,0,https://yt3.ggpht.com/ytc/AKedOLSfPdQEjR-IVG5-gc-wEfgxhncfsP197KaCRxRi=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTHyAJO-l3tGW_dJN4AaABAg,Jai mata di 👍 super hits song 💯💯😊,2 days ago,KS-SERIES,UCMc3Gj6BQIjhAazva-yHfRw,1,https://yt3.ggpht.com/7O37i4fyUzkYIP83JBfq-HUInydYLhamwPXhnSVdzepYLWgQqfPpq_cFpudkK79TF0JvSNShzA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwe07ZPjOmCVR2Ppmt4AaABAg,From India,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
UgxoPuSfCbqj_aho7d14AaABAg,Nice,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_81ltkKQXwR21Bed4AaABAg,Badshah,2 days ago,Siddique Offical,UCZmTh9PkwOx--oKqzrIFdNw,0,https://yt3.ggpht.com/A9SLo440GnjLaJYUyydnXNQSlZlG757FUrm_D8-Vn-cNKa2jeZcX5ULTorWsgT-CJACtxMjX=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpDsLK5pqY59QHB5N4AaABAg,Jai mata di 👍 super hits song 💯💯😊 song,2 days ago,Krishna Aditya Singh Melodies,UCtbJjwygnSEgC7XExBuwZuQ,0,https://yt3.ggpht.com/neNvazHVoAUFrmN9Ogpb3J-HonBhTqsYVEkGZqniRjFx3-CrSMnNn83f3vB2eJBa6KZdJVMNDbw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJyybo2wV1a_8NYyd4AaABAg,"i will comment later, i am in the hospital my cousin brother swallowed a 16GB memory card and he is singing in it.. we just pray he doesn't reach video folder",2 days ago,Xavier,UCJEj_DSA33H-X3Fj3ULFMSw,0,https://yt3.ggpht.com/ytc/AKedOLRHFf0zaMMNZ1yoT04fnH7OofwKyuD_UczaXsc=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8zP1n3N_pn4CkQdN4AaABAg,Love me songs,2 days ago,Anurag Goutam YouTube per,UC0H3D2C4dMSkXfEV8bf9aQA,1,https://yt3.ggpht.com/GRKn19WHsOYnm-AlcLg5ARVmvtCDI7HGXZbuKGQtTKeMNLheT2rXJLunhgOf-3NNg1qXmVSq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0ZGRCuapi_Q4VoJd4AaABAg,💝💝💝💝😍😍,2 days ago,Arjun Shaji,UCrc9GyQ93N5tqgER1Xw7L2A,0,https://yt3.ggpht.com/ytc/AKedOLTkBUF0MjsSqdc1vgzdXUNY369QUall4Nvjgh5jUEbd3MTpkHY1y_UV_REK5b1c=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkZn2jpzu6c9hnSbZ4AaABAg,Big fan bro 😎,2 days ago,MR ( Munna Khan ),UCaqisnchosIR1ZpRFPJdKLQ,0,https://yt3.ggpht.com/YpUN6xAmi12m0j49lZWMVdaL9oJNaIZ_riQtUTkG4KLfUHloltCc5Zzg9H5hTlFBnGJZ1HPU=s176-c-k-c0x00ffffff-no-rj,0.0
