cid,text,time,author,channel,votes,photo,heart
Ugx7Uo2re-x37RdPb5F4AaABAg,"Hi. thank you for making this video.
I already installed python 3.9.12 version on my macbook, but when I installed anaconda then check what version of python im running.
It now says version 3.9.7
I would like to know what happened and is there a way i can update my python to 3.9.12 again?",7 days ago,cid let's fly,UChFfX4_rFemhFdwcPw9TfXg,1,https://yt3.ggpht.com/ytc/AKedOLT9FVCuHCOIE9TxxYSue_OWtbuFYJSwZTkv4w=s176-c-k-c0x00ffffff-no-rj,1.0
UgyOYm1YlMdJBhQ5Xtp4AaABAg,Can you also make a video on how to configure terminal with the theme,2 weeks ago,Shubhang Kohirkar,UCXDzfA0E81HruU2Q6PIB-8Q,1,https://yt3.ggpht.com/5rZzYeVJMMsSwdSK1jr-uyp0oi9XUGX2xvX6ZqVCYILoVjjNJCUZMgLaJzbELXuKqM3MBXW1FQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwYs0TvDt25Y5LoUgV4AaABAg,"This video is so awesome, I want to get into DS w/ Python, and this is great content for sure, thanks a lot professor",4 weeks ago,theBATfamiliar,UCBwGitSzcEnrEDWv5BiPduA,1,https://yt3.ggpht.com/ytc/AKedOLS_nSP4Sy-jqNL__9Vu1JJpkURKqZmnR6YVxUTjZQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyyn6OJWljHPb0Banh4AaABAg,hello brother please make a full playlist on python,1 month ago,prashant kandarkar,UCTzOWxxSdNZAjT9EH6nM0dw,1,https://yt3.ggpht.com/ytc/AKedOLSQn0tq_G6tF5nyoHtyb5rrUyCb44NVwoXteltHJ3g=s176-c-k-c0x00ffffff-no-rj,1.0
UgyKC5WkCiTaAEQpLa54AaABAg,How do you make your teriminal look so clean? Just ~ -> ? mine is so much messier lol,1 month ago,Jay-Dee,UCXjI4OuUWJt6mE_61E8TpCg,1,https://yt3.ggpht.com/ytc/AKedOLTJVx_WEF_30nCIqfzUsTtcwcg8jOkduJhTBw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyR8Ku3hJqs7YWgsgJ4AaABAg,Well done bro….nice work,2 months ago,Vijay Kumar,UC6wXmSpjvHztOkYjVovzbhw,1,https://yt3.ggpht.com/ytc/AKedOLR9edY5cPMX_SLwsSYvH7bAwu_Fk8eVn85qFymD=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx3ZP2NqVAuxoHdCHh4AaABAg,This video was so helpful! Thank you,2 months ago,Lebz Gold,UCNuGRGADlVBFCCu-I5JlZYQ,1,https://yt3.ggpht.com/ytc/AKedOLQ9b1LYw_8kqkywVP3tKzUND9eu0sLzYG9jyscznA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxxZQvJLrtTAXQwlfR4AaABAg,"Hello Toufiq, did you start classes for Python. Kindly let me know.. glad to watch your videos",3 months ago,Saritha Bandapati,UC6OUm3EHahE0af6LHK1ILwQ,1,https://yt3.ggpht.com/l-rJAC5-CHNvakEqJcits86y9RZMuTAfLGYLThVens2ZYcNSqOvgimEfkklz-GOzB674vrJU_A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw811Oekp0GFs2Vrll4AaABAg,Please start a video series on NoSQL like MongoDB,3 months ago,Ankit Debnath,UCzIjjii353W-s7gTX7knnzA,1,https://yt3.ggpht.com/ytc/AKedOLRA3ism53BDv6HTzfdISk3gf9D9ee6mZ6FopnThpg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwUF7qrcx1bjf3J-gB4AaABAg,"this is useful video. one thing im missing here that how to use jupyter note, please make one more video regarding this thankyou",4 months ago,Md Masroor,UCQAu1sAAClzpJZWXIPvOsfw,1,https://yt3.ggpht.com/ytc/AKedOLTJH1o5xswFF4aczl4tmAdrGGHNsUlfJ0-Afe476Q=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx2y0iN8feTSVoVaMJ4AaABAg,"This was a clear and useful explanation of 1. the purpose of Anaconda, 2. how to install Anaconda, and 3. a few examples of how to implement Anaconda for an improved workflow. This video resolved an issue I was experiencing around the opencv library, and helped my understanding of virtual environments. Thank you!",4 months ago,Jacob Morgan,UCEfNPJBZ0eI7OsjwjCtf2GA,1,https://yt3.ggpht.com/ytc/AKedOLRiNTvzjFhgK-SZROw0PvtVHkXDoMtgWAVLEkSfCo5AwCrVQqCE5JyEi6MF60X6=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy224pc9EtskqPXOeJ4AaABAg,"This is such a helpful video , no other video is as clear cut as this . Thank you",5 months ago,Ayesha Ali,UCfSKEp0KHabjqO-P4T9X4pg,1,https://yt3.ggpht.com/ytc/AKedOLTkAwTpfuMP9zikJSEzxC_vEca_otMGwwYHFiiz=s176-c-k-c0x00ffffff-no-rj,1.0
UgxmbWlvLiI3q9vuHVp4AaABAg,i mistakenly selected install for me only,5 months ago,Ayesha Ali,UCfSKEp0KHabjqO-P4T9X4pg,1,https://yt3.ggpht.com/ytc/AKedOLTkAwTpfuMP9zikJSEzxC_vEca_otMGwwYHFiiz=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx5nEnA5VNg5h03o2B4AaABAg,Thofiq all you trainings are really great! Is it possible to give a full training on anacondas ?,5 months ago,Moo Sa,UCh4EU7aQReIO3ROuOYmrLKQ,1,https://yt3.ggpht.com/ytc/AKedOLTG4Bj6GM2-oIbVRcbSQoOwojQuSpOGHtnUciCv=s176-c-k-c0x00ffffff-no-rj,1.0
Ugxhj0x_NVUpxb7W-xB4AaABAg,Thanks for wonderful videos. Please suggest any good resource to learn Python for Data Science.,5 months ago,Ahmer Jamil,UCgN0l__ampFX6VEjflP_g5g,0,https://yt3.ggpht.com/ytc/AKedOLRiXc3Zb39qnkOVziEMyEVaum6i1pBi4ert0QJ4gg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIRAdaxwIOPVZZedF4AaABAg,"Thanks 
Is anaconda works in python 3.10",5 months ago,Aaaq Aaaa,UC4tlOkmm3bAB9kjhrvJfhsw,1,https://yt3.ggpht.com/ytc/AKedOLTOU73UkcF_1Ru3jEdNc_9KBa0ApkqxdF-ATA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyXI-R_SY3AF2y8Gw14AaABAg,"This was great to learn what virtual environments even mean for a newbie, thank you! Very good explanations",5 months ago,Tony,UCYMXfcMsFXBhTeJRpW2N2wA,3,https://yt3.ggpht.com/ytc/AKedOLT3UadhS1wa7rdaS8fuIX-hIqKD-69lJodDY8Ltlvs=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz1MnKYmj9bDObCWoB4AaABAg,I struggled for weeks with pandas till I watched this video! huge thank you bro :washhands::washhands:,6 months ago,Amal Bouhmame,UCjMN5bC154HV4I6ROQ3oEQg,1,https://yt3.ggpht.com/ytc/AKedOLRxESzxjmLnnGUJe92_gfD1vyILSUrcFlH2F8Yb5A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx4TJvij_p2LH0Y3op4AaABAg,"My conda doesn’t have pandas, why could this be?",6 months ago,bluewaterhorizon,UCM0NCKQtT-m4dYbbWKu19-w,1,https://yt3.ggpht.com/ytc/AKedOLTIxx2d7HgyECGXNiC_-EFRpJH2m9OKtO_fWCdn=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz7WwicdwezGJnvIRN4AaABAg,"Finally, I undertood what ANACODA is all about! Amazing video, it has a very good flow. Thank you so much.",6 months ago,Dimitris Anastasiou,UCdrQlcy6HiWQiylZddei6NQ,1,https://yt3.ggpht.com/ytc/AKedOLR7hFknOu823vK0puLtNa_taxn0XCZIeA4_77eqAQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx7Uo2re-x37RdPb5F4AaABAg.9_Z52XWCI099_a-FTSVU0w,"Your welcome..
I think anaconda had python version as 3.9.7 ..

In you terminal if you deactivate conda then you should be able to see and work with your standalone python which is 3.9.12",6 days ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7Uo2re-x37RdPb5F4AaABAg.9_Z52XWCI099_a6qpBsQjg," @techTFQ  thank you for the reply. Im still a beginner, so maybe ill just leave anaconda installed. Ill try to explore anaconda while im learning at the same time.",6 days ago,cid let's fly,UChFfX4_rFemhFdwcPw9TfXg,1,https://yt3.ggpht.com/ytc/AKedOLT9FVCuHCOIE9TxxYSue_OWtbuFYJSwZTkv4w=s176-c-k-c0x00ffffff-no-rj,1.0
UgyOYm1YlMdJBhQ5Xtp4AaABAg.9_8ymxIn9Xe9_B5YoHZJGK,perhaps in the future Shubhang,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYs0TvDt25Y5LoUgV4AaABAg.9ZgBQYRHkUt9Zh4G2AbqON,Awesome buddy.. glad you liked it,4 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyyn6OJWljHPb0Banh4AaABAg.9YuzHqKR8hV9YvzmKjVkKH,I have made one already but I plan to do another one in future too,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKC5WkCiTaAEQpLa54AaABAg.9YiaLEE9ihc9YjAOu5fUkZ,Just some settings bro.. perhaps I’ll make a short video on how to do it,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKC5WkCiTaAEQpLa54AaABAg.9YiaLEE9ihc9YjDV8gsOKZ, @techTFQ  would be really appreciated. Literally a 1 or 2 min video if you don't want to make it longer,1 month ago,Jay-Dee,UCXjI4OuUWJt6mE_61E8TpCg,0,https://yt3.ggpht.com/ytc/AKedOLTJVx_WEF_30nCIqfzUsTtcwcg8jOkduJhTBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR8Ku3hJqs7YWgsgJ4AaABAg.9XgwZ4wOnSQ9XipT4UGLvO,Thank you Vijay 🙏🏼,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3ZP2NqVAuxoHdCHh4AaABAg.9XQnnW0XWWB9XQo6lyhma7,"Your welcome 🙏🏼 
Glad this helped",2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxZQvJLrtTAXQwlfR4AaABAg.9X3QRcXKdpo9X3QsviIxXG,I wanted to but got stuck with SQL in the recent weeks but I will come back to making some python videos soon,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxZQvJLrtTAXQwlfR4AaABAg.9X3QRcXKdpo9X3RLF9KCUo,"When  you start please let us know,Toufiq",3 months ago,Saritha Bandapati,UC6OUm3EHahE0af6LHK1ILwQ,1,https://yt3.ggpht.com/l-rJAC5-CHNvakEqJcits86y9RZMuTAfLGYLThVens2ZYcNSqOvgimEfkklz-GOzB674vrJU_A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxZQvJLrtTAXQwlfR4AaABAg.9X3QRcXKdpo9X3RdO_pXcW,Sure will do Saritha ☺️,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxZQvJLrtTAXQwlfR4AaABAg.9X3QRcXKdpo9X3S3IFzb_d," @techTFQ  Sounds good, thanks😀",3 months ago,Saritha Bandapati,UC6OUm3EHahE0af6LHK1ILwQ,0,https://yt3.ggpht.com/l-rJAC5-CHNvakEqJcits86y9RZMuTAfLGYLThVens2ZYcNSqOvgimEfkklz-GOzB674vrJU_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw811Oekp0GFs2Vrll4AaABAg.9W7pFYWJoVk9W7phqoEeqf,I plan to Ankit but after a few months when I am done with the contents that I have already pre planned,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
