cid,text,time,author,channel,votes,photo,heart
Ugx8Mno35jiEvlREjAZ4AaABAg,"Visit http://brilliant.org/techTFQ/ to get started learning STEM for free, and the first 200 people will get 20% off their annual premium subscription.",1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5y7g9JPEQjKJkj9Z4AaABAg,"Can you please explain why right join  was used to join the manager table to employee table. Why not left join since the employee table is the reference table. 
Thanks",8 days ago,Tosin Omotayo,UC9w4Kqgc07VqRgNgAEjb8ng,0,https://yt3.ggpht.com/ytc/AKedOLQmgub8CyOC6x6Rfx4kR0AjD6XS4GI_M0v6GaSfIK4vlymPBFAlpJuZIawTr457=s176-c-k-c0x00ffffff-no-rj,0.0
UgygbJWXmCtAhMSKK-54AaABAg,nailed it,1 month ago,Hussain Vali,UCohP1CUco2ae0IhIVicY9XA,1,https://yt3.ggpht.com/ytc/AKedOLSJPwo_9Tbbg7KupUEvozYITZS0zQNy4sc7fA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzWCLCGLebjsaxHw0x4AaABAg,"Nice concepts, if u have more time, please make video on power bi. I will be thank for u👏👏👌👌👌",1 month ago,Anupam thakur,UCU1py6KtGv19CEiTRP09_BQ,1,https://yt3.ggpht.com/ytc/AKedOLRh6ykY8lYocTJzy0BJ8cNJBDrSqyOQ33wJviH3qg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyKe7h3VAn_30P9j1x4AaABAg,"Guys, where can I dinf the scripts w/ the insert statements for this video, to practice on my local, thanks",1 month ago,theBATfamiliar,UCBwGitSzcEnrEDWv5BiPduA,1,https://yt3.ggpht.com/ytc/AKedOLS_nSP4Sy-jqNL__9Vu1JJpkURKqZmnR6YVxUTjZQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxdofYDe13qu2Zgo7l4AaABAg,"Thanks for the video man, really awesome material, just one QQ, I'm used to work on postgre and mySQL, Oracle,  but now I landed a job with a company that heavily uses MS SQL Server (not my favorite engine) still, are all of this concepts, also CTE applicable to this RDMS? thank you.",1 month ago,theBATfamiliar,UCBwGitSzcEnrEDWv5BiPduA,1,https://yt3.ggpht.com/ytc/AKedOLS_nSP4Sy-jqNL__9Vu1JJpkURKqZmnR6YVxUTjZQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw5Ui_2WnDo-ILfK3h4AaABAg,Please suggest some places where I can get good practice questions for sakila or any other pre-installed database in MySQL.,1 month ago,Ashab Humza,UC3kPtknAX06goCUf5gpIcog,1,https://yt3.ggpht.com/ytc/AKedOLTW4RHkY-sG4yVu3SW21YfUwiYaigiq6ClUng=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyXgmsc7xoqZ0_Did4AaABAg,"I really want to practice questions on subqueries and joins but I can't find it anywhere for free.
I have tried everywhere, please suggest some good places where I can get good practice questions.
Currently I m pursuing data science course.",1 month ago,Ashab Humza,UC3kPtknAX06goCUf5gpIcog,2,https://yt3.ggpht.com/ytc/AKedOLTW4RHkY-sG4yVu3SW21YfUwiYaigiq6ClUng=s176-c-k-c0x00ffffff-no-rj,1.0
UgyQiVlcgvt8CiYx6mF4AaABAg,both table are in different db  but I didn't understand of writing @,1 month ago,Md Kasim,UCvzzgLJFi1OjYZ_Ju_-kWMw,0,https://yt3.ggpht.com/ytc/AKedOLRms9cPD0s_P3mhztjl1FOUElQPbW2ztIWA-9OcOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHGvejubT3bmQkHBl4AaABAg,"Hii sir...I want to join for the classes you are going say for next upcoming dates .for 25 queries ua going solve
..I need tht link sir...",1 month ago,Shivan Gouda,UCS3WolV0R-IYkp6BCi6Q05Q,1,https://yt3.ggpht.com/ytc/AKedOLQfVoNpgm7L9pVEmvP8zbLe-gp8HlF1lD0c6EHrQLs=s176-c-k-c0x00ffffff-no-rj,1.0
Ugxf405XYqRLYomFziF4AaABAg,"The best SQL  tutor....
Great explanation....",1 month ago,Shilpa Sannamani,UC7MOmDZKyt3ajOtNqRXVzmg,1,https://yt3.ggpht.com/ytc/AKedOLRb27MT1988xfcXbRJIoxcsYt-Q5sswEgSQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwE-c_wr3R_MERxwtZ4AaABAg,thanks for the explanation. Are people using the Non-ANSI way of queries anymore?,1 month ago,shashank emani,UCX2Qc2I6kPkyH2iyK5Ta7Iw,1,https://yt3.ggpht.com/ytc/AKedOLQepJaTBbD52v2bbt7W31eATbaWKy7xIcpU7yzq374=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz99isQTAIJlpg378B4AaABAg,"Hi Thoufiq, hope you are doing well. I want to learn about pl sql. Can you please make a video on that topic please . Thanks",1 month ago,Revathi Muthu,UCJcT1tMn9w-NmPIWgzxfN_A,1,https://yt3.ggpht.com/ytc/AKedOLTBLnD8HwyUIQVi12Qq_styNK_TvvTfhe6b8WsEEQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgyM2y7WbqMvqVzM41l4AaABAg,love your method so much. can next video cover for hierarchy tree please?,1 month ago,Zaid Ghani,UCfoq3__IcO8I57gPWBkK4_A,1,https://yt3.ggpht.com/ytc/AKedOLSCoEJmnwbmbW3MOJv3Vzr3MKKk0wZOJ4bJ5w=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz-Snstnm8OZXAlGS54AaABAg,"Hi, can you share table data as well? And I also would like to tell you that I was able to clear the interview for a data analyst at Delhivery today. Your video helps a lot. I will let you know if I get the offer letter. and also can you share good resources for learning google data studio?",1 month ago (edited),Abhimanyu Tiwari,UCYDBrmzcx2gVivnYnoZ5lKw,1,https://yt3.ggpht.com/ytc/AKedOLSzYVxs8Acxjd7heLavHTBtfPLiLM6I7OxItXL6eA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwZIBBjwPy85rkvHJt4AaABAg,Nice sir..,1 month ago,r k,UCBamWQ-WHyPmjbLn0-nSOkw,1,https://yt3.ggpht.com/ytc/AKedOLSfjYKvYslzbnMbUA_Rs0x9EeTBTK6b_VPa_g=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy73HzuKCYjAl_Y4BN4AaABAg,"Hii, Thoufiq hope you are fine. This the first time I got to know that terms like ANSI n NON-ANSI also exists. Thank you Thoufiq for delivering the best content through your videos you never disappoint us. Looking forward for your advance Sql sessions.",1 month ago,Agrim,UCPXwV0x9J1k9zrlJnVGuvAw,5,https://yt3.ggpht.com/ytc/AKedOLSf1SaChmKd0twC7AuRD0k1MzRkJVAv_KwzfQO2EEjHMCQXknLPhYCTQcfTaVOx=s176-c-k-c0x00ffffff-no-rj,1.0
UgwfbB2O_LiFb0MfgGN4AaABAg,The way of explanation is easily understandable..Can you recommend some books for SQL..That will be appreciated.,1 month ago,Nandhan NR,UCkpfHkAwisDmt4oc6QxWTgQ,2,https://yt3.ggpht.com/ytc/AKedOLRT3YslazttC9Y1xIHxKdkzexyMmz5vCm1cJA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxF05GnmhYWbKFQzOR4AaABAg,"Hi Toufiq,
Thanks for explaining the concepts in detail. I have been learning from your channel since last one month and all your explanation videos are worth watching. I have one request,
can you please upload an explanation video on stored procedures (pl/sql)as well? 

Thanks in advance",1 month ago,Shubham Suryavanshi,UCN1EBZDL5w-WN5-vX_DaHKg,1,https://yt3.ggpht.com/ytc/AKedOLTRCpEYkYQYBZwe7PWILz88Ppqur_iPmHN5qJcA0Tw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwTs_clcHixWGtkcNl4AaABAg,"Hi 
can you Stored procedures videos",1 month ago,Kamalakar Reddy,UC519maV0Tc4qMAZZtWb9w1g,1,https://yt3.ggpht.com/ytc/AKedOLRElmi78oD81EdoUAOVeDZcAGyicxIP--etB8wvQg=s176-c-k-c0x00ffffff-no-rj,1.0
