cid,text,time,author,channel,votes,photo,heart
UgzICiOrHtmLuT3qift4AaABAg,Very informative...have seen many video on this topic but the way you have presented all the important things to be there in a ideal resume is really helpful.,11 months ago,Ankit Goyal,UCbQOovek21wWCbOXIOLhRYw,22,https://yt3.ggpht.com/_I3tbFTl7MVr_mOzyzPuKTP5KYvsub6_wbiSMjw5-YwUa3Ftg2wS91vWnKCGzbALcuhk18rTlG4=s176-c-k-c0x00ffffff-no-rj,1.0
UgzrJOdM9aXMWP5sm494AaABAg,worst format,2 days ago,Sai Krishna Praneeth Duggirala,UC-l3nJyuf__DMx1UMppzTtA,0,https://yt3.ggpht.com/ytc/AKedOLTC7liL7TgRO4Xbc4pdREtU93n6IbxxUXANJzwi7xPdaMYk700xU5Ee7SmhuhB1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyy2OdMKlTBVdjn6l14AaABAg,Will career gaps affect ats scan?,7 days ago,Ehan tips and tricks,UCRQ1BxLAitQURro2kNUextw,1,https://yt3.ggpht.com/ytc/AKedOLQyyduiQQSx5yTD60jABjkBX1WglFyiUFsYLGux=s176-c-k-c0x00ffffff-no-rj,1.0
UgyN4Fur2Ys7MoPyvol4AaABAg,thank you a lot for sharing your experience and knowledge. this is very useful👍👌,10 days ago,Ramakumar Guntamadugu,UCQRtg4-JYH891p5mLhr40JA,1,https://yt3.ggpht.com/ytc/AKedOLTM-P0Ct-ftomWwHzr3hjRjk_UH8IB1Vmsnm2DANg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz35FSPPgoCcFE2kid4AaABAg,very nice,2 weeks ago,Mewalla,UCr5ZZ1bXRo_veHUYT-wA9vA,1,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,1.0
UgwrhwoZBUxx5C0ihF94AaABAg,"Hi, just a english correction.  ""Resume"" is pronouced ""Res...ooo...may""  ""Resumay""",1 month ago,Brad Wells,UCdd2vkL3y3duztEuCubDR1Q,1,https://yt3.ggpht.com/ytc/AKedOLRTRfMbFQqcxkrksObJiQYGNF6dro4dU8n4Fw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwQ0_3mir64yOPbbNZ4AaABAg,It is very useful Video,1 month ago,Sujeet Sinha,UCmnGEHcuhh8VgVhISFOXbFg,1,https://yt3.ggpht.com/ytc/AKedOLTicrEFENrdAFqe0DthCKi79UTrwVXeiJdMRRNu=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwxv-5ezgrKS3vC--R4AaABAg,"Hi! I have been following your channel to learn SQL, I want to thank you for ur amazing work, it has been really helpful, can u pls make a video about your career journey, the companies you have worked and your job responsibilities and the salary one can expect, depending on work experience and skill set.",1 month ago,santoshi sutrave,UCJs9syFu7oy3NW_SARr3-kg,1,https://yt3.ggpht.com/ytc/AKedOLQ6rFScSYCd7sCOrzxnL7VHlNvG5hvcCqC7wnVV=s176-c-k-c0x00ffffff-no-rj,1.0
UgxNafQrJ4jT_wP1Hcx4AaABAg,Can you provide your LinkedIn profile sir.,1 month ago,satyata dhargawe,UCgXsBj6JX7-iSmOB6q-z7Xw,1,https://yt3.ggpht.com/ytc/AKedOLQOAENT6QoXEBT1x38QmID25z64xmP70RG6wJ7XYg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzLHorcQspVBpkGjcJ4AaABAg,"Most Importantly, Rezoom > Resume",1 month ago,Mrinmay Boro,UCV-p2YHbwvZbKAEyHS92qnQ,1,https://yt3.ggpht.com/saYLFUrU9YKVc2oqyvisVIntUBHmsKLzjgsmRipgb1FmMZ25IlCuobh74yOO0qOpiMAIn7lMDg=s176-c-k-c0x00ffffff-no-rj,0.0
