cid,text,time,author,channel,votes,photo,heart
UgzvO7LtP4Ltmx5ECfx4AaABAg,very reasonable video ........ he delivered it 100% .... good knowledge and worthy video .   good work,10 months ago,Bejjam Vamsi Krishna,UCm94qU5aF53sGNJev2rRYqQ,2,https://yt3.ggpht.com/ytc/AKedOLQMhgc_K31FOzAJ0yCKrO1-8LmnMYdwjSpRtnOiQs4=s176-c-k-c0x00ffffff-no-rj,1.0
UgxAXEY_fI7b0pS1d-N4AaABAg,"anyone can tell me about the function of "" , "" at the first and "" S "" qt the end?",1 month ago,sidiq doang,UC2nIDIyZKJCMVrOhl9OFyTA,0,https://yt3.ggpht.com/ytc/AKedOLQbSiW45idgVi_5YoGccN2Oca6SrScOJCAtWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoiByaM_S8scNCsN94AaABAg,Hi did you see my question?,2 months ago,Lani,UCdTqr67YXrcNVccZvjgq1gw,1,https://yt3.ggpht.com/O9TCxvdKDYCbCElu8Km302orows7iYEPMkPETdbkjGBnK59P-4AO4d0X1yHnlGdyQsncSiNT9g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3JhaJL1-fiafnO_p4AaABAg,Sql reminded me to lotus 123 and excel. Thank you for clarifying.,5 months ago,CyberDame,UCCFy0UUEANWRV_WMG62FMNw,1,https://yt3.ggpht.com/ytc/AKedOLR9ftptVALm2OqmixbdwHPbDCCpbiSlfEwLx-cv=s176-c-k-c0x00ffffff-no-rj,1.0
UgyGPW6x5muld9kGTaN4AaABAg,What are some examples of situations where it’s better to use SQL over excel and vice versa? From what I understand SQL seems to be more efficient when you want to access data whereas Excel is better for data visualization and table creation.,5 months ago,Dylan Armstrong,UCMF3TUH0itk2VEgYNIV7i3g,2,https://yt3.ggpht.com/ytc/AKedOLQkq0-8ACFnWnWCXIiitr7EsoncNvCk7PiamYYgGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxJeD8AGbsEHhBRNL94AaABAg,"0:28
2:00",5 months ago (edited),Pedro Julio,UCoVlCjPKQv5rePq9foEbWfw,1,https://yt3.ggpht.com/ytc/AKedOLR4hkAxZZl7nM1UbczFqECspMg5KFHIxOe9uQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw2xOpa0AHMIa3sEFF4AaABAg,"Hi al i have a burning questiob. I started using more sql instead of excel as an analyst within our organisation. However, everytime I provide colleagues with a power bi report or data from SQL, they want me to send an excel file of the data. They all want to be able to filter etc themselves in excel. So despite that i summarize lots of data using sql my coworkers hate it because they want theor data in excel. How to deal with this",8 months ago,PNG Green,UCCfx_QRrgbEp90LLp0e9eyA,2,https://yt3.ggpht.com/ytc/AKedOLRrhX31Lj7450cfqfUxuc0XkyotCGz4ScZd6I-q=s176-c-k-c0x00ffffff-no-rj,1.0
UgztBAuWDvv5AYwaNAV4AaABAg,"It would have been more comparable for Substr to be related to the excel ""mid"" function.",10 months ago,goombakiwi,UCBk-5ZWJChG76uttwIEYF-Q,1,https://yt3.ggpht.com/ytc/AKedOLQv6Li0Q7rScswOjCh-7dlv7HRYmRU_1K9Npw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz8l17UieUf97X8u4J4AaABAg,"Nice, Please make more videos",11 months ago,Shefeek Basheer,UCO9ce1o9Fi23kGt6Rmn0IxQ,2,https://yt3.ggpht.com/ytc/AKedOLQkDOc2XYvU20kAlUXZehT254mp5yxPkNKcltPqUw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyQzvyFmiD7ocu_GMJ4AaABAg,Waste of time...not useful ...both have their own perks...,11 months ago (edited),life @Manit,UCTk9lX31pVXuSPEVC5XgeWw,0,https://yt3.ggpht.com/ytc/AKedOLS2LxE9vv-hryuvxlqCRV0mqgsgp4T0R4abvFBJtw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoWrPPIT3osScAqnl4AaABAg,Hi Thoufiq! Thank for very clear explanation. very helpful! continue with the good work :),11 months ago,Prajna Mayadi,UCqxdx8eRsm1WNdlTYWHIH5g,1,https://yt3.ggpht.com/ytc/AKedOLTfK3CtIWPOSmKzG5hTZURpz6JeN2Au0FZEzQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxIZhd0FoBOBZvaBkV4AaABAg,Thank you for this informative video👍🏻 Indeed very useful👏🏻 Keep going,1 year ago,Mohammed Shahil,UCWu0-yMNxR1UyjHDKkXcgMA,0,https://yt3.ggpht.com/ytc/AKedOLTj9o1Oeo0yG7m4Txg3aoh7qvUmtfyXcHIHKl4giA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxbSt4LUIU5ErC_p7d4AaABAg,Good information,1 year ago,Smitha Smith,UCILojF0ZU59fOkT1YCn1hDQ,1,https://yt3.ggpht.com/ytc/AKedOLR6b58ZmHdQvG3gLBQrfc6khe5dEAzMp5R03A=s176-c-k-c0x00ffffff-no-rj,1.0
UgyajuFL7QA4t4YpfyR4AaABAg,Nice... Presentation Superb.. Clarity Superb.. Thanks for Sharing... Next time do show ua face while explaining...,1 year ago,MTA Lootera,UClMPwHGlMpZQ05d_IaMoGcw,1,https://yt3.ggpht.com/ytc/AKedOLRkONIiN-HAAFX8Dau2pRNSdeUf4j7q8kk6rbpDxQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwPZ6DIjnI8xYBDB8p4AaABAg,👍👍,1 year ago,Ibrahim Nourish,UCJRpGyH27s9J3-oSbeN-L7g,1,https://yt3.ggpht.com/ytc/AKedOLT0DODadglezYb3yUsgZ66CjOjsNadhITLicQMmEQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwDxGD96UUgnbUV7nB4AaABAg,"Useful to many.. clear, concise and accurate. Keep doing your great work of  helping people by sharing your knowledge.",1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,3,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
