cid,text,time,author,channel,votes,photo,heart
Ugw-a5_9fSQ-MEPL9GZ4AaABAg,I was genuinely so confused on just where I could practice coding  this helped so much thank you,1 year ago,Keaton Morehead,UChCzEIptQKxtl1raulfW5xQ,57,https://yt3.ggpht.com/ytc/AKedOLQsiWWM4OCql8-Gw90QEuMClT8NH8bqwuM-mgmCzg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyjvk7ZzTQ5b431_8J4AaABAg,"Thank you, this helped me so much",2 days ago,Василије Игић,UCnJAN1oAFUnH0RD0GVw6cBg,0,https://yt3.ggpht.com/ytc/AKedOLQBQ6xhMklX576k44vsa6KfCj9VF7GrgcOSR017Ng=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZnC0MADX6tQPvbNV4AaABAg,Can we install programming softwares for free in Mac air,11 days ago,D Nithish Reddy,UCIZsreJ_Rm3bYqT5mybiO_w,0,https://yt3.ggpht.com/ytc/AKedOLQQew9anQUQBW49HloWpcm5uMAWml7epX90AQNwPw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxc6eRAuu4NHxGvyUF4AaABAg,"hello im starting from zero my Mac mark an error that says A SOFTWARE UODATE IS REQUIRED : rosetta enables intel-based features to run on apple, I select install and then it marks error during installation can someone help me please",2 weeks ago,leonardo flores,UC9gPWAAVdGed9ulOA9G-fLQ,0,https://yt3.ggpht.com/ytc/AKedOLQOEdOzeh9PC4ji3CNWGecPK9uqXypAfpjpNw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyY0H26r70P1mstVWh4AaABAg,thnx,2 weeks ago,Quadsis,UCSPAYWSIwJDFcmaSvjweTgw,1,https://yt3.ggpht.com/ytc/AKedOLS-jQOH5VHAOdQaNpaODhNYvq0dGYi9hhHQ1XhD=s176-c-k-c0x00ffffff-no-rj,1.0
UgyGEvWK5gUsBDhRVm54AaABAg,THANKS!! I love ypu,2 weeks ago,Adrian Ontiveros,UC5yn9np1KCftYcnOZWN4XcQ,1,https://yt3.ggpht.com/ytc/AKedOLSjvGEAC47nTIpu-0Je6ztJEiXB2UVSui0m4Q=s176-c-k-c0x00ffffff-no-rj,1.0
UgxisvULgjT46AfOYLZ4AaABAg,Awesome! My son finally got started with Python 🔥,1 month ago,Matti Pekkarinen,UCvmRZf2_7uIGxKu8ad3V65w,2,https://yt3.ggpht.com/ytc/AKedOLTfpAJKHknvf7_IKAzQbWs20_cVpjsOiqo-Tg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyqKjEl0msWx9HwSWN4AaABAg,I started my Python with you♥,1 month ago,OKAY,UCYNUrx_xKbgvCY0lHrznOOA,1,https://yt3.ggpht.com/ytc/AKedOLRyu454qK_aYZ6Qb__5EY1asrJW1EjJuy9GWZQxUQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxICvGbg5vfjHFhCmZ4AaABAg,Is it possible to run in new version of mac?,1 month ago,Sophia Rine,UCZGUbPz8qaVNRNL-M7x5s8A,1,https://yt3.ggpht.com/ytc/AKedOLSKTTGsO-9Vk_Fb9Owss31nWF6QlAhWLOSHsOygyg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyxopmKptdVJxVGt0l4AaABAg,thank you,1 month ago,Priyanshu Jha,UCGjdC4BE56jrwAFh0AQykeA,1,https://yt3.ggpht.com/S1i9nox2TvOJFO4HsOf9opvyX-iES3rTFt01Tb7wU5GzFwhFZ_z7hunb6jekIHbElYy-8I_3jg=s176-c-k-c0x00ffffff-no-rj,1.0
