cid,text,time,author,channel,votes,photo,heart
UgzE4GEyccKwx59POSB4AaABAg,"what if my file is present in the desktop folder, and I want to access it using relative path, will the double dot(..) work as well...?",10 days ago,wol longar,UCaflaCsvv-0S1p7w4dxD8iA,0,https://yt3.ggpht.com/ytc/AKedOLSkcCwUWfw0SYpotAR_C1iuC3smqBV9THneNQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3JKN_YXfl_eaTXV54AaABAg,Thank you so much,1 month ago,Amisha Srivastava,UC8zihaTJQN4Mt2vW3McLgyQ,1,https://yt3.ggpht.com/ytc/AKedOLSRaALWjdE1X70ScEsDELQq0i1IjI5u1URTbMeg9A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy-AZ4BfmkYfnVfbRp4AaABAg,Excelente!!! 👍👍👍👍,2 months ago,Diego Martin,UCa9_KcAbUlettNCbR2LkM1w,1,https://yt3.ggpht.com/gIQfp5fyFij5w9J271VcucVZK6-3cE_wIx7mHYj7yuppWD50mnKhL6BLwEqD539tC4W5aCrp=s176-c-k-c0x00ffffff-no-rj,1.0
UgzEtQ0Kn5n4HPuP38Z4AaABAg,One thing that i like about your way of teaching is that you try to answer every question that may aries in mind of learner of any level and even if its too basic for someone who knows it already it doesn't bore them to learn again... Thanks for awesome videos. Keep up buddy ✌️.,3 months ago,Shubham Patil,UC-yhdbraBAcwPvw1fe3qlfg,1,https://yt3.ggpht.com/ytc/AKedOLR6moNlE8pGYtXTW4SRizkxpdV6WGwZdVQnfcgMkA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzZenwc1qFHDGzNjwd4AaABAg,well explained for beginners as well !,4 months ago,fero ___,UCWSChJ--gGpi1VCicWiFdyQ,1,https://yt3.ggpht.com/ytc/AKedOLTfH6015ZD3VvH4vJn3Hf9ZRdgtju8tsu1nDk0fGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxMlb9HP1F98XdYi954AaABAg,What VSC extensions do you have installed when making these video's ?,6 months ago,Michael,UCb1SypyFGkc2BMGwS4xbvrA,1,https://yt3.ggpht.com/ytc/AKedOLQXPsL4GnJhW12ShxOVd3YXFWup9-_u_ah1_tp8bg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwfWo78TOqnMBhpo5V4AaABAg,wow i finally found a good tutorial thanks!,6 months ago,cold,UC8r4-xnbHwAEto48lvkoHaw,3,https://yt3.ggpht.com/ytc/AKedOLSrvEWo9hqjfV6jiwG6D6WyiIqizoZFajhjdyB9=s176-c-k-c0x00ffffff-no-rj,1.0
UgwjaPzE45gninpW1V54AaABAg,Thanks for your work.,8 months ago,Nurlan Salkinbayev,UCuRYaOuRydlfTPJzrfG1h6A,2,https://yt3.ggpht.com/ytc/AKedOLR-2XzwMItaFV2Vaqmn_AZ0Qkaeq0lJPTuNZw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwu59U6Sp3t2lREcX94AaABAg,Good channel👍 I'm one of your subscriber,11 months ago,Shikha Varma,UCHaImYglyvaODq6-0Ma9ulg,1,https://yt3.ggpht.com/ytc/AKedOLRSKCRL6PbXnSsoLY5CJmyF1GDEM92bbGvv5g=s176-c-k-c0x00ffffff-no-rj,1.0
UgyjtntmREnS3pkD_Nx4AaABAg,Explanation was good thanks for this,11 months ago,Girish Naveen,UCntxhqT7PwgsTgz2JFecgAA,2,https://yt3.ggpht.com/ytc/AKedOLRgoqqXJw-RZsJolsV_qfM70Kx8S6N7GXmbtQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzUglT7VZ_bBvQyROR4AaABAg,Awesome 👏,11 months ago,vishvajeet solanke,UCmOJLmBVygyPKhLFy6YwPTA,1,https://yt3.ggpht.com/ytc/AKedOLSUQ3HNVGiQkozVp4gPwoTQvhSws1oIaN_WbzmJjw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzo7NjrUWfBPp7fDyt4AaABAg,"Awesome clarity, great efforts, crisp explanation👌Keep up your good work. It sure is beneficial👌🏻",11 months ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,4,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw3JKN_YXfl_eaTXV54AaABAg.9ZLgVGhM6dv9ZLgefDJaId,Your explanation is awesome.....I could understand each and everything,1 month ago,Amisha Srivastava,UC8zihaTJQN4Mt2vW3McLgyQ,1,https://yt3.ggpht.com/ytc/AKedOLSRaALWjdE1X70ScEsDELQq0i1IjI5u1URTbMeg9A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw3JKN_YXfl_eaTXV54AaABAg.9ZLgVGhM6dv9ZOKXnmAsJ5,Awesome.. i am so glad to hear that :),1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-AZ4BfmkYfnVfbRp4AaABAg.9YMZylzbMp99YWHu4OuRQS,Thank you :),1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEtQ0Kn5n4HPuP38Z4AaABAg.9WZZDKEsfYV9WZqL9je0KH,"Thank you Shubham :)
Really happy to read this feeback. Glad you noticed :)",3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZenwc1qFHDGzNjwd4AaABAg.9VXemltazLM9VXlq7tAY7B,Thank you Geoffrey,4 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMlb9HP1F98XdYi954AaABAg.9SllsGApW8B9SnJOK0qUhe,"I just installed python extension.. that’s all..
I’ve shown that in my install python video",6 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
