cid,text,time,author,channel,votes,photo,heart
Ugzer3At5WMW49f4FAx4AaABAg,"You're a lifesaver!!!! 
Thank you ever sooo much",1 year ago,Daniela Da Silva,UCgWcBqnCdurijc_65gHhgKg,1,https://yt3.ggpht.com/ytc/AKedOLQSguzc7SxiPHhF3FbjJkPVMgUOO41_Ghyr1jbBqg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzdafe4zd5d_YtkWdJ4AaABAg,kindly provide practices set,12 days ago,Lokesh Verma,UCzQNY4oqy5k2ms1VDa8oSVA,1,https://yt3.ggpht.com/ytc/AKedOLTbHPUBGsRUYQ0c2nJilq2XYJFEzXL0LuR_o6OqWw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxMFjd9STFrwixKY9l4AaABAg,Hi! Thanks for the video),2 months ago,Ромашкевич Константин,UC6Dkc8QQa6BFHmn0FFMC_OA,1,https://yt3.ggpht.com/ytc/AKedOLQl3vX_EK0WHt1ThGeRPKJfdhxccOyo3cHcEPQtZQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgyowVlqeIOe2mkVDW94AaABAg,you are awesome thank you for saving my time :),3 months ago,R G,UCTER4fWLC3FTL86_1vOCjJg,1,https://yt3.ggpht.com/ytc/AKedOLRnB2RKKTxl5nPPo8fzkTdRVB7i_N1z-SYf2moB0g=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz7EpgKPuVac-fFbdd4AaABAg,Thank you ever so much :),3 months ago,Code Craft,UCxnIL1wwdHlWeZ762PUX9GQ,1,https://yt3.ggpht.com/L8aWMZVpJeR4ihN5sYi1-VKcR3RQCkExsSsgh3pSjO3HYzv0v_X7dHmVEzytU3gJDluJXf2eKA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwl6S0LpMB28OGP3Yh4AaABAg,"Thanks a lot for such a detailed explanation, its very useful. Thanks once again.",3 months ago,Neha Tiwari,UCLZ4WFztnA05oXv99RZNUDw,1,https://yt3.ggpht.com/ytc/AKedOLR_jKZPjnEtCMYZsBDdB00d6hRhikMr5t6Ta0F32xhbq-G5rFKq_ZTFdIFM5sTk=s176-c-k-c0x00ffffff-no-rj,1.0
UgxQVw5-CbacwlUISd14AaABAg,"Thank you Thoufiq for this tutorial  👍 🙌 15:18 Can you explain how to change Owner database for  default ""postgres"" please ? 🙏",3 months ago (edited),Chenda Thp,UCY2RL_z_b_vBj3AmGnGF_Ng,1,https://yt3.ggpht.com/ytc/AKedOLRNuOM8lOIk2b24pD-N9APvbrvnjG-u06nmOjOP=s176-c-k-c0x00ffffff-no-rj,1.0
Ugxq87mrqHJqJ6MKHi54AaABAg,Thanks much! It is really helpful for me (beginner in PostgreSQL).,4 months ago,Thet Yee Win,UCEFk1LBo-8jNFqlp_GIQXOQ,1,https://yt3.ggpht.com/ytc/AKedOLStKxlAXXwXO6TH1-p3PxOIyE8mTODfMEbpran3=s176-c-k-c0x00ffffff-no-rj,1.0
UgxVwVOfGB9kVqZnm4d4AaABAg,very helpfull.,4 months ago,kanakapalli anurag,UCVJjxCdi50NVwYpzBOkYEJg,1,https://yt3.ggpht.com/ytc/AKedOLS8njvNdt-xGETeQWG9_-yZ4bR2-lQnpJuK9Nt7cGM=s176-c-k-c0x00ffffff-no-rj,1.0
UgzoH2S8CHVdYm9nLKd4AaABAg,"Thank yyyyoooouuu!!!! So helpful..
i used the first method but when i login to pg admin it show me this error: connection to server at ""localhost"" (::1), port 5432 failed: FATAL: password authentication failed for user ""postgres""
why? How to solve it?",6 months ago,لمى,UCg7bOGufx6ljVHnkYURQe-Q,1,https://yt3.ggpht.com/ytc/AKedOLSDw17GqrLSUlQyNzUVW6jnNIv_LpG4gwc47V6O=s176-c-k-c0x00ffffff-no-rj,1.0
UgyDdjlHOZRAdaQ1T9B4AaABAg,I needed this so much! thank you !!,6 months ago,jpg,UCg9UV6VH93SHG5aaevaA9fQ,1,https://yt3.ggpht.com/SfrbQ4_TWHXc3IOtloQgNhsrAkEsVKgWCbrtjj3bT1jUBryRXBGK8aU_Vsrw6rtwxogfZoQUWQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzgvl4orbJlWNis7EF4AaABAg,"I am on Apple Silicon M1 and I get the following error.
A non-fatal error occur whilst creating menu shortcuts.
problem running post-install step. installation may not complete correctly the database cluster. 

I tried installing different versions of Postgre but getting the same error.
Can you help ?",6 months ago,Apurv Adarsh,UCRIIOBy7AVcAXzB7YYV2yYw,1,https://yt3.ggpht.com/ytc/AKedOLRW25DlBFG6ga_KrZQyKJPFJSh_lwSWmee69j25MBw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxUULvxO36x5RR1dVx4AaABAg,please make a video about how to use psql using terminal command line tools,6 months ago,igothisoncamera,UC8rKuAQITfZjH8L0ssV90bA,1,https://yt3.ggpht.com/ytc/AKedOLRiM2juitCaHp8eqhEQxvElKZ4Ss4u3di8ee6eG=s176-c-k-c0x00ffffff-no-rj,1.0
