cid,text,time,author,channel,votes,photo,heart
Ugy56nqPxqaxfIywRfZ4AaABAg,Very nice,4 months ago,fero ___,UCWSChJ--gGpi1VCicWiFdyQ,1,https://yt3.ggpht.com/ytc/AKedOLTfH6015ZD3VvH4vJn3Hf9ZRdgtju8tsu1nDk0fGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyoB8mWdXgSnZoQYHt4AaABAg,Well done,1 year ago,Shabana Shabana,UCz3IdFsiG3OM33DNfMvKbxQ,1,https://yt3.ggpht.com/ytc/AKedOLSBV_DN8B_6YRp4u72YC9b0qFtLhZNFaVlbHA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyXRRMdNRQL6Kf0bol4AaABAg,Appreciate your efforts & taking time in spreading your knowledge👍 Keep up the good work.,1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,1,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyOnES_bdxxh2CL1f14AaABAg,I got it in my recommendation since I subscribed to you watching SQL video. I watched this fully twice and I must appreciate you make me understand better than my teachers . Thank you for that,1 year ago,Smitha Smith,UCILojF0ZU59fOkT1YCn1hDQ,2,https://yt3.ggpht.com/ytc/AKedOLR6b58ZmHdQvG3gLBQrfc6khe5dEAzMp5R03A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy56nqPxqaxfIywRfZ4AaABAg.9VD6lZXWUx19VGvWrvFEfA,Thank you Geoffrey for liking the contents 🙏,4 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoB8mWdXgSnZoQYHt4AaABAg.9JDd6viSF3K9JDnzGTF_XE,Thank you ☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXRRMdNRQL6Kf0bol4AaABAg.9JD_G5iUCET9JDnxrSja6p,Thank you ☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOnES_bdxxh2CL1f14AaABAg.9JBMe0qTs6O9JBN19noXxS,"Thank you so much!
Very happy to read such positive comments.. very glad that these video’s are helping a few people...",1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOnES_bdxxh2CL1f14AaABAg.9JBMe0qTs6O9JBNSJjWdM9, @techTFQ  I'm sure it will help. Dont stop making useful contents like these. . I will always keep track on your videos for learning and clearing backlogs. This truly helped me get clear understanding sir. Thank you again,1 year ago,Smitha Smith,UCILojF0ZU59fOkT1YCn1hDQ,1,https://yt3.ggpht.com/ytc/AKedOLR6b58ZmHdQvG3gLBQrfc6khe5dEAzMp5R03A=s176-c-k-c0x00ffffff-no-rj,1.0
UgyOnES_bdxxh2CL1f14AaABAg.9JBMe0qTs6O9JBNu9ieIR8,"Sure will do...
Thank you once again and wish you all the very best with your learning..",1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
