cid,text,time,author,channel,votes,photo,heart
UgwhCB9tlr4dYsKv60h4AaABAg,"Thank you..,was very helpful and so clearly explained😊",1 year ago,Shiva Naga Jyothi CH,UCCtAK7lIeP204ymx3_hM2ug,2,https://yt3.ggpht.com/ytc/AKedOLRlVyc6KrSr1QCbZiMa4NuANLYIRaOhIpVUJ4jhRA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyrbYFmnriPc5bKqf14AaABAg,Very good guide and tips. Thanks!,1 month ago,H.L,UCmIOkxEp8_4cevbZ6sA74Fw,1,https://yt3.ggpht.com/ytc/AKedOLSGOjkK1Pvj0ZRnE89juywcWlC7KI4sYT7EzFQd2g=s176-c-k-c0x00ffffff-no-rj,1.0
UgyMjQm_tGzMnzai5lJ4AaABAg,"The fact that you made this video in 14th February states 2 thing:
i) You are single
ii) You love coding and teaching coding",2 months ago,Rupayan Majumder,UCxh_JLM3fnsVXTwksTGGBqw,1,https://yt3.ggpht.com/Ibzd1KFF9A9l12mDE57uEcbP2v4qiDm6ycD1JuyfNr2uXsuxd1Moy47xQXngvglqVAj6b3dg708=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy1pc19FYm-uOJs5RJ4AaABAg,"Thank you, this video was what I was looking for. Is there also a way to remove (undo) a path from the sys.path environment?",2 months ago (edited),Ali S.,UCrGr0Dy_kj1A2BeOkvbGy5A,0,https://yt3.ggpht.com/ytc/AKedOLSvGY7K7fNt-AmPr4byrk8obgEHd5VVh63wxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyzk3E3zHZTXBgdfm94AaABAg,Thank you for good Information 👍,2 months ago,SJ Jayaswal,UCxgcBhqhy0D2RzNC6NagfLA,1,https://yt3.ggpht.com/wJ5tIr9eaCpZXPjLkLYkyt-Ir168x6ja8fUYyCj5RfUZrAJGzc0IkjVOZUjmKRWQhXoi_OlC6g=s176-c-k-c0x00ffffff-no-rj,1.0
UgwOcqogNd81rwqDAOt4AaABAg,"Thank youuuuu, because of you I finallyyyyy finished my program!!!!!! It was worth every seconddd Thank youuu so muchh!!!",3 months ago,Maria Luna Navarro,UCBxnzVlRtXXoohrVius3lyg,1,https://yt3.ggpht.com/ytc/AKedOLQQ-5dCYDkfTX_kLprAg2QGn11uPcYeKzWOBp2zcKcxbXJyIEDDMA6tA_3n9iR3=s176-c-k-c0x00ffffff-no-rj,1.0
UgzvoUAhYt_6DNjHFMF4AaABAg,"Very well done... not 100% certain... it SOUNDS like you're reversing the ""s"" and the ""k"" in Desktop and pronouncing it as deks-top.",3 months ago,Jay Custin,UCjKbR8IdAUevRbbFiI94FMw,1,https://yt3.ggpht.com/ytc/AKedOLTXFP9xzNpwF_EpBK-E_3uXmRu_jFSOEXpe2Q=s176-c-k-c0x00ffffff-no-rj,1.0
UgxFP6vp_LgVHOOfKuB4AaABAg,От души братан,3 months ago,Артём Бурдаков,UClIhiW8pZSoMSGSyY5nXOmg,0,https://yt3.ggpht.com/ytc/AKedOLRonXQRSrHhisAW-ePmSosMbfTMly-BYn3jzihR2A=s176-c-k-c0x00ffffff-no-rj,0.0
UgywGLw52go7mrI_iP54AaABAg,🙏🙏🙏🔥🔥🔥,4 months ago,ujjwal kumar,UC0UKavXoqQdSy7INu3Mwuiw,1,https://yt3.ggpht.com/tDtZO5TSZYjXeVxZEFauqPgK-L-CsYyujWGhGorVYq8ZAvKCsjlmYuKF77JKh65ADO9cfozD=s176-c-k-c0x00ffffff-no-rj,1.0
UgyLDIXgGy5Vw76KFj94AaABAg,Commandline for windows for pythonpath is what?,5 months ago,BHARGAV CHANDPARA,UCEgtwfl0A283QhDCP_dyrRA,1,https://yt3.ggpht.com/ytc/AKedOLQGaqHhNEDdounG6Jx8UTGcFvMosAgfDI_Epd3cxA=s176-c-k-c0x00ffffff-no-rj,1.0
