cid,text,time,author,channel,votes,photo,heart
UgzScj1Et9j7Pnf8ztt4AaABAg,Excellent.,6 days ago,Anura Senarathna,UCivRUksZF9hKXjnVYxB0TEQ,0,https://yt3.ggpht.com/ytc/AKedOLRlCeRBksArW05XaUs_Wsn7ETpAHFiw2dNIRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbVMZHSDhr5As48zp4AaABAg,How to filter unwanted data ?from a log file? What should I learn to know about this ?do u have any knowledge sir?,3 weeks ago,G militia,UCNngUlXlkHvNiQMdDTra0og,0,https://yt3.ggpht.com/ytc/AKedOLTHifxLO8VZr5T7OrqY_QQsPftujXVY6QDdJTs0GA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwant1JqvuwX81Ytft4AaABAg,Best explanation 🔥,2 months ago,AMAN KUMAR,UCQZuUIkg1_r3K39o96MFhGQ,1,https://yt3.ggpht.com/ytc/AKedOLRg28jXG8gHL4IwEg8mjTaAbj1s0dlVBmGowsnVQVUWXUPO4SkIxujnbzlr94ga=s176-c-k-c0x00ffffff-no-rj,1.0
UgzWvwVFHWMjTg0kUJR4AaABAg,"Well there goes one of my bad habits. Don't know if I skipped over the section, but none of the python tutorials I watched spoke about logging, even in the debug sections.  Thank you for enlightening me",2 months ago,floatpoint,UCZe7z8pEJdM1m1nTGYnkIcg,1,https://yt3.ggpht.com/ytc/AKedOLQ0bzLexkIK4qnMse6BVE0cgdksNEW0iy7igw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwwEt9WRCqKpoEGiMJ4AaABAg,Don't you really want the log messages coming from the called script(savetoFile.py) to go to the log file (employee.log) specified for the calling script(employee.py). Imagine savetoFile.py is a common library function called used by various other scripts.,2 months ago,Bikash Gyawali,UC-uKiVfexvRsCNwQPKmQiTA,0,https://yt3.ggpht.com/ytc/AKedOLQnXkyyZQpgHDqJjKUf6R-cjRnk470sDoMHaTaYlw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwttNM899TPj39rX-94AaABAg,I has struggled so much understanding logging. But this helped me clear most. Keep up the good work :yt:,2 months ago,Sourav Paul,UCQKyDps9vO9acD863hViGwQ,1,https://yt3.ggpht.com/ytc/AKedOLRc8t7LmRSOG66_60bDcTe9FTrSzPahINfAqQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgycJbTTq-AvQwFxjeB4AaABAg,With that much logging code now we need to debug the logger with print statements,2 months ago,magneat,UCT53XOzLthyCuNb91ntAU4g,1,https://yt3.ggpht.com/ytc/AKedOLQ87PLtGlbp1qVgbADV4THU9ctfrlYH_b0HAC8G=s176-c-k-c0x00ffffff-no-rj,1.0
UgwtB7zvPiz-TORdWgJ4AaABAg,Beautifully explained,2 months ago,Akshansh Choudhary,UC9WChSzgyJFCimAVScJtC7g,1,https://yt3.ggpht.com/ytc/AKedOLT_B29ckI_5Z3CqGEHn7ZkklpZtxHNLCAMVCdGK1g=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx9-lh5aZzFCRR9E-p4AaABAg,The best video about logging in python,3 months ago,Алексей И,UC6Tm1_SwggbjYutlVBJEqQA,1,https://yt3.ggpht.com/ytc/AKedOLSsotq-7kUJFJB0Lx7-c0GTAlnetdqBw5SJoIum0g=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy0jg3-1WL2qfwbr8R4AaABAg,Thank you🙏,3 months ago,Sothavith VOEURN,UC3hGW_nfwbJJ1Xzcr04bUFA,1,https://yt3.ggpht.com/ytc/AKedOLRhkKSFjUAb5xsNBuIN7yLbGyB-RQFI-JD_c2xsnJg=s176-c-k-c0x00ffffff-no-rj,1.0
UgxDoJ8Qk5FPl2VfPe14AaABAg,Valuable content :),4 months ago,Sudheesh E,UCKiFolTl1Tb8S_Y1oREni8w,1,https://yt3.ggpht.com/ytc/AKedOLRPLWnJLjGFamJ3XMIDv9zST9SlFNSnGtRtQr4PZA=s176-c-k-c0x00ffffff-no-rj,1.0
