cid,text,time,author,channel,votes,photo,heart
UgweZM-2uxivG7eLUKZ4AaABAg,very good review. I do experienced the same about the heating issue. I thought it was jus tme. I have the 16 inch and I can really feel the heat/warming feeling till the keyboard.. did u find any solution? did you complaint about it? thank you. I subscribed to your channel. so informative.,1 year ago,Maria Rovel Juste,UCvgUkeaJ9FS_v_2BCdKiy7A,2,https://yt3.ggpht.com/ytc/AKedOLQgd13w2mPzORcAwjWEaSul_ylqIQNBtIRH6OGRaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbMvTENrcJP31KbUV4AaABAg,"Very informative and ""fantastic"" review. Lol Thank you sir!",1 year ago,John Philip,UC1AXAISM7peQbwlhFtKMyHA,1,https://yt3.ggpht.com/ytc/AKedOLSDeP2LqAvFecs1V1HZ59qgmII_I5l4GclCxn_6rg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyx_-534DmPAj-mvMx4AaABAg,👍🏻👍🏻👍🏻👍🏻👍🏻,1 year ago,Farhan Rafik,UClVgytLzMIXNP6IDotCx16g,1,https://yt3.ggpht.com/ytc/AKedOLRYYDGxbbiSjKEjUixrJGTFddQbwfCgfv7anjkR3Q=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzg8B7pW_y8nh7F84Z4AaABAg,Very helpful 🙏🙏 Well reviewed 💯 Thank you for this.,1 year ago,Sheeba Parveen,UCLG0THTDn61-uOe8uz3luCg,1,https://yt3.ggpht.com/ytc/AKedOLS_bbDwk2UdEkLpnVA8niKltV1MsVbZ24fICYS3bA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxTnjobzMV8L37s4Y14AaABAg,"DEFINITELY , very Helpful Review🤩 Keep going Bro👍🏻😊",1 year ago,Aisha A,UCqoAlKjrayJPXe_DaYxaxcg,2,https://yt3.ggpht.com/rsEVeXTtqNkndfDwx2xI-BW0vnJRgs_NjE55YGEQCbH6-adoYB_8yccKEO4hRdYmXcj3l5iBJyY=s176-c-k-c0x00ffffff-no-rj,1.0
UgwxK2EmMJyKeHLUZlN4AaABAg,Fantastic Review... Thanks.. Can I Play PUBG on it... 😉😉😉 keep posting more n more reviews.. as a gamer I wanna know more n more PC/Laptop Reviews.. Thank you TFQ,1 year ago,MTA Lootera,UClMPwHGlMpZQ05d_IaMoGcw,1,https://yt3.ggpht.com/ytc/AKedOLRkONIiN-HAAFX8Dau2pRNSdeUf4j7q8kk6rbpDxQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyputua6jREHvA6fLF4AaABAg,"Amazing feedback bro !! 👌👌, waiting for much more videos..",1 year ago,ebrahim sharhan,UCAejCHWaMD-9a0ZK83h-2Vg,2,https://yt3.ggpht.com/ytc/AKedOLTMiiK9T5Ej0bhK0TZf6Lc7UJ-tWLA4tX3dxg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz6ItYTQ83QyNDDVeB4AaABAg,Awesome Bro... Thanks for giving a brief review on MAC book... I was confused in buying about it.. but u made my confusion away... thank u bro... it's Fantastic... keep posting more reviews.. love to watch it...,1 year ago,Abdul Munaf,UClqrdgBDLqhnBPxE3yzlXuA,2,https://yt3.ggpht.com/ytc/AKedOLR0rxK06r-LtOqNyRzdjDLtqb9EHZzjdgVOi5U3GV8=s176-c-k-c0x00ffffff-no-rj,1.0
UgyoDi-2P-CvOT5L7el4AaABAg,"Thank you for giving out genuine feedback, could help many in making decision.",1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,7,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxzCnpcRnM2N6fKEVl4AaABAg,This was really a helpful review👌🏻 Very well presented. Thank you✌🏻,1 year ago,Mohammed Shahil,UCWu0-yMNxR1UyjHDKkXcgMA,3,https://yt3.ggpht.com/ytc/AKedOLTj9o1Oeo0yG7m4Txg3aoh7qvUmtfyXcHIHKl4giA=s176-c-k-c0x00ffffff-no-rj,1.0
UgweZM-2uxivG7eLUKZ4AaABAg.9CzeuByCNGO9D-q0iRFpSd,"Thank you.. glad it was helpful..

I don't think we have a solution for heating as of now.. but the next generation MacBooks which are coming within the next year should have better cooling..
So we may just have to live with it for now..",1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbMvTENrcJP31KbUV4AaABAg.9BgRrCjJ8AD9C-QXNoAEiu,Thank you John,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyx_-534DmPAj-mvMx4AaABAg.9BMsu0ltGeH9G6DnqmrhDI,Thank you Farhan :),1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzg8B7pW_y8nh7F84Z4AaABAg.9AVQSLax2Tr9AVwpVKsKSe,Thank you Sheeba :),1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTnjobzMV8L37s4Y14AaABAg.9AVPVUod9Cq9AVwrmerf0W,Thank you Rifa :),1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
