cid,text,time,author,channel,votes,photo,heart
UgyV5rrcrxOPfx48poh4AaABAg,Mashallah! You are really an SQL genius... 👍,2 weeks ago,Ashab Humza,UC3kPtknAX06goCUf5gpIcog,2,https://yt3.ggpht.com/ytc/AKedOLTW4RHkY-sG4yVu3SW21YfUwiYaigiq6ClUng=s176-c-k-c0x00ffffff-no-rj,1.0
UgwdK9FTrRe6dL5MUgF4AaABAg,You are one of the best SQL instructor on YouTube. I have been using SQL for more than 2 years but still I have learnt so much from you. Please keep uploading the videos. Thank you!,3 weeks ago,Manan Shah,UCoexv09qoC0BW2lLQl9Gc8g,3,https://yt3.ggpht.com/ytc/AKedOLQTu2j2pzsxesfjsMWD4jJv7Qaijs8d9prOEbkJ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwuV84c2YHXXdzDtup4AaABAg,"Great way of explaining complex concepts so that everyone can understand it clearly, you are a life saver.",3 weeks ago,Abhilash S,UCVWIkKl6AvclWXb4Q3r4Qhg,2,https://yt3.ggpht.com/ytc/AKedOLR1Z9bXgUzfx0-uLGnCnkG_aRwzN7mMvpKINfvVUw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzmZ-eRajtTtY9z92V4AaABAg,Good explanation,3 weeks ago,juhair ahamed,UCzNxEr0GhmSbdPq_YQebihg,1,https://yt3.ggpht.com/ytc/AKedOLTy3OL1IE7Kbn5B_C7P2xTbeLs8g6jWAyMoJ7SmyRA2H5uzjgmF8FFb1xiPIVpP=s176-c-k-c0x00ffffff-no-rj,1.0
UgzKDvEVkRcSLYVCueF4AaABAg,Thanks for the tutorial ..in the last solution ..I think it's the order_date column that establishes the fact that two rows are consecutive because order_id is varchar and comparing one order_id with another order_id doesn't make a lot of sense..so row_number() should be over order_date and not over order_id.because our final ouput should say which orders(order_id) are consecutive..we shouldn't make that assumption.,3 weeks ago,Sudhir Kumar,UC8IncJQXkWG03NwdUC3gGnA,0,https://yt3.ggpht.com/ytc/AKedOLT0rkOMZDx2Dckvb7dRVZECRhOmyotOnKFeHt68=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8ZComEJqTVj2AYJV4AaABAg,Such a nice concept.,1 month ago,Bibek Rawat,UCXAO6luWXTz4FDalK5D4_8Q,1,https://yt3.ggpht.com/ytc/AKedOLTGqvwxF-M7JnTUhs5LCFnTbQ_qt-Hum0rfdw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzKAkiqj2GIxN_MSTN4AaABAg,"company,fiscal_year
-------------------------------
ABCD,20702071
ABCD,20712072
ABCD,20732074
ABCD,20762077
XYZ,20692070
XYZ,20702071
XYZ,20712072
XYZ,20732074
i have this dataset how can i create a logic if ABCD have 3 consecutive year like 
20702071 
20712072 
20732074 
then  ABCD is labeled as a stock
how can I build a query for this ?

select *,row_number() over() as rn, 
fiscal_year-row_number() over() as difference
from dividend;
but i got difference 
20702070
20712070
20732071
20762073
20692065
20702065
20712065
20732066
20692061
20702061
 like this",1 month ago,Ijan Shrestha,UC3Pu66-_YsXbTHsERlAQsow,0,https://yt3.ggpht.com/ytc/AKedOLRDdpLtFdJFoi_Tcl88jpK5qjgi3sFsds0mHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyT_Gka9WRl_A4wVNF4AaABAg,Complex query explained in the best way,1 month ago,Reign Gamer,UCpcVNzfMqF8x_kmurFSPkRA,1,https://yt3.ggpht.com/ytc/AKedOLSIWjpz1sD4T7Ol61GLdRzYH2syuP-6-rqQF0JS=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw-bL_A2slvzKBM-ip4AaABAg,why u dont provide dataset,2 months ago,Kumar sahil,UCg6Q0p76Lcmfug0mTxGO3Sw,0,https://yt3.ggpht.com/ytc/AKedOLSJCL3jn7DRmy42Z6J18CTeTmwjrQFsDX1JIbkmbw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxiwlXQI26wDovKbWd4AaABAg,All of your SQL videos are really helpful to understand the advanced concepts. Thanks for making them.,2 months ago,Vikrant Tyagi,UCO9fZkj-YLU6LboK5xee0-w,1,https://yt3.ggpht.com/ytc/AKedOLTTMaOeFQpBP9AKxME07sICOh4Y_czOs6Q50bYt2g=s176-c-k-c0x00ffffff-no-rj,1.0
UgxVmKN9Nn4cIoScC2p4AaABAg,"Yes, indeed your tutorials are really helpful man !!",2 months ago,Sajid S Shaikh,UCj7gB6sm6drZKUXaDqzd_5g,2,https://yt3.ggpht.com/ytc/AKedOLR0VY4-wdjjeR2P71bjO3sXx5s-zjRfhn6OLGdDqQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyicb0PK7esGgd2kzt4AaABAg,"Hello, I am working in mysql work bench. I cam up with an issue that when I use cast function to convert the rownumber to int i.e (date - cast(row_number() over()) as int ) as diff. Could you please help me solve with this issue.",2 months ago,g parvez,UCgogrhoBt6jjNVk2cyyu7VQ,0,https://yt3.ggpht.com/ytc/AKedOLQAAbKjb9DypSUpddpS4TjBmveJG75DsoBQjA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxm1wjFpVDkYXfpo314AaABAg,Loved the approach.Thanks for sharing :),2 months ago,Zara Ahmed,UCbvKIgFbDxMDVaSPUXpwbCA,1,https://yt3.ggpht.com/ytc/AKedOLT87PDBy1RcPcqAl3GKscpwStTW4Zn55qx8HFTdsQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw1DkKwPf6hLj76Pkp4AaABAg,"Amazing explanation, by the way you’re using a tool or any online editor to run queries .",2 months ago,sandeep kumar,UCFBEfN37tj15DisTJLLzf-w,1,https://yt3.ggpht.com/ytc/AKedOLT976OQ2CgCH8_ll381YPlpYq21hBrvaGWpupnI=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw_55uv12udHIsEe9l4AaABAg,Thanks mate! Very useful indeed,2 months ago,hadi,UC1U4CS88J0wFuQzL7clYwIw,1,https://yt3.ggpht.com/ytc/AKedOLRKr7UPloJK761dl7goZPBlrGvDcclG1jiQwZPS=s176-c-k-c0x00ffffff-no-rj,1.0
UgwU2TqXDCvmsW5jpBB4AaABAg,@techTFQ  Is there a way to get dump of data or database which you walkthrough in your videos ?,2 months ago,Amith Optimist,UCgXXFfrU0qiK_SkHz7XEQKA,1,https://yt3.ggpht.com/ytc/AKedOLTtNuv5j0k19g1Whl_1XTC_JytNLj9R-6yKoeLxZA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxHziBLgIQdU_peW4F4AaABAg,Very well explained about problem statement. Watched many videos regarding SQL on your channel and it's easy to understand. 👏👌,3 months ago,Nilesh Kadivar,UCPeeGiRqyV5znVrWI98BfRA,1,https://yt3.ggpht.com/ytc/AKedOLQsLB899qSOwtYhrhtSxAX8PgNa3sfNH7IFrXxPNYg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzJGIU-_wfXAjOZOet4AaABAg,"For Second Part,

In MSSQL, this can be used:

WITH T1 AS (
    select *,
    ROW_NUMBER() OVER (ORDER BY order_id) AS RowNumber,
    DATEADD(day,-ROW_NUMBER() OVER (ORDER BY order_id),order_date) AS DIFF
    FROM orders    
),
T2 AS (
    SELECT *,count(*) over(partition by DIFF) as no_of_records
    FROM T1
)
SELECT *
FROM T2
WHERE no_of_records=3;


Thank you :)",3 months ago,Priyanshu Tiwari,UCGwv0EATMpaQvWHI6KOzqMQ,0,https://yt3.ggpht.com/ytc/AKedOLRl0Ve2fI1FRvHfoKGTLvuWZHtKIRzllhrRrS-36s4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7YBtlsLCpGbLzoit4AaABAg,I have its photo graphs do u have mail id sobthat i can send it,3 months ago,Priyanka Kulkarni,UCCQeS58oYD6eWQqQY_HYxKQ,1,https://yt3.ggpht.com/ytc/AKedOLQekggVfxRM9F3fGfIXO6KKt9j49kgaJT3nJ_AnxB1ZxPHQaHZm_vb9L3BOILcE=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzw8oKHRCMYfxKKoTN4AaABAg,I have a query can u explain this please,3 months ago,Priyanka Kulkarni,UCCQeS58oYD6eWQqQY_HYxKQ,1,https://yt3.ggpht.com/ytc/AKedOLQekggVfxRM9F3fGfIXO6KKt9j49kgaJT3nJ_AnxB1ZxPHQaHZm_vb9L3BOILcE=s176-c-k-c0x00ffffff-no-rj,1.0
UgyV5rrcrxOPfx48poh4AaABAg.9_CgBxXfymD9_DpgQGOhFG,Thank you Ashab ☺️,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwdK9FTrRe6dL5MUgF4AaABAg.9Zxm8cJLYP79ZzJeIWjJnd,Glad to hear that Manah :),3 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuV84c2YHXXdzDtup4AaABAg.9ZwjTikLW0B9ZwjzddjNyw,Thank you Abhilash .. glad you liked it,3 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmZ-eRajtTtY9z92V4AaABAg.9ZsE7Yo7vHJ9_B8AKPKiPD,Thank you :),2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKDvEVkRcSLYVCueF4AaABAg.9ZmzQNFehuT9Zn-rs6N0jA,Here Order_date should substitute ID(primary key) from first problem/solution,3 weeks ago,Sudhir Kumar,UC8IncJQXkWG03NwdUC3gGnA,0,https://yt3.ggpht.com/ytc/AKedOLT0rkOMZDx2Dckvb7dRVZECRhOmyotOnKFeHt68=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8ZComEJqTVj2AYJV4AaABAg.9Z9oznfVSa89ZAXSTnIbvv,Thank you 🙏🏼,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyT_Gka9WRl_A4wVNF4AaABAg.9YeJUvv0kSS9YebRaVMapB,Thank you :),1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-bL_A2slvzKBM-ip4AaABAg.9YISBYdNYTt9YWIi5zqajs,I have provided. you can find it in my blog. link to blog in video description,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiwlXQI26wDovKbWd4AaABAg.9YFt6idxyJx9YWJJwFmcs8,Thank you Vikrant :),1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVmKN9Nn4cIoScC2p4AaABAg.9YByreOr-1w9YCYh2xs_3u,Glad to hear that sajid!,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxm1wjFpVDkYXfpo314AaABAg.9Xyd6cY3NZP9Xye8wvfsPM,"Your welcome 🙏🏼 
Glad this helped",2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw1DkKwPf6hLj76Pkp4AaABAg.9XpX-Qhnz5e9Xs4DpNF_x0,"Thank you :)
I use PostgreSQL database and PgAdmin tool to write queries",2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_55uv12udHIsEe9l4AaABAg.9XXQ-6xFxBk9XXQybWnnqU,Your welcome buddy,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwU2TqXDCvmsW5jpBB4AaABAg.9XI2l4bKkxN9XINFNPMMQd,Yes you can find it in my blog and I have provided the link to my blog in the video description,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHziBLgIQdU_peW4F4AaABAg.9XDz6vjK8Yw9XGFwZGpAf4,Thank you Nilesh,2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7YBtlsLCpGbLzoit4AaABAg.9XB-DX4eVwt9XBFS4tb4pg,I got your msg on IG and I see there are too many queries.. very busy no so I can look at it when free .. sorry for that,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzw8oKHRCMYfxKKoTN4AaABAg.9XB-9E64Hzg9XBF4dOvRn0,Sorry but I cannot assist anyone personally due to my time constraints,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
