cid,text,time,author,channel,votes,photo,heart
UgzJmFnzcLxzlBnlgAd4AaABAg,Thank You for making these videos. Keep doing Thoufiq. We appreciate your good work,3 days ago,Lalitha C,UCSBDM94T4g_746kqZLCNfbQ,1,https://yt3.ggpht.com/ytc/AKedOLRZY8X799w6tFMVKf9kd5f4FhgNDP1x9akWjg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwRSdmBSa5jTRrWcnt4AaABAg,Wow!! what an amazing question and how beautifully you solved it.,2 weeks ago,prashant verma,UCI_fwuRO4dJ0mfBIM879dxg,1,https://yt3.ggpht.com/ytc/AKedOLQ3giRQ1uLZbU5vqmTS8Qg3ZG25pyJls66BEQOa_S0=s176-c-k-c0x00ffffff-no-rj,1.0
UgyI7Xf9YI88uO0gdxJ4AaABAg,"Thank you for making all this tough query easy for us really your way of explanation thanks a lot 
if possible can you please explain this below problem from stratascratch this might be easy but i tried lot of time :

""""Find the customer with the highest daily total order cost between 2019-02-01 to 2019-05-01. If customer had more than one order on a certain day, sum the order costs on daily basis. Output their first name, total cost of their items, and the date.
 
 For simplicity, you can assume that every first name in the dataset is unique.""""",2 weeks ago,Ravi Sharma,UCLNLFvAUdv_GPAYXc-wkk3A,0,https://yt3.ggpht.com/ytc/AKedOLTN2k1I96RWhX5qBtoeR0eekQYAbsAEGkIAI0DJBh8=s176-c-k-c0x00ffffff-no-rj,0.0
UgytlA5zEutkt1hG7Zh4AaABAg,"Pls make more real interview questions, excellent explanation.thank you.",1 month ago,AV,UCGdy8hswzNt0UArOExwRxYw,1,https://yt3.ggpht.com/ytc/AKedOLQLNrpfoKv29OFFumJ2fgi6_23-G2t6ORbLo6BQjQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzxfdt33QTX4IuP6HV4AaABAg,"Oh my.  What a very, VERY clever test and I'm NOT talking about the problem definition.  There are 3 faults in this test and I strongly suspect that a hidden part of the test is... did you find the 3 faults?  Tricky, tricky, tricky.  Either my hat is off to the person that wrote the test or they should be fired for phat-phingering an important test.  There's a lesson to be learned in all of this when you're taking a test, especially if it's a BIG company that you want to work for. 

The numbers they posted as the correct numbers do work out right if you manage to avoid the 3 faults in the test.",1 month ago (edited),Jeff Moden,UCnln92mVlkdOesNdX30rdDg,0,https://yt3.ggpht.com/ytc/AKedOLQmcN8DFCCRlbHN-j6wYHYtwR27j9J2hsmxdA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyziuo9hBram-rBfhF4AaABAg,good one,1 month ago,Saif Khan,UCdpAC9UONjKP2-9CHeCMLew,1,https://yt3.ggpht.com/ytc/AKedOLSlQ2WUPQ5mCs4wL8GFjZ8Pw3QeD31FMyFyG0sLFQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy2kIoQQnppAPXkHt94AaABAg,this guy nailed it all... your explanation is so clear and you teach so well.,1 month ago,JimJohn,UCIMrBRnKMdmImueIRhXsj0w,1,https://yt3.ggpht.com/Iq9AMEdOpcRqlguU4t-hHDeyzonPWaA12RBM7gOVOrSJmovAEchsvpq79g1atxflf2ghZN7EXzI=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwq8Y2RniZWgQ0EEAx4AaABAg,I need one help ..how to find last business day of a month please.,1 month ago,Ramesh Babu,UCLhF6MtfQwZuy0l0zydjOGg,0,https://yt3.ggpht.com/ytc/AKedOLSjYyHlDfliZuMxgTu6bYrZnTd8AYXPf6x72A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-6ngYktxasGozklp4AaABAg,"I wanted to take a crack at this. I downloaded MySQL and created a table of this data and came up with this;

with 
inbound_inv as (
	select a.ID, a.OnHandQuantityDelta, a.event_type, a.event_datetime , sum(OnHandQuantityDelta) over (order by a.event_datetime) as runningInBound
	from inv_log a
	where a.event_type = 'InBound'
	and date(a.event_datetime) <= @age_as_of
	group by a.ID, a.OnHandQuantityDelta, a.event_type, a.event_datetime
	order by a.event_datetime), 
outbound_sum as (
	select sum(b.OnHandQuantityDelta) as allOut from inv_log b
	where b.event_type = 'OutBound'
	and date(b.event_datetime) <= @age_as_of), 
aging_data as (
	select
	case when c.runningInBound - d.allOut > c.OnHandQuantityDelta 
		then c.OnHandQuantityDelta 
	else greatest(0,c.runningInBound - d.allOut)
	end as InboundLeft,
	case 
		when datediff(@age_as_of, c.event_datetime) between 0 and 90 then '0-90'
		when datediff(@age_as_of, c.event_datetime) between 91 and 180 then '91-180'
		when datediff(@age_as_of, c.event_datetime) between 181 and 270 then '181-270'
		when datediff(@age_as_of, c.event_datetime) between 271 and 365  then '271-365'
		else '365 +' 
	end as agingCategory
	from inbound_inv c, outbound_sum d)
select ifnull((select sum(InBoundLeft) from aging_data where agingCategory = '0-90'),0) as '0-90 days old',
       ifnull((select sum(InBoundLeft) from aging_data where agingCategory = '91-180'),0) as '91-180 days old',
       ifnull((select sum(InBoundLeft) from aging_data where agingCategory = '181-270'),0) as '181-270 days old',
       ifnull((select sum(InBoundLeft) from aging_data where agingCategory = '271-365'),0) as '271-365 days old',
       ifnull((select sum(InBoundLeft) from aging_data where agingCategory = '365 +'),0) as '365+ days old';",2 months ago,Travis Stratton,UChLOesw6eHy5d8oETh_je3g,0,https://yt3.ggpht.com/ytc/AKedOLSAc9AfXQTA7Qhx7KelMzWOqVesd4zYuu9FqA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIEo9H1c2olA3zz1V4AaABAg,"At 24:04 ,"" 180th day ka segregation"" this shows , you know good hindi ...",2 months ago,Mohammed Faisal,UCK1LQZPfEbH4CLS_9HCIPmA,1,https://yt3.ggpht.com/xNDM6f2wuPjjf_2fh_KJud9R60AIstJ_NQ9YFk1by1yCKPRZ5mWo0tdKSTS5x2c3vSXp8glDQw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyUbsFWNw-HZXbs83d4AaABAg,"Try with. different data.
Just three transactions with zero initial stock.
Day 91.  1 in;   Day 90. 1 in;   Day 1. 2 out.
Now check line 29.??",2 months ago,David Lewis,UCAjBbtUPuKecPeuy4gQ-llQ,0,https://yt3.ggpht.com/ytc/AKedOLSHRTM1LEVc_KNE9WQ8VDHP_HMkqw3U2raLrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZsh14Q4G43RmFJjN4AaABAg,"@techTFQ i know the main idea that we need to find the remain in (90-180) by  (0-180) -(0-90). But i still wonder why you compare DaysOld_180 to (onhandquantity-DaysOld_90) which DaysOld_90 in inv_90_days_final not  inv_90_days. Can you tell the different between them? i try the second way, i know it wrong but i don't know why (onhandquantity-DaysOld_90= negative number in some case if DaysOld_90 in inv_90_days). Thank you in advance!",2 months ago (edited),Thế Trường,UCMh4-73ju_PiGxyQJ3CkpEg,0,https://yt3.ggpht.com/ytc/AKedOLQtauw6wnt-J-2g3Ht96qdvwlOSGptXuHePyKiVJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwJ-V6iI1CpNqkHVEV4AaABAg,"@techTFQ It's really cool to break such a big task and then plug the pieces back together to get the final result, Enjoyed the video. However, I have one question. Can this be done using recursion? Please let me know.",2 months ago (edited),satya mathamsetty,UC2_4DZ2-Mjl3z7mKMRUfFGg,1,https://yt3.ggpht.com/ytc/AKedOLQAaioJNe49yQLGghFF4Wr6dC7v9y9rvWrK_jgy-Q=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyi7Tmon4XfedqDs7B4AaABAg,👍👍,2 months ago,hadi,UC1U4CS88J0wFuQzL7clYwIw,1,https://yt3.ggpht.com/ytc/AKedOLRKr7UPloJK761dl7goZPBlrGvDcclG1jiQwZPS=s176-c-k-c0x00ffffff-no-rj,1.0
UgwvoJJzbt6SodMhJOV4AaABAg,"Here is my MSSQL solution
with cte_current as (
select top 1 OnHandQuantity AS CurrentQuantity
	,event_datetime AS CurrentDate
from warehouse
order by event_datetime desc
)
, cte_data as (
select *
	,sum(OnHandQuantityDelta) over (order by event_datetime desc) AS CumulatedQuantity
	,DATEDIFF(DAY,event_datetime,CurrentDate) AS Age
	,CASE 
		WHEN DATEDIFF(DAY,event_datetime,CurrentDate) <=  90 THEN '0-90'
		WHEN DATEDIFF(DAY,event_datetime,CurrentDate) <= 180 THEN '91-180'
		WHEN DATEDIFF(DAY,event_datetime,CurrentDate) <= 270 THEN '181-270'
		WHEN DATEDIFF(DAY,event_datetime,CurrentDate) <= 365 THEN '271-365'
	END AS AgeGrouping
from warehouse w
	cross join cte_current
where event_type = 'InBound'
)
SELECT 
	 ISNULL([0-90]	 ,0) AS [0-90]
	,ISNULL([91-180] ,0) AS [91-180]
	,ISNULL([181-270],0) AS [181-270]
	,ISNULL([271-365],0) AS [271-365]
FROM   
(select AgeGrouping
	,sum(iif(CurrentQuantity-CumulatedQuantity>0,OnHandQuantityDelta,OnHandQuantityDelta+CurrentQuantity-CumulatedQuantity)) AS Quantity
from cte_data
group by AgeGrouping
having sum(iif(CurrentQuantity-CumulatedQuantity>0,OnHandQuantityDelta,OnHandQuantityDelta+CurrentQuantity-CumulatedQuantity)) > 0) p  
PIVOT  
(  
SUM (Quantity)  
FOR AgeGrouping IN  
( [0-90], [91-180], [181-270], [271-365] )  
) AS pvt",2 months ago,Eike Becher,UCn4q16oAvhCXzLDUI4UGuPg,0,https://yt3.ggpht.com/ytc/AKedOLR5b2MK8DT8AQpiDSN1-mRqr_EbJvrgdptVik4qEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZ0O0WyikFMUkEo6d4AaABAg,great job and please can  you make a video on window function,2 months ago,Fache,UCXURIxeAT3b6IqjdjSr8l8A,1,https://yt3.ggpht.com/ytc/AKedOLQoVEYXgSdZle4zvxzdVztHA-0miv928YTa1fkl6ZlDI8HrbmsqXti3bBb_Mw0L=s176-c-k-c0x00ffffff-no-rj,1.0
UgzksMnEEd086vjJfW14AaABAg,"hey @techTFQ couldn't help myself to try this out. I did this using analytical functions and arrived to the correct solution in just 10 lines of optimized code. Also liked your solution, its easier for people starting as analysts, though its unoptimized.",2 months ago (edited),Apramey Mishra,UCBBy5p019yQ41ePFimiBS2g,0,https://yt3.ggpht.com/ytc/AKedOLQgtzv0vxXEzkQXF3FizlE9DQfq2CV1vZoCeA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTxGivPPvpaCUfGAx4AaABAg,"Is that table definitely correct at the start? Shouldn't TR0010 show 347 OnHandQty?
You have two rows that -1 but they both show 346 after 348.",2 months ago (edited),DecimasoN,UCQ6dBiUAR_o_CA5KUhLp9Vw,0,https://yt3.ggpht.com/ytc/AKedOLQqDUhu5-jeg2fGEpE6xd0NuVPNenfcFPabcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDDGeG-emxjaHA85J4AaABAg,"(at 5 minutes in) I actually work with SQL in a warehouse, and I would stop here and say the question and scenario is flawed. The warehouse management system should be redesigned first as it will have major issues in real warehousing scenarios.

The assumption that a warehouse that is designed to use FIFO will actually always do so assumes that no mistakes ever happen, no inventory ever gets misplaced, and nothing is ever manually moved outside the system design specifications. Among other things, a warehouse management system should know the current location, receipt date (or expiration date), and quantity for each pallet/location individually.

When you're already storing this information, the original question becomes trivial.

Also, the question does not account for inventory over a year old. Rare though it may be, it might still happen.
A report I use regularly identifies product over 2 years old, since at that point we have to start worrying about age-related effects.",2 months ago (edited),Bleu Squid,UCKXLMyTiseLlXAcrZRwyULQ,0,https://yt3.ggpht.com/ytc/AKedOLRTujbvy2vUMBElgmoekXo_Nke0P4YpYiNETNWhhA=s176-c-k-c0x00ffffff-no-rj,0.0
