cid,text,time,author,channel,votes,photo,heart
UgxZWbdbK6hRq4jR78x4AaABAg,Very good. You are a great teacher.,6 days ago,Anura Senarathna,UCivRUksZF9hKXjnVYxB0TEQ,1,https://yt3.ggpht.com/ytc/AKedOLRlCeRBksArW05XaUs_Wsn7ETpAHFiw2dNIRw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzKUMXGDUqUQjYDUrJ4AaABAg,"Hi sir. I have seen all your Videos.Your lessons are excellent especially SQL & Python.
Now I'm currently studying data Engineering and start learning python.so I have a question which are the most important topics which should i cover.all this topics you are completely in your Lessons series.
So this python  are enough for a become a data Engineer.or some advace python I should learn.",10 days ago,Hunter007,UCZQLgT6bO1IkUOfM9Bv88iw,1,https://yt3.ggpht.com/ItQVtpjctWWbwcF292FbsywosJ8qw1B9GkGBgV0O4hqVl9KJDb86hxOsEraBZoqTqEGywFX67Kc=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx_EoLl8vRbArnZvgR4AaABAg,It was a great session.thank you for your efforts.,12 days ago,Hunter007,UCZQLgT6bO1IkUOfM9Bv88iw,1,https://yt3.ggpht.com/ItQVtpjctWWbwcF292FbsywosJ8qw1B9GkGBgV0O4hqVl9KJDb86hxOsEraBZoqTqEGywFX67Kc=s176-c-k-c0x00ffffff-no-rj,1.0
UgwUJ_XLTloSitGj3UB4AaABAg,"excellent explanation, thank you....",2 weeks ago,wol longar,UCaflaCsvv-0S1p7w4dxD8iA,1,https://yt3.ggpht.com/ytc/AKedOLSkcCwUWfw0SYpotAR_C1iuC3smqBV9THneNQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzJJ5gnmAsIvkm6-eN4AaABAg,"Hi, I am stuck with this question. unable to input the 'if' condition under RegEx. ""write a function that highlights where two ‘o’ characters appear beside each other in the given string only if there is another occurrence of two ‘o’ characters appearing beside each other subsequently in the same line."" can you please help",1 month ago,Siddharud Tevaramani,UClqmA2QWBGbnmT_aJRGWkdg,0,https://yt3.ggpht.com/ytc/AKedOLQAnd8gHAkutJn_XltZcJPDdIx-Xe4ZTL6OiJcM0HQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqlDIzUvjCER-xmn14AaABAg,sir how can I take the input from user in multiple lines. please help me in this.!,2 months ago,jsm vlogs,UCc7dH2r4gNbhtrsRyniZgdg,0,https://yt3.ggpht.com/ytc/AKedOLQ8Ha9D0DySbrCPM74bL-gfHy3s3chRrjgSnj7E4gM=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyuSOD5NqNNeDR9wh4AaABAg,Tq bro,2 months ago,Prajwal Ks,UCK4drUYZbxz1CtbVIODjjEA,1,https://yt3.ggpht.com/ytc/AKedOLQr2J7Sc7wEJRUrqH3MR10idgXderf2TGBZIA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyRQO7kFaUaWy4Y_n14AaABAg,In the month section can we apply limitations that month number should not exceed 12,3 months ago,Programming Punch,UCH5eSWOcYsDbpa_3U6wxyQA,0,https://yt3.ggpht.com/quKbMfboaPLL_C0NoTuuBcNphAi20_hyadE-GBd00t_hGKV5nkq9aE3XgC1p-ACaGMudlMvIGg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQij4HTnGI1grXl054AaABAg,"Cleared the Whole Concept, Thank You, and Please Create Similar Videos for the DS community.",4 months ago,Ganesh Devare,UC3ETahxH9qtL1ii92KJB6gA,1,https://yt3.ggpht.com/ytc/AKedOLRH9-QwmG7qfTLiaBmo-wW0Z-q_m0X6AWw_Eixp=s176-c-k-c0x00ffffff-no-rj,1.0
UgxSWj8Gy10DCEMmfJB4AaABAg,Luckily came across. Belive me this channel is very very useful to learn. Clearly from basic to advance. Every day i watch 2 videos atleast to learn something. Thanks for all your efforts. Appreciate!,5 months ago,Techgeek Studio,UCG-QoqXLd9lyFAlle_pGEZA,1,https://yt3.ggpht.com/ytc/AKedOLQgWjInkp7WlU8RDOXgoIhYYVCojpbRu6uUXLUy=s176-c-k-c0x00ffffff-no-rj,1.0
UgwUr-pDGYWYcdwgTZ14AaABAg,"I enjoyed the session.
Liked and subscribed",6 months ago,Sandip Maurya,UCu6X6ZqD9n3H_DCxq7eHtFw,1,https://yt3.ggpht.com/ytc/AKedOLQN5WjDOh88dQMJty_cUcq3NiuYTtM2RW2brHfiFQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugws15aCqFVGVrfKo654AaABAg,"Sir Please make a video on Pandas,Numpy etc for Data Analysis",6 months ago,Reign Gamer,UCpcVNzfMqF8x_kmurFSPkRA,1,https://yt3.ggpht.com/ytc/AKedOLSIWjpz1sD4T7Ol61GLdRzYH2syuP-6-rqQF0JS=s176-c-k-c0x00ffffff-no-rj,1.0
UgxMd4PTl-Uq9hkqzEd4AaABAg,i enjoy a lot in your session .one thing i ask you that is it complete regex?,6 months ago,Manu Agarwal,UC-YxASy1wtBSB5dm9FOp-EA,1,https://yt3.ggpht.com/ytc/AKedOLRod4-DWZc6bWof1F1JRjhg-6GLqcnwdfojCzJm9A=s176-c-k-c0x00ffffff-no-rj,1.0
