cid,text,time,author,channel,votes,photo,heart
UgyHMTcHD8fHPInPxKd4AaABAg,"Since it's a long video, I am adding the timestamp to each of the sections covered in this video so you can skip and watch only the sections, you are interested in. A BIG THANK YOU to each and everyone one of you for appreciating this video!!!

Timestamps:
00:00​ Intro
01:42​ What is SQL
03:14​ Different types of SQL Commands
03:36​ What is Data Definition Language (DDL)
04:46​ What is Data Type in SQL
06:11​ What are Constraints in SQL
08:33​ What is Data Manipulation Language (DML)
09:40​ Practice SQL Commands (DDL, DML)
21:10​ What is Data Query Language (DQL)
23:13​ Practice simple SQL Queries
25:18​ Operators in SQL (Comparison Operators, Arithmetic Operators, Logical Operators)
34:48​ Case Statement in SQL
36:15​ Different ways to write queries in SQL
42:30​ UNION and UNION ALL Operators in SQL
47:18​ GROUP BY Statement in SQL
56:10​ Sub Queries in SQL
58:55​ Aggregate Functions in SQL (AVG, MIN, MAX, COUNT, SUM)
01:01:56​ SQL Joins (Inner Join, Left Join, Right Join, Full Outer Join)",11 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,44,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzElnc9XH0JcUbEKId4AaABAg,@techtfq I am not able to create table,4 hours ago,Mukesh sablani,UCGN_WyEfR6LlfZTbQ2XcPgA,0,https://yt3.ggpht.com/ytc/AKedOLRhznVG317FwKtL3Ck86ZUDLcfCvx8K4Jon3A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfNAAUGMBuPA9xBG14AaABAg,excelent... only disadvantage darkmode,2 days ago,iam indian,UCwoyiO0uPNTvsqLrq-UYzuQ,0,https://yt3.ggpht.com/ytc/AKedOLT3gRRo1Z-U6_JL_r4QeYqBdBo0iHDON2Q0ymliYjD_MiK07smuC2Fi7NC1jaeS=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXPBea84pBJE14Pw94AaABAg,"Thank you ❤️ brother 😊, thank you so much ❤️😘
This video is very helpful for me",8 days ago,MANTU DUBEY,UChDR6nwi7VJgn88-NChWv_g,1,https://yt3.ggpht.com/ytc/AKedOLTDdB1HvG2Qcr1g86mxjRsfXCB0deqPNOuTP4i7uQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxuitgWyfn8SBbs8n94AaABAg,"Marvelous tutorial just around in an hour! I will definitely go through the whole SQL playlist. Expecting a few videos on business intelligence too. If possible, could you please make it?😊😇 Thanks a ton by the way !!!",13 days ago,Ketan kumar,UC7BXzpdDEkm-Muf9j7SssOw,1,https://yt3.ggpht.com/ytc/AKedOLSS4KtHK6aLMVx_TJnKRADrTRfl3FNkBaP8hmCVY3Q=s176-c-k-c0x00ffffff-no-rj,1.0
Ugxhg3UrmrflCm7PMuZ4AaABAg,"Need clarification regarding order by 2 desc and order by 1,2. What I understand by this is we can give column order/number instead of column name?",2 weeks ago,fouzia Khan,UCNaa4UkygxZ9g2W0RQAMnNA,1,https://yt3.ggpht.com/eD47ds4x4QASkOHCQwjp7rHYLlhbdBGUWADz58wkEd2ULSW5HaQ_0V-CN9cCKe7ED8vJXOON-I8=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx-A962k9CmVRMc46N4AaABAg,https://youtu.be/JkzkrPnOp4w. SQL VIDEO,3 weeks ago,Derartu Fite,UCK5Lcy3S17YB3zxh3uYHw7Q,0,https://yt3.ggpht.com/ytc/AKedOLQTLubnVoKqYXmaDIzyMAFI5Rg0xCYc8LWfZg4VlSU=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXLUBYOfdo1qvgROt4AaABAg,https://youtu.be/JkzkrPnOp4w. SQL VIDEO,3 weeks ago,Derartu Fite,UCK5Lcy3S17YB3zxh3uYHw7Q,0,https://yt3.ggpht.com/ytc/AKedOLQTLubnVoKqYXmaDIzyMAFI5Rg0xCYc8LWfZg4VlSU=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCFDADuzCr0_1ZeBp4AaABAg,"It is very useful for beginners, thank you so much",3 weeks ago,Vinnakota Ramanjaneyulu,UCPaUOT8m2QW1MmNU29jQ35w,1,https://yt3.ggpht.com/ytc/AKedOLSb_B5kGrRTn_1UGwIQC7JX9OHIdBytmQkys9hoEQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwGV9tafEedPYVk23F4AaABAg,Thank You So Much..................✅,3 weeks ago,PRATIK PARBHANE,UCWH6AFddj6aFWHLFyutX-yQ,2,https://yt3.ggpht.com/3sXULd4IPhA929WcN7jJhVobr4mENiZlQcg10ERl4_7moegkrIqD4sPLXRtgDZHquNQyIj4Zgg=s176-c-k-c0x00ffffff-no-rj,1.0
