cid,text,time,author,channel,votes,photo,heart
UgyH-7zi13MWvD6H9Y94AaABAg,"Toufiq sir, your teaching is great thanks a lot...I cant stop myself from not hitting the like button after the video.",1 day ago,atufa shireen,UCvpB168x7_tgjV5_kaoFx_w,0,https://yt3.ggpht.com/ytc/AKedOLS04AWQwe_Xl7_bD9A6jppJcNJZSJnTivCUwQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAFDVVsmCUhpVaYrF4AaABAg,Really amazing....one of the most best platform in utube I ever seen,5 days ago,Chethana PS Gowda,UCTS0-xf5NGBQIRmhE2cbs8g,1,https://yt3.ggpht.com/ytc/AKedOLSRD7IFySPOsvfiJa0IwVfICKu4r-Yu7OtvNvnoPg=s176-c-k-c0x00ffffff-no-rj,1.0
UgynX9OSYXxULbHcDNd4AaABAg,Hi sir pls do video on ssis ssrs,7 days ago,t uma,UCDVRVtKNkcnPXITwMN0XPHA,1,https://yt3.ggpht.com/ytc/AKedOLQL9WeBsTtpjRQY1V0tIQBfZuzseH0hyWc0kA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy39Ogix-IrlGnXHx14AaABAg,Superb explanation sir....really appreciate your effort ... ❤️❤️... highly recommended videos...easy to understand and implement... 🤝🤝,2 weeks ago,Mahesh Reddy Kaanala,UCYmjrw1aa5ET3Ypp80lf9GQ,1,https://yt3.ggpht.com/ytc/AKedOLTCGOOmvfZhAkXAqi6p03u4wDmjRiu9zyMu-JWrJg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwLNSG20llPObdsO5p4AaABAg,"Can't thank you enough! A great resource to learn, keep posting:)

Can you also teach how NULLs are treated in joins?",2 weeks ago (edited),Harkirat Kaur,UChwbP-7R8sJZfSs0jtJf9aA,2,https://yt3.ggpht.com/ytc/AKedOLTTOC1_WtVGnwG1L9qkAqabdEsqtiIALS941SF5uw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx3dx2nru1JV1e7s1B4AaABAg,"Hi, really nice explanation. Thank you. I have one doubt regarding cross join. What if there was multiple records in company table ? without ON clause which company will match against which employee? how it will be decided in that case",2 weeks ago,Sampad Saha,UCAZsi2My6O2HSNg7m8T5C2Q,0,https://yt3.ggpht.com/n0yFH7JVpU3Y30WZwp-IUViZ3QvqM4PHJ697K4tJawvCREx3bIW5CS1SEkJkk16ybEhtct22JQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwf4T8McHLVDT2D4QZ4AaABAg,can you please come up with diagram also...for better understanding,3 weeks ago,Rakesh Bitling,UCJsmnoz2VyKcdN_09EFli-A,1,https://yt3.ggpht.com/ytc/AKedOLTRyuEM34lyy50iyDf16IDymbWRiQ4_z7yKX49O-Tk=s176-c-k-c0x00ffffff-no-rj,1.0
UgwweDoFhCSkKBnC1t94AaABAg,what is your LinkedIn id?,3 weeks ago,Ramandeep Virk,UCnS8jBB7ggDlLLNo3sWDHAA,1,https://yt3.ggpht.com/ytc/AKedOLR3KgRHeWq4DXPOF0jCRekyHYYCynobyFpqFrBmyQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzArwObkIXj3cWb4UV4AaABAg,Awesome work brother!!!!,3 weeks ago,Ramandeep Virk,UCnS8jBB7ggDlLLNo3sWDHAA,1,https://yt3.ggpht.com/ytc/AKedOLR3KgRHeWq4DXPOF0jCRekyHYYCynobyFpqFrBmyQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx3Hab68i4v1k77lJ14AaABAg,This is best video on joins in the whole YouTube ... Nice work man,3 weeks ago,Ananth Jinde,UCSnWr9xph2lp2tW9TopD0gg,1,https://yt3.ggpht.com/ytc/AKedOLQva9B55RCwBfhmY5Vn0seFvg5Mq0TePbzfwyJzrqY=s176-c-k-c0x00ffffff-no-rj,1.0
UgxaT2yNMdwvjaR-peN4AaABAg,Really ossom video felt easy to understand,4 weeks ago,Frank Benjamin,UC0IXMWFdrisHqrp55pEI3eA,1,https://yt3.ggpht.com/ytc/AKedOLQn9DwflPe4NKrEXVBpyC0vq1WtZEZqJQX1qQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgyrA3wT7yeRRui8rCR4AaABAg,"hi bro

in MS Sql will natural join work?",4 weeks ago,Nagaraju Mandra,UC14MLmNasqXEnEgDz7Fu_TA,1,https://yt3.ggpht.com/ytc/AKedOLTTVMpMQItHhVHTr-8DlZVNhPuE6sZgfsfTFI99gw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxnrqtLvDU3Yu9WsPJ4AaABAg,I can't believe I'm paying college fees with profs that can't even teach this well...,4 weeks ago,Daryl Ang,UCMKrllRN063bFbiG96oyCnQ,1,https://yt3.ggpht.com/ytc/AKedOLTAEdv_eXK4D6zsVrDGiqcAN6lKTj2iQgKSOg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzGPks-NcJlhZR-nCJ4AaABAg,Best teacher for SQL.,4 weeks ago,Anas Khan,UCJwybActznNrk9EZAIlgVbg,1,https://yt3.ggpht.com/ytc/AKedOLQD-LUI0jsO1JOUQeCdQauLKZIhaeLBYmHK9Q=s176-c-k-c0x00ffffff-no-rj,1.0
UgwF4iIyL28ruU6v8xl4AaABAg,"Tofig, you are rocking it bro! Deep and clear explanation.
Thank you sir.",1 month ago,Qurd edu,UCHpA60riwoo9-w7oMZqlNzg,2,https://yt3.ggpht.com/ytc/AKedOLSG9KMUAiX7Af1ODqbQhClBYOG89WNPzi5aLA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyZnSM3mgZ3yKSM8rh4AaABAg,Great Explanation I must say This is best channel to learn SQL for Data Science Than You @TechTFQ,1 month ago,Mohit Bokade,UC1O8-BVpBAzWr9XPPPQfTcg,1,https://yt3.ggpht.com/ytc/AKedOLRK98ODe-B8fYoiYFcSe4ZBtTJfPZ-EKgSuwpDVV1c=s176-c-k-c0x00ffffff-no-rj,1.0
