cid,text,time,author,channel,votes,photo,heart
UgxL-rKPoCNMzPnrAC94AaABAg,"The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/techtfq02221",2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,4,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-Q0pCWsbwyrLV7Kt4AaABAg,Thanks for educating us...kindly make a video on some awesome session onto Store Proc which will cover from beginning to advance with industry standard and real time example.,1 hour ago,Sanjeet Singh,UCnRxxWIWIl-O4yi0KG8pdIA,0,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaDSuYdUwoFRn-pgJ4AaABAg,Thank you so much!!!,2 days ago,Hasan Ali,UC1uCy6nbS2c6LTfwu2fpdKQ,0,https://yt3.ggpht.com/ytc/AKedOLRwsSF27Iqdl78cq1mGAjXbz14hWSE_fv0CixueW2_2WuivdocERM59chaBn7r2=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyd6TFT_-hKMx0lVcV4AaABAg,I need SQL topic from basic to advanced can you have that playlist so it will help me. Thanks,2 days ago,Praveen Tanikella,UCCGaJ8VQ2ONn-zbIgS8C7bQ,0,https://yt3.ggpht.com/ytc/AKedOLQCadX8mjK-Z68MByAxV3IW1ezPmdEuH24knYyQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnaICwdNl9tM3HnIJ4AaABAg,what database are you using? where I can download it? so its easier for us to learn your tutorial,6 days ago,Psalm23,UCR7ojlUJd6o_3G6xnY1YaOQ,1,https://yt3.ggpht.com/rmfSnJIF17s5GdijXKRq8SWrlpB072aBBgTSuoJ4jdJjduaoB8btIC6Ag0mOvruE8CSblExyaw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzd-kim-f7JhKb0del4AaABAg,??????? ?,2 weeks ago,Sebastian,UCocPwEgUdLMhQCzvuvP_nOw,0,https://yt3.ggpht.com/ytc/AKedOLQip3l-j2DBJXRV97ByGlhY90SPxfPnPLYFBlgj=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVeDK1H8gUihUgbiZ4AaABAg,First of all thank you very much for your efforts and great content ... Humble request from my end please make a video on how we can update views whose are based on more than 1 table... kindly 🙏🙏🙏,2 weeks ago,mritunzay singh,UClq4EOpoYD52BAggrFt1xUw,0,https://yt3.ggpht.com/ytc/AKedOLShVGTLBmZabXf2-ljN17hmTKqMTb_Klt3e2F4W2A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_yno51ZrCjl0PMqt4AaABAg,I would suggest that you make it clear what SQL server you are using.  Using propriety coding syntax can fool people in thinking that can be used in any sql server,3 weeks ago,Anzio Bake,UCTN55yFEGAIrW3AaXZzLXdQ,1,https://yt3.ggpht.com/ytc/AKedOLSLPoxNW0HZj2KoZRVQk5gvi0LiNk7oVObStP13=s176-c-k-c0x00ffffff-no-rj,1.0
UgwFikFCDTRF0V4K10h4AaABAg,"Hey Thoufiq,
This is my 3rd video and I am so glad I found you in the ocean of SQL trainers. Thank You for best video",3 weeks ago,Mohit Bokade,UC1O8-BVpBAzWr9XPPPQfTcg,1,https://yt3.ggpht.com/ytc/AKedOLRK98ODe-B8fYoiYFcSe4ZBtTJfPZ-EKgSuwpDVV1c=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzq7SaJ2p2HWvqITel4AaABAg,@techTFQ If I login its saying your account has been disabled. Kindly help me in Logging in so that I can go through the Queries which has been explained in the video.,3 weeks ago,sagar sherkhane,UCUaWz7g2z642_s0snu2JdMQ,1,https://yt3.ggpht.com/ytc/AKedOLTM0gOoJbqWNV54Tv9AOiZ26MJTxJAzXxkrvRq7Iw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxcJ5KA7mryXGGCUVt4AaABAg,Hi thoufiiq when is your next batch starting for intermediate and complex sql queries,3 weeks ago,Manikya Pavan,UCul4TWIiuIFsZB90TZrlicQ,0,https://yt3.ggpht.com/XIXcTMdgD9A9M98KfQHjsHPjbTEguNvIn7VUbAVsUKMvenzTvRd2d96e69ld2f432AtwzFnJMQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgyFEL4T6Ogpfw5LQ_54AaABAg,"Thanks Taufeeq for your wonderful video. I have a question around security. As you said in your video, we can update table from the view as well although it is not recommended. Don't you think it is security violation? I suppose create a view(only select statement) and assign to user. If user is able to update my table from the view, then it is wrong. What is the way to avoid such scenario? Or user wouldn't able to update as permission is given to view only?",4 weeks ago,SHUAIB AHMAD,UChfwknbKmSGsyb1i7zgtzHw,1,https://yt3.ggpht.com/ytc/AKedOLQmlRKowbb58XYctkdpv94Wfzl3RNz7aPBd_VKkpw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyTB_JDSxbn_hpJELN4AaABAg,Tutorials are very good. Please make a video on all complex json functionality of postgresql. Thank you,4 weeks ago,Python Group,UCiRo203O-kjh1Bp42vZhMhQ,0,https://yt3.ggpht.com/ytc/AKedOLQFdCZCXwtSUOa-qXFR61GhAThGU3cJooyg0rs2d1_hCB55hz5kuRDrzWMGVZmU=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx_8GDMqjbkH_NoK_h4AaABAg,Sir please make a video on connect by clause in sql,1 month ago,Gunjan Saha,UCV1jcy6NAoc0lKFC7S9_Hbw,1,https://yt3.ggpht.com/ytc/AKedOLTLUc3AvbM1Q4yp6Uyk4Lfg2QuBEoyQJ4jcbaAC=s176-c-k-c0x00ffffff-no-rj,1.0
