cid,text,time,author,channel,votes,photo,heart
UgzKO5nGfdPZ-4oYmzt4AaABAg,"sir, isn't that the( total_sales = quantity * cost) and then the sum of products in each individual store . or the cost column is given in the form of total cost.",17 hours ago,Lakshmanan Ravi,UCGdwqysiVKstlCNtMhLKRrw,0,https://yt3.ggpht.com/ytc/AKedOLQqm4tT_u0TQwLDzjpmQwtWeYjUKSHRqqVLmgii=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQPCdTNTF8gYrktIx4AaABAg,Is this SQL platform free for download? How can I get a copy of this SQL?,1 day ago,Mod Hua,UCC94JJmeFAzaG4ILQbwpeiA,0,https://yt3.ggpht.com/ytc/AKedOLQpTuIZJLMyTaQmIaIqhjjjD0LCJzkEhkca_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOJpXw1nm7e4y1YrF4AaABAg,"With query has been clearly explained, thanks for this video",4 days ago,Rajnish P Sinha,UCmMpybwrFQO01zgEvDMO-bQ,1,https://yt3.ggpht.com/ytc/AKedOLRT8PNM57YGeQFu8bizCLMQ_CMUjlhRZ5NVtOMIQQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx9ljMxQtCMvy7qPYB4AaABAg,Welcome,8 days ago,Data Home,UCsaOR6RehO-hKo3_2hcLktw,0,https://yt3.ggpht.com/8QhI7o8BzspN47hNZDBJJ6BH7rU7kfkLDfMoB9ghbmTwFZbPlztBQPUh4UEFftutudpgBbEUOtU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiyLiZ8y5QjgVQmG94AaABAg,"Great explanation, one of the best I have seen. Thank you sir!",9 days ago,Amos Munezero,UCkejoK8kUccNs_A8e4ohK7Q,1,https://yt3.ggpht.com/ytc/AKedOLSSsE01SxOWYM1Og788_2J-1yl5FXmbmVSxWA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz5KOP6wZdKzT8S5OR4AaABAg,Best video!!!! 100x better than all univ professors combined! Such a clear cut explanation!,10 days ago,Mayur Shinde,UCBAyDiL2DcF0IhvFAY4gFjQ,1,https://yt3.ggpht.com/ytc/AKedOLTBGeEZprEIxs5NT6aUCMcGeCl5K62W4qz_3w=s176-c-k-c0x00ffffff-no-rj,1.0
UgyFSyUsP9WSm11GThR4AaABAg,After a week I finally found a channel to learn sql. Checked out your playlist but I couldn’t find the material from beginning. Could you please help me,12 days ago,Gani Sh,UCDzVz8M42jxYTslGSDujS-g,1,https://yt3.ggpht.com/ytc/AKedOLR82SYTsXLrBcoxiIVtja-zA4yqFM4L2C46Ww=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx934VWg_x0b_aU4854AaABAg,"Another big advantage is when using CTE's for inserting/updating records in multiple rows (One-to-one, or one-to-mamy), you can use the returned id in the other queries. 
Mutiple modifications in a single query reduce overall latency from a code perspective.
Moreover, a CTE is executed as a transaction, so you won't need to start/commit a transaction in your code.",13 days ago,Ronald van Raaphorst,UCkTErT_4QWBlkP24iHrnXPg,0,https://yt3.ggpht.com/ytc/AKedOLQ0jkon8rvOpXY2QOQOCBFArrHGR3tjA_XB98zL=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvgDf_yBglWOSTsX14AaABAg,"it was really amazing explanation! since i started fallowing you're videos i can easily  say that i have better understnading of how sql works, thank you so  much Bro for you're efforts!!!",2 weeks ago,Anand Talawar,UCgDTFaEKrpq9D4uMgH-W1jA,1,https://yt3.ggpht.com/ytc/AKedOLTQggVvltrkwZ4Cu9vTseWPYksKXZroV1TC_APS1g=s176-c-k-c0x00ffffff-no-rj,1.0
UgxG7yCSBg9AMURStqR4AaABAg,Simple and clear explanation for usage of CTE. Thanks,2 weeks ago,Sukhjinder Bhullar,UCv23UUWL4voYitTccdIid3Q,1,https://yt3.ggpht.com/ytc/AKedOLTFhnbAaSwLckrdA79kG-yVbF67S4ynftZqPu05eA=s176-c-k-c0x00ffffff-no-rj,1.0
