cid,text,time,author,channel,votes,photo,heart
Ugw6BC4iIguipjNNYkh4AaABAg,"Your all vedios are just amazing.. the style of teaching is very very easy , helpful and useful.. can you please made vedio on cloud based technology's.. if possible.. and all the best..",1 month ago,prajakta wagh,UCWeGg5KOq5X6UtaJfPH3ngg,1,https://yt3.ggpht.com/ytc/AKedOLSmPOtSYT8JwO-QLfPxpbJDkCW-WGFvSWheOROMiw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyLbjZw9nhLmKdzy0J4AaABAg,wow this video made it so clear to me,2 months ago,Pranav Kumar Mishra,UCCZAn8xRst3DKSUsHF0mXvg,1,https://yt3.ggpht.com/ytc/AKedOLQjV4ElWByxAYvrZNuH_sq4reBX_H5il445gDiVSA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwyRvYKv91GJpqIej94AaABAg,"You're creating the most accessible, honest free content, thankyou so much",2 months ago,Prince Nlombi,UCp9nyKfc5ADoj997NSnyttQ,1,https://yt3.ggpht.com/ytc/AKedOLSXda_3Gu5BnXX5azZG8hq-4antOrWUcGaW=s176-c-k-c0x00ffffff-no-rj,1.0
UgzgTunrF5KNFaRiqi94AaABAg,Bro where I get pdf of book,2 months ago,VINAN VIGNAN SAI,UC5BzMRqhdfXDdjvfT4prbgA,2,https://yt3.ggpht.com/RGV54SLMpw1k4xrBTGe_qE0qjBAGQ0Y12zDAuj8krag8NPkIyrYDryX9QAXPFUsMBMKS-3Gdpw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxOvsq0ka_1UJWk-w54AaABAg,Please create video for StoredProcedures,2 months ago,sriviswambhar sarma,UC25UNvPYNiM5iEec_zBPrdQ,1,https://yt3.ggpht.com/ytc/AKedOLRyr_kZgh4C2qUkX-qEVEt05hy6QlY3GAQJ3w=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx6epB5bVDuswSsCSh4AaABAg,his was really helpful👍🏻 You covered the whole picture within 10 minutes👌🏻 Love your content✌,2 months ago,sriviswambhar sarma,UC25UNvPYNiM5iEec_zBPrdQ,1,https://yt3.ggpht.com/ytc/AKedOLRyr_kZgh4C2qUkX-qEVEt05hy6QlY3GAQJ3w=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz-epsjaTpDKzvDagF4AaABAg,"Hi Taufiq,

please let me know if you have planned any live classes for Python.

Thanks",2 months ago,Varsha rachotti,UCtyBgEdIGF2O3JDMpzhx-AQ,1,https://yt3.ggpht.com/fir2_V_Z4gN4Tuia1dqwaFFHticH1tlUNonNvNJFF74f9_AEvQPdFd_jL8hZAOkTtv2LUtBf=s176-c-k-c0x00ffffff-no-rj,1.0
UgzNHJU-uebon-wtPfV4AaABAg,"I use python for forensics and Cybersecurity, and it's very hard to find stuff just in some older books or some videos in udemy etc. That would be interesting for exploring if you could. And yes I've programming basis and concepts, my background is 24+ years of C/C++",3 months ago (edited),Sérgio Agostinho,UCQPbWxaTAgoJlobGaahixMQ,0,https://yt3.ggpht.com/ytc/AKedOLR-HHWfgl1sqh9uvjuQWQDDu8viZDOzZiUs1UxU1A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_tIOBJcryXJPXl-x4AaABAg,thank you,3 months ago,XD COUNT,UCH440_EbmWS1V9Sc99lB0xA,1,https://yt3.ggpht.com/I4iNl-P1v4BQdF5TSZtgp1UvHj3qx_tERgOC3u7CPTk-Foy3Q2Os4rRXMjtb_8I6-Ph5VxJWgQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwo2ecJm93rkZ1IaTZ4AaABAg,Please make a video on Using SQL with python,4 months ago,Ritika Jaiswal,UCWyiXlSc-GIWucRd8gbOMcQ,2,https://yt3.ggpht.com/ytc/AKedOLQvBxGBYm3pWXKLQla3wzNkUMtdH0R9er16rw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyhfp35S2XRNe2IQJV4AaABAg,Brilliant,4 months ago,vinoth kumar,UC0eR_llvoWMvP3CMmHmatzA,1,https://yt3.ggpht.com/ytc/AKedOLS373HPvu07lyJsfZe4EMFaYaSiNPdQoYsjJw=s176-c-k-c0x00ffffff-no-rj,1.0
