cid,text,time,author,channel,votes,photo,heart
UgzKWc0ojh_bGSfTxDl4AaABAg,Useful indeed! Thanks & keep it up👍,12 minutes ago,Ritika Raj,UC-1lmsRu24UkInVM7tnDabw,0,https://yt3.ggpht.com/ytc/AKedOLQb0N3EpGdS9s2RRoOxiLNyBYkfqH_7Az6ArniiXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgSwx-vJdrVFHItnV4AaABAg,"Thanks, for the clear explanation brother. Can you also share therory part of each sql concepts please...",1 day ago,Dinesh Gandhi,UCepVnN7s_w6qa7hW3tdtTYg,0,https://yt3.ggpht.com/ytc/AKedOLSRnn1cnQVUrrLyGMPAFzly1M2vVB6k8Wdrig=s176-c-k-c0x00ffffff-no-rj,0.0
UgyH5qdkJaFeoaVdB1V4AaABAg,awesome. would like more such videos,1 day ago,Pranav Kumar Mishra,UCCZAn8xRst3DKSUsHF0mXvg,0,https://yt3.ggpht.com/ytc/AKedOLQjV4ElWByxAYvrZNuH_sq4reBX_H5il445gDiVSA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5wKQayQi7Kj2_cUp4AaABAg,"For question 1 I would use 
Select isnull(translation, comment) from table",2 days ago,Khaled Kabbach,UCOf_Br-ZWVg-_OjmQy0mAKg,0,https://yt3.ggpht.com/ytc/AKedOLRedV5c5L9L7byFCvrPt_E3IGIpSMaWngr3pa8nbWI=s176-c-k-c0x00ffffff-no-rj,0.0
UgznqPOJNSKmttPn3v14AaABAg,Thanks for your important videos. Do you have a video showing the way to proceed with mySQL SELECT queries binding data from  variables?,2 days ago,FBarralaga,UCY04_Dh1EdriYPAEka4j41g,1,https://yt3.ggpht.com/ytc/AKedOLR4za1B4wQapDjYFFTSzFB34jTK4ffNDaVxR2uT-Q=s176-c-k-c0x00ffffff-no-rj,1.0
UgxRXWqMy2L7mzneYlV4AaABAg,Great explanation. Looks like for the third query you had already solved the second part first using not equal on team names.,3 days ago,Tarun Saha,UC9x7hmHjE9hA6bgnocYtEXQ,1,https://yt3.ggpht.com/ytc/AKedOLQFgj4TpHcAoOhhExInwOsqy2FwKoI7PO5SGmEMGRM=s176-c-k-c0x00ffffff-no-rj,1.0
UgxCnJC9lvj6EzPIVZN4AaABAg,Just Awesome Brother ! SQL is an ocean and you're helping others to voyage !!,4 days ago (edited),Bharat Kumar,UCJ5MXn9UCW9O9EnB9pL7bmQ,1,https://yt3.ggpht.com/ytc/AKedOLSh5sXFXDxttzMlFEjCoKwUdgVtMlV0qyMByjP8FiQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0sKIQFQYG9j6mSVZ4AaABAg,thank you so much. superb video,4 days ago,MURTAZA JABALPURWALA,UCNvfQv8J9hPuGWSWu5UZV3A,1,https://yt3.ggpht.com/ytc/AKedOLRvVjbc_bPo4gNkyZ9cStABJQWtIhJJDqIuPuwVog=s176-c-k-c0x00ffffff-no-rj,1.0
UgwkOI56JtBOaUL1ZHl4AaABAg,"Q-3 
select t2.team_name, t1.team_name as Opponent from teams t1 , teams t2 
where t1.team_name != t2.team_name",4 days ago,Vaibhav Verma,UCdgw21uLLyYsdUjIHCi29eA,0,https://yt3.ggpht.com/ytc/AKedOLQ5d5Pnj_Vre8A01iy4f313bDR6G2LsTt8ME7Cmng=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6LPwkXjQXwa0WeSp4AaABAg,"How about using a full outer join for query number 2. For the third query, I really liked the row ID solution.",4 days ago (edited),Rick,UCqMH2zCzHbc1rM7WsP4-ACA,1,https://yt3.ggpht.com/ytc/AKedOLRU0BHnMN5_YKe-LTYGEANX37Umuhud2GPjJ7MxnQ=s176-c-k-c0x00ffffff-no-rj,1.0
