cid,text,time,author,channel,votes,photo,heart
Ugz8wzNpBKRoPMwUMhN4AaABAg,You are the best sql tutor 🙏,14 hours ago,Meron Haile,UCNmeDWS9RnMgfqphtgF-d-w,0,https://yt3.ggpht.com/ytc/AKedOLS71vr1zdaJgU8VoKgOtl2wgTUrp-JP9IiHLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhKlzjduH3A7Li9Op4AaABAg,Do you have complete course on sql which covers all topics in sequence,1 day ago,parag kelkar,UC9h0BQb7ZbOgkIt0cTpp4Sw,0,https://yt3.ggpht.com/ytc/AKedOLQMGRf0DmbNnAoItrj1fOHrazQwY4EAnzdvfX0yow=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlwGdvYW0qnSMCyxp4AaABAg,"your teaching is much better than many celebrity trainers, great teaching, thank you for wonderful explanation",1 day ago,satish kumar,UCJlZ3fxykfSB092O7ziSEzw,0,https://yt3.ggpht.com/ytc/AKedOLRFn-uBiUUvwcrIh9XLefMrskS2-QZM2lgVkJPhKeD-yUPACdcBWX2a_2nEomqa=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOHHkZ6sNwMcsYq-R4AaABAg,Why do queries with subqueries perform so much more poorly than a query doing the same thing with a temp table or CTE?  I have a process that used to take ~35 minutes.  I took all the subquery out and ran the data into temp tables then linked the temp table in place of the subqueries.   Now the process runs in less than a minute.  It is so dramatically faster but I don't understand why.,4 days ago,Daitaulo Sijisom,UCSEyTXSdR3s7YtlSjZ-Rkew,1,https://yt3.ggpht.com/ytc/AKedOLREEAw_DRDmcM-yGaiGFwgnHNJDQ6_tUUVOjg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyv3vAHdc0sx5qciXl4AaABAg,"This tutorial is very helpful, thank you! 
 Can you please do tutorial on how to compare the results of 2 different scenario’s for example you have a sales table (only one table ) by products for 2021 and 2022. Now assume 2022 sales higher than 2021, and you want to find out what are the top five products that are causing that increase.",4 days ago,MS J,UCSkua-BGHF5hXupSA--EVnA,0,https://yt3.ggpht.com/ytc/AKedOLSJcHJ4m1ce-JTME20Vc--_vvxIK9FUucEDBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV1gk0beoapXQjpNF4AaABAg,"A great explanation and very helpful video it was. Keep it up bro, you are helping lots of developer just like me. 👍
Can you please make a video on query EXPLAIN with different format and show how to read that information to optimize query.",5 days ago,NAJAM US SAQIB,UCyLJc4LFn4xLg-ftRZhliOQ,1,https://yt3.ggpht.com/ytc/AKedOLSIdMg_GNm0LYDQLSHD7bPrw7DBBO3jM3_4qHhB_A=s176-c-k-c0x00ffffff-no-rj,1.0
UgyNTttB_X9rHFCZhgB4AaABAg,Excellent explanation and coverage on SQL sub queries. A must watch!!! 👍👌👍👌👍👌,5 days ago,suregain,UCKLSs47jGlnDJttGuUMhhJQ,1,https://yt3.ggpht.com/ytc/AKedOLQu_T7Dj10whbEMGRY6SWGJ0sMU_O1CqpJzXA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw1h4uL6bY-kDyAd7t4AaABAg,🙏🏻🙏🏻🙏🏻🙏🏻,6 days ago,Tushar Singh,UCEC1So5Xzs7cAzdi0cUx3jQ,1,https://yt3.ggpht.com/ytc/AKedOLRBCasOnFs-iKmRR9jkPCbZb4TxfdAj1eLx3ab28g=s176-c-k-c0x00ffffff-no-rj,1.0
UgxReS84O-_5AQ3l-9l4AaABAg,"I must say, your teaching techniques are extraordinary. Thank you.",6 days ago,ayan Saha,UCoHQNJ_rPI0ilgSTgzYLjtQ,1,https://yt3.ggpht.com/ytc/AKedOLSeWtjkx3NEcsNShImNB5NdDfvfH1u_vfWvX__Vrw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwD0mJ_hyNkisUSHvN4AaABAg,"Thanks for the video, it was very informative, I just have one question - when you calculated the average of sales of all the stores to compare with the total of sales of each store the average was calculated not based on the store. Is that what we were looking for?",7 days ago (edited),Anun Amruth,UCemuFzUiG1MDdh84PxGVZMw,1,https://yt3.ggpht.com/BojHt3MbQLsvET8l2LnHImRJnjzJPXkKb3T2k9fwrT4tKyaCjZI4nzlr9oQ0GX8S-q-GXaZN=s176-c-k-c0x00ffffff-no-rj,1.0
UgwwDtNa8i2ir9ZptNJ4AaABAg,Thanks a ton for this! You are dope!!,9 days ago,Suyash Purwar,UCp8IKWqMEt33hSm3FeLL4GA,1,https://yt3.ggpht.com/ytc/AKedOLThMcYEJyF5sJeNo5GDMElcCyd6wLSYehtNOFytkw=s176-c-k-c0x00ffffff-no-rj,1.0
UgxH2Zt_gwkNiWvlTlF4AaABAg,"Really I appreciate your patience and dedication. 
Clear and point to point explanation 👏",10 days ago,sagarkumar V Budihal,UC0r9IfANY2XaBGZHnf3EvgQ,1,https://yt3.ggpht.com/ytc/AKedOLQkzzqlWwdLlZULLCetzJJufgCHoNc1rVXywg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyDY9Y6obiEu-mrGs54AaABAg,Wow..great teaching....I.would love to refer your videos whenever I get doubts on sql,11 days ago,chaithrakn nimisha,UCln7twf-H8OXG6o-P5zhvRA,1,https://yt3.ggpht.com/ytc/AKedOLTYkG-EfmjnW_yeRKHWXWIraDu9tSYv2dtPR248=s176-c-k-c0x00ffffff-no-rj,1.0
UgyaMqpuaTtZD-AZoJR4AaABAg,great explanation,11 days ago,ADITYA GUPTA,UCJFdejNmaLJuHLQNdUPOq5w,1,https://yt3.ggpht.com/ytc/AKedOLRT0byFBJB_44nCQ95vYMZlPSz_Ckh-0Az54R4H8g=s176-c-k-c0x00ffffff-no-rj,1.0
