cid,text,time,author,channel,votes,photo,heart
Ugz-ZngaHaTHBRUhE-J4AaABAg,"congratulation, I just discover your channel, exceptional well done for SQL & Python learning, keep up the good work",2 months ago,Eng Seng Pua,UCcVT6WfYolbGnjT4EhGNmgg,1,https://yt3.ggpht.com/ytc/AKedOLTQjatdU5311gvq7WomsJMpimTiPEy7uCFgyA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxcPN2HE2s_eTia03Z4AaABAg,My SQL has upgraded because of your amazing questions and approach,5 months ago,Shiv Sharma,UCCz0z8IiU_rjbjBt-4Cbwig,1,https://yt3.ggpht.com/ytc/AKedOLQfRQo_uA1vSYqlSk6zFGJ68elSlUXsaJhrLDhLPg=s176-c-k-c0x00ffffff-no-rj,1.0
UgxfuK_DMhDTlQQOIGp4AaABAg,Congrats Brother.....I Belive your channel is underrated on youtube....You Desrve 1 million subscribers....Keep up the great work...Thanks a Ton.......,5 months ago,shaik usman,UCNFciUah7K0gf_QObCzDXtg,2,https://yt3.ggpht.com/ytc/AKedOLQiVVvdStU7p2OuE__6HHIi_pKXcCEA4PYqhw=s176-c-k-c0x00ffffff-no-rj,1.0
UgwbKIYlkMJHmfizXh54AaABAg,"Great, congratulations. Wish you reach greater heights...",5 months ago,vp,UCcAI9yVnIsE5YOhphG7tPdw,3,https://yt3.ggpht.com/ytc/AKedOLRRPo83rUggOm0wawH9-XAik-T3No19xmSsUhrxYA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx5LulfbR57XW-gBkp4AaABAg,sir is there any video for Fresher Data Analyst interview question Real time.,5 months ago,Prasanna Vidhale,UCN3E2j4bF0flG-y2IpDI5zg,2,https://yt3.ggpht.com/ytc/AKedOLStA7LM08jLIjBgyd2t5qLqEvsJNuwpCULnEg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyaP64KdCCNQGpwsyR4AaABAg,I Really Want a SQL Playlist And Roadmaps from You where to Study and Others .,5 months ago,Shivam Gupta,UC1025CmkkC3vMpnBe1CS_uQ,1,https://yt3.ggpht.com/ytc/AKedOLS-vztKPnjCSJDgaOt_7tRKKVwmBmUVx6HS0YAS=s176-c-k-c0x00ffffff-no-rj,1.0
UgwbawbcEOeVTZa9mUZ4AaABAg,"Congratulations Thoufi ,you really deserve it 💯💯 ❤️",5 months ago,Mohammed Munawar,UCbOjn0x5f9I060Snu5TwlDA,3,https://yt3.ggpht.com/ytc/AKedOLSDqT3_1UPJyyaYMWT_qSJtFrYvf309Dy6zRUyhSQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy9kBDdKyK33sjcTat4AaABAg,"Thank-You for the videos ! 💐
 All good wishes with you. 🙏
I see there's already 12.4k subscribers 🎉🎉🎉",5 months ago,Shekhar Karade,UClujGvDot96CPs9A9JtPfaw,2,https://yt3.ggpht.com/ytc/AKedOLQFW3WTXq7x9ab7HvXpA7RjkQKMEv2X29EOkVQt=s176-c-k-c0x00ffffff-no-rj,1.0
UgzdQsHjjL5_QSuX5XF4AaABAg,Congratulations 💐👏,5 months ago,Mohammed Nawaf,UCZrS6qift0UYYloH0ImBH2Q,2,https://yt3.ggpht.com/ytc/AKedOLROS9lGQKPkp_QSNuuE2uuLhV8neZUpUrbYtG-r=s176-c-k-c0x00ffffff-no-rj,1.0
UgzMkqn8RySlIYpIjC94AaABAg,"Hi bro, I need presto query to retriew yesterday date, e.q select * from table name where date_name = yestersday, Please help",5 months ago,venkatesan venki,UCR0EEUw2Vy_aiwtEfyk9xIQ,1,https://yt3.ggpht.com/ytc/AKedOLTXg30XHGMkuvMZ3JPD7LpNlluH9B3__pprwb38_Q=s176-c-k-c0x00ffffff-no-rj,1.0
