cid,text,time,author,channel,votes,photo,heart
UgwDBUoBPcF5ppLUWZ54AaABAg,do we have any video setup sql in own laptop,3 months ago,omkara rupini,UCgWPsDrjGdhU0BwWZIlZ14g,1,https://yt3.ggpht.com/ytc/AKedOLTmb6FC3RBDK3b3XlQYwrPW9dWFm90DDBPPmA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy6v0zcI-erVXE-DW14AaABAg,Can you please make a video on how to build a complex sql with some examples with joining of 4 or more tables etc. Need the tips to take into consideration while writing complex sql and which is considered as driving table etc.,3 months ago,Sri Babu,UC9oDDLpoRQUACiQrp4mY42A,1,https://yt3.ggpht.com/ytc/AKedOLS4J7gLCOEo6jtahd5H6xqkq6xBb9PD2jVujUF1SQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwTUGLe8J2Wq_3F9Bh4AaABAg,Proud of you,3 months ago,Bharathi Ram,UC8gFhqC0mMX2brljNgREaHQ,1,https://yt3.ggpht.com/ytc/AKedOLQxWsDMLHEnFwdWoV3HjXhmdLeHuQ7mOfrMwQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgzuD_9E-kmT7FrjdgJ4AaABAg,Well deserved,3 months ago,John Okello,UClhK38bFVpUqC_evJvJ1RYQ,1,https://yt3.ggpht.com/jUKn1pUAoFVbZed8pE7BLq7o4xc3MaDwGt2kKQBdqVLiKuwNIJPIGxawF3BqsGxf18x3bJGS=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy-rlsteHUqcb2hLOp4AaABAg,Congrats for your 2K Subscriber in adv. appreciate your effort n looking forward to see more DATA ANALYTICS tutorial with PYTHON & BigQuery,4 months ago,S K,UCfdTgwE7Ln-15lpFBBJls-g,1,https://yt3.ggpht.com/ytc/AKedOLThvGnRTGWBkvz7fAStpeWmZSqIQm30w8eosA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzJq5t-HehuuWDDAM14AaABAg,"The world needs more and more people like you, free teaching is not someone can easily do but your giving it with good quality video and audio. 
with the blessings of the ALMIGHTY you will shine bright and brighter.

I THANK YOU on behalf of all poor people around the world.

May God Bless you and your family with good health✨

Thank You 🙏",6 months ago,Mr.Nobody,UCXO7Mmvn2IlDXVC7p_9S7og,1,https://yt3.ggpht.com/x0b3IcAbQTHi6yeVshOgJTzU2HoCvdQEL2p8U-9GTEWiL9dhs-l5nGgbxskkBvtkDwKJTkzMcg=s176-c-k-c0x00ffffff-no-rj,1.0
UgxbBoVFkzBVfJzQBhR4AaABAg,Great effort Thoufiq! Appreciate your knowledge sharing attitude!! Hope to learn a lot from you.,6 months ago,Sudarsan Krishnan,UCXKpMwcbwEtJlNGIjDhm8DA,0,https://yt3.ggpht.com/ytc/AKedOLQUSpD5VuQ4hwZR5Gtv5WQNUmy1Ru9A2BIOlg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx3cc_dpIIz1mXHZ-l4AaABAg,Many congratulations bro.. god speed 👍,8 months ago,SVS_Shetty,UCzz6DvhknwF-25RKZzjrHTg,1,https://yt3.ggpht.com/ytc/AKedOLSL2goJn5SCFlGITlSH4Jml4sjdnUR060pYCg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwONvxBKmYvCcACJO54AaABAg,you helped me instal PostgreSQL on the M1 Mac! Thanks so much man!,9 months ago,Fauwial Khan,UCnOGIsx_jdQ_w9ah1ScovQQ,1,https://yt3.ggpht.com/PgUTVvx6gH9-4YpdgktYax9Pk1Ki3k7dOhMaZGXZtWd6m67DVZ7ilRIZ-_xEANZKsUl5pLQp=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw2-Nh7vR94C0ffgMR4AaABAg,Congratulations 👍for the content I watched of your channel you deserve it. very useful and indepth,9 months ago,Shikha Varma,UCHaImYglyvaODq6-0Ma9ulg,2,https://yt3.ggpht.com/ytc/AKedOLRSKCRL6PbXnSsoLY5CJmyF1GDEM92bbGvv5g=s176-c-k-c0x00ffffff-no-rj,1.0
