cid,text,time,author,channel,votes,photo,heart
UgzE5cdBlNFn6weN6oJ4AaABAg,Pdf format please,3 days ago,Bojanapu Reddemma,UCN3KVswiMBjr1DCtVCOqBUw,0,https://yt3.ggpht.com/ytc/AKedOLTb2FnqjLFLw4H62z-xQgibPzdkB_A7fWKXjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJbd1PCzmftE2EyNx4AaABAg,"Great video, always a good idea to brush up on whatever SQL instance the company will be using... In some db systems procedures that work far differently than they work for SQL Server, MySQL, Oracle. Others, like Postgress allow embedding an update in a cte... Keeping them all separate is a challenge.",4 days ago (edited),Rick,UCqMH2zCzHbc1rM7WsP4-ACA,1,https://yt3.ggpht.com/ytc/AKedOLRU0BHnMN5_YKe-LTYGEANX37Umuhud2GPjJ7MxnQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgwvMgtW1DSWosRy_pV4AaABAg,"Great content. But suggestion is that you didn't give detailed answers to any of the question in video. Instead you are asking us to refer your blog. So, why should I even watch this video. I can directly visit your block right.",4 days ago,Boobana Manokaran,UCk0HFQ7YKMBQF1HqQQmsADg,0,https://yt3.ggpht.com/ytc/AKedOLT9stEBpqOoqrKgisxqpoJ22SVGv0aqzH5qWWBthqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyo7M6jSdEfT7TLpzV4AaABAg,When join two tables that two tables have null values what is the out put will come means null values come or not give me one example please reply me,4 days ago,Srilatha pola,UCAhA239petqxzBDidBTgbwg,0,https://yt3.ggpht.com/ytc/AKedOLTzl9D5R3tutdwYN339kpLW9DzGFiNexlre=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw_bAuAhBqeDQ0RNm14AaABAg,Welcome,8 days ago,Data Home,UCsaOR6RehO-hKo3_2hcLktw,0,https://yt3.ggpht.com/8QhI7o8BzspN47hNZDBJJ6BH7rU7kfkLDfMoB9ghbmTwFZbPlztBQPUh4UEFftutudpgBbEUOtU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwp1MuEOHvDwzgC_3F4AaABAg,Bhai Iam in  your 10% subscribers... 🤗,8 days ago,Narendra Deore,UCc6MiIn59XRT7Hhw53spW8A,1,https://yt3.ggpht.com/ytc/AKedOLQUziSqdUCZ_74Wd2FBfFGHkSP933Cot9zjRt98Xw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyDWmkb3ouoW0fZ2zZ4AaABAg,Waste vedio,9 days ago,abhishek kumar,UCGznlKhdcv62_l5msF5hOzw,0,https://yt3.ggpht.com/ytc/AKedOLQyKgGbL2pHz0_w6Uq61GS_oMUGEbrp_YGeXoO5=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZOWp7SmYMssCk8wZ4AaABAg,"Link to my playlist covering all SQL Interview Queries , is not working. something wrong?",10 days ago,Vikas Beniwal,UCI_yTPirPG3le7g02aP8LDg,0,https://yt3.ggpht.com/ytc/AKedOLT3pMbYkf4eWDzUvJf5A9fWVTjaLyVXg4kKPBwmgg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN-QUqx5GCdtm3qkp4AaABAg,recommended video 👍👍👍👍,13 days ago,kaspe ramkumar,UCExrWAET49rVve2TdqEK3Fw,1,https://yt3.ggpht.com/ytc/AKedOLSVSsy0JbfDDbR4g3UFzbNjuq-357gPExfO7ZD7lg=s176-c-k-c0x00ffffff-no-rj,1.0
UgyfPoOWXMnRBZo06D54AaABAg,"Nice content but you should focus on explaining things in detail rather than asking users to check your blog.
You must understand if someone is watching your video, everything should be clear from it rather than checking your blog.",2 weeks ago,Shubham Saini,UCRmdg2taBxUIDUdGq8tivSw,1,https://yt3.ggpht.com/ytc/AKedOLS8GLufhU57ZOhXIzmHyklpcclMgHTSQ7pNo1rUJg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzYiZDIF-rwudq3jGh4AaABAg,good video. :*,2 weeks ago,Isshita Kalia,UCOu1h_uEZm1EcpC6UG2CW3g,1,https://yt3.ggpht.com/ytc/AKedOLRlILr_VKi8mFdJQ7lA1VUmAw7JeSP7IPAykP8inVU=s176-c-k-c0x00ffffff-no-rj,1.0
UgxnQcAnJ9i-wnBTG854AaABAg,please include pivot and unpivot in sql,2 weeks ago,himanshi more,UCdVcH_yGGG8E63GcI-ZqZeg,1,https://yt3.ggpht.com/ytc/AKedOLQHa_F6kI8nrgUMZS5LZbJS04q07LicBFDeNBdXPp4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzld4khxF2nKRTMiMl4AaABAg,"@techTFQ your content is rich and crisp but one observation ""Whereas the below query will return the maximum salary for each department in the employee table"" in the blog should be count of employees in the 2nd part. seems like a typo.",2 weeks ago,madhusmita tripathy,UCAebcC6Wh2A4ktuzBBasYXQ,0,https://yt3.ggpht.com/ytc/AKedOLTDtRJia7SQHHSfNI68ENRVCPz0nEGxYIftH1hWyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzvBpx2jDdBN8iS_p14AaABAg,please make a separate video on indexes,2 weeks ago,Sampad Saha,UCAZsi2My6O2HSNg7m8T5C2Q,1,https://yt3.ggpht.com/n0yFH7JVpU3Y30WZwp-IUViZ3QvqM4PHJ697K4tJawvCREx3bIW5CS1SEkJkk16ybEhtct22JQ=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz-weeqWa5qrN7sl5x4AaABAg,https://youtu.be/JkzkrPnOp4w. SQL video,3 weeks ago,Derartu Fite,UCK5Lcy3S17YB3zxh3uYHw7Q,0,https://yt3.ggpht.com/ytc/AKedOLQTLubnVoKqYXmaDIzyMAFI5Rg0xCYc8LWfZg4VlSU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugymdf29hyfYnFzmHqx4AaABAg,"Hey hi...
could you make a video on.... how to validate the data using sql in different databases as part of ETL
Also If you cover a real time scenario it would be helpful.",3 weeks ago,Kiran Irabatti,UCRrcosyFfgK-OYDMRKTPyKQ,1,https://yt3.ggpht.com/ytc/AKedOLRWlXKuGysLl2r8YRvKPO-CEM5XZoogLxmVa2pVzfw0nkNK7C-JFyQW5GcEfKta=s176-c-k-c0x00ffffff-no-rj,1.0
UgxPQPvFgx-zHhvYxfF4AaABAg,What a great resource your channel is! MashaAllah love your content and your course on lighthouse.,3 weeks ago,Anas Khan,UCJwybActznNrk9EZAIlgVbg,1,https://yt3.ggpht.com/ytc/AKedOLQD-LUI0jsO1JOUQeCdQauLKZIhaeLBYmHK9Q=s176-c-k-c0x00ffffff-no-rj,1.0
UgzqO0KqD73ppq-MdCp4AaABAg,can you plz  provide postgresql_dba interview questions,4 weeks ago,Vijji Marupudi,UCT7LzQuLKdlIS2IOiYmtURw,1,https://yt3.ggpht.com/ErCjPLW3LNMBefCA79Q2CzslhuDfZKLpb5xxF56lThictuTGqe5vmMiJaJpfEcnjmAyNFDQDwg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzs2-xjmFAHZzp6ax14AaABAg,Sir which is best dbms Or sql because I' ve a knowledge of sql insted of dbms. Which is mostly asked in interview.,4 weeks ago,Guru Sahai,UCI5zeVpK_WItxz84w4exivQ,0,https://yt3.ggpht.com/ytc/AKedOLR9APJFOCOP0ZCdjS8OtORYhG85B0lzztAkt2eXET14nyJjunMoauAo683DXmj3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUJC8so0DienxN3MF4AaABAg,"Hi bro, this link ""Link to my playlist covering all SQL Interview Queries: https://www.youtube.com/playlist?list..."" when click, it says it does not exist. Please advise.",1 month ago,Prabhakaran Kesavan,UC-xAPECH_B13RCz7oPJHqQg,1,https://yt3.ggpht.com/ytc/AKedOLR0S_CDVaK0DBeZuJVgH45tgNYyrGiuRSc0pGsTCQ=s176-c-k-c0x00ffffff-no-rj,1.0
