cid,text,time,author,channel,votes,photo,heart
Ugzs3L0CKzwjoVeFPJ94AaABAg,Sir please add more vedio on python 🙏,2 months ago,Taqi Hussain,UCiLkhpyxFo42cwC8_DF_x4w,1,https://yt3.ggpht.com/ytc/AKedOLTvtE8kYP_IPgzcP_FOK4boOSOXy-U0S4WUgA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwmafTQZwZ8uDxyFZx4AaABAg,"Bro your explanations are very easy to understand especially for beginners like me 
Print('Thanks a lot'+'TFQ')
> Thanks a lot TFQ",4 months ago,fero ___,UCWSChJ--gGpi1VCicWiFdyQ,1,https://yt3.ggpht.com/ytc/AKedOLTfH6015ZD3VvH4vJn3Hf9ZRdgtju8tsu1nDk0fGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzUUaBwac394VvDfaR4AaABAg,Watched couple videos SQL and Python then subscribed immediately. You got the talent to make hard easy. Please keep them coming and Thanks for your time!,5 months ago,abderrahim agermoune,UCJryyzsMp78yHjHYjhI_tzQ,1,https://yt3.ggpht.com/ytc/AKedOLS3wICJg19qXGXig6O_UhNjcLzX7IkYBaGq-mdk6mc=s176-c-k-c0x00ffffff-no-rj,1.0
UgxkRIHOaNuwrMwVrZp4AaABAg,Amazing... Clearly explained,8 months ago,swati sinha,UCkHuEWXRghjLkrF27hvGCcg,1,https://yt3.ggpht.com/ytc/AKedOLRobTgbHoHrr76Mn7YauIP_IfCPQqrLXjCpGH8HIA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxuIGA3IkVNS1q58g14AaABAg,Great tutorial,8 months ago,ROHAN PHILIP,UCZnn8MXYUySivA5o7Na039A,1,https://yt3.ggpht.com/4bOZcYEqKu83it7SawfZymKGFMtLBCyvFBCxxMA9SXAqwvkR1YH37EGnA3kVd8eP49EKWR0k=s176-c-k-c0x00ffffff-no-rj,1.0
UgwwrzmjhDw10qnHBzN4AaABAg,I have a problem with the third one in while loop  when I run that if I given a wrong name it runs to next and next how bro??,11 months ago,fero ___,UCWSChJ--gGpi1VCicWiFdyQ,1,https://yt3.ggpht.com/ytc/AKedOLTfH6015ZD3VvH4vJn3Hf9ZRdgtju8tsu1nDk0fGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyZodOav4JJJxgZFHZ4AaABAg,wooooowww what a wonderful session THANKS Man a lot from INDIA  :),11 months ago,fero ___,UCWSChJ--gGpi1VCicWiFdyQ,1,https://yt3.ggpht.com/ytc/AKedOLTfH6015ZD3VvH4vJn3Hf9ZRdgtju8tsu1nDk0fGw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyzfbqJia7ZnXRbjhV4AaABAg,Great way to go 💯💯🙏,1 year ago,Sheeba Parveen,UCLG0THTDn61-uOe8uz3luCg,1,https://yt3.ggpht.com/ytc/AKedOLS_bbDwk2UdEkLpnVA8niKltV1MsVbZ24fICYS3bA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwFCUKFv-Ux8LRKf314AaABAg,Fabulous...Kudos to you for taking time and sharing your knowledge with the unbiased passion and love for tech🙌,1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,1,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzs3L0CKzwjoVeFPJ94AaABAg.9YOSsfqbQkx9YWHLioQKb7,Sure I will,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
