cid,text,time,author,channel,votes,photo,heart
UgxW7haIs8O32aTBTzJ4AaABAg,"Wow! You're amazing, thank you for breaking this down. I actually came across your channel while looking for clarity on something for my class where my professor has done a terrible job explaining. And now I've watched a lot of your videos and learned more from you than my professor. Thank you!!",2 months ago (edited),Jamie,UCL2TpnrqgO3oe81wrHLxdTQ,1,https://yt3.ggpht.com/ytc/AKedOLQGS4myfQPS9KCoSsDxXN38zCA20a4EyRrFHtWHSA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzzgIf9tYdJBo5EjC54AaABAg,Really good one,1 year ago,VIJAYAKUMAR RAJU,UCdNAsu6VaowSEEQkzJQ97zA,1,https://yt3.ggpht.com/ytc/AKedOLS7uzr_A8oJMKOwoeUfqzwiV6CSvU4sVa4QEw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzfr_FRvZ5cLotkAnJ4AaABAg,"Just amazed by the way you have made me understand the concept so easily👌🏻 
Happy that you are making a tutorial on python which really excites me🤩 Waiting for many more🙌🏻
Keep going brother👍🏻",1 year ago,Mohammed Shahil,UCWu0-yMNxR1UyjHDKkXcgMA,1,https://yt3.ggpht.com/ytc/AKedOLTj9o1Oeo0yG7m4Txg3aoh7qvUmtfyXcHIHKl4giA=s176-c-k-c0x00ffffff-no-rj,1.0
UgyPmchpJqHuq4mjjxV4AaABAg,"Hey techTFQ, nice to meet you! I just found your channel and subscribed, love what you're doing! 

I like how clear and detailed your explanations are as well as the depth of knowledge you have surrounding the topic! Since I run a tech education channel as well, I love to see fellow Content Creators sharing, educating, and inspiring a large global audience. I wish you the best of luck on your YouTube Journey, can't wait to see you succeed! Your content really stands out and you've put so much thought into your videos! 

Cheers, happy holidays, and keep up the great work!",1 year ago,EmpowerCode,UCdhCfFRsdI7Jl8ym0tcgrXw,2,https://yt3.ggpht.com/ytc/AKedOLS9LVs_mQA_M7S-llyQyxrfKmuvbBQX93k-rY5wFw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw5xXsGUovyhVjcMdt4AaABAg,Amazing 💯💯 the way you explain is just the best 👍👍💯,1 year ago,Sheeba Parveen,UCLG0THTDn61-uOe8uz3luCg,1,https://yt3.ggpht.com/ytc/AKedOLS_bbDwk2UdEkLpnVA8niKltV1MsVbZ24fICYS3bA=s176-c-k-c0x00ffffff-no-rj,1.0
UgzpuWREa4e0aCFN0914AaABAg,You are just an amazing tutor. Keep doing your good work.. It's incredible to put such quality work and help students n beginners n program enthusiasts learn for FREE:) Keep it up,1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,2,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugyh1vtFMPHwka4g7MF4AaABAg,Good one 👍,1 year ago,Shabana Shabana,UCz3IdFsiG3OM33DNfMvKbxQ,1,https://yt3.ggpht.com/ytc/AKedOLSBV_DN8B_6YRp4u72YC9b0qFtLhZNFaVlbHA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxW7haIs8O32aTBTzJ4AaABAg.9XWQeo5GBd89XXRIL4yWOu,"I am so glad to hear that ☺️
Glad you liked my contents Jamie 🙏🏼",2 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzgIf9tYdJBo5EjC54AaABAg.9J2p-kwrSp59J2r4Zd5dt4,Thanks a lot Vijay ☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzfr_FRvZ5cLotkAnJ4AaABAg.9IzDzac3e5x9IzEwp7oQIA,"Happy to see you are interested in learning python ☺️
Thank you Shahil 😃",1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPmchpJqHuq4mjjxV4AaABAg.9IfphvkFBVj9Ifyo_KW-2g,"Hii.. Thank you very much!
Truly appreciate your effort to reach out and be so kind and positive in your feedback..
Means a lot to receive such feedback..
Thank you and wishing you as well lot of success with your YouTube journey too..",1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPmchpJqHuq4mjjxV4AaABAg.9IfphvkFBVj9IhNDQ8zRHl," @techTFQ  No problem, glad I could help you out! Keep up the awesome work!",1 year ago,EmpowerCode,UCdhCfFRsdI7Jl8ym0tcgrXw,1,https://yt3.ggpht.com/ytc/AKedOLS9LVs_mQA_M7S-llyQyxrfKmuvbBQX93k-rY5wFw=s176-c-k-c0x00ffffff-no-rj,1.0
UgyPmchpJqHuq4mjjxV4AaABAg.9IfphvkFBVj9IiFiKEfHdf,👍☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5xXsGUovyhVjcMdt4AaABAg.9IerGVlvZZ79IfYEu-884h,Thank you cheeb ☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpuWREa4e0aCFN0914AaABAg.9IeHT0z1eYT9IeKBc-3C7q,Thank you ☺️ 😊😊,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyh1vtFMPHwka4g7MF4AaABAg.9IdPMJF6yT89IdUgdEmFp0,Thank you Nabeel ☺️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
