cid,text,time,author,channel,votes,photo,heart
Ugz3cDZDOIhr8Z82NaR4AaABAg,I am eagerly waiting for this playlist,3 months ago,shivank garg,UCw_SAIAl_2HzLrHQ-i69jLg,1,https://yt3.ggpht.com/ytc/AKedOLTtxkftYG2sgCuHMVZOF4TNQfwK7HqRBsI2Zw=s176-c-k-c0x00ffffff-no-rj,1.0
UgzkKtdCgXuD991PWFt4AaABAg,Came across your channel recently and I loved the content!..Thanks for making such an awesome content. Keep sharing knowledge from the data science field.,6 months ago,Samruddhi Deshmukh,UCJR1aaOmo93iJW0be555BSg,3,https://yt3.ggpht.com/ytc/AKedOLQUnCm1Hkk4HqZCdHCgPD-X4LUxJiIRbD1_PqdKOf8=s176-c-k-c0x00ffffff-no-rj,1.0
UgyUtbe0orYRCyBQuHp4AaABAg,"could you explain perspective analysis again ?
i could not catch what you are saying.
thanks and waiting your res.",7 months ago,VINOTH KUMAR 5012,UCE2eK8XqblmdqYFgB3knDHQ,1,https://yt3.ggpht.com/ytc/AKedOLToFM4eMmKz0DO2it9o0bTdrWllIAvW88yU_KCQ_w=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy5ZLtTfBzCtfuQWPR4AaABAg,"Simple, coherent, uncomplicated and lucid explanation without the use of gobbledegook is stunning. Kudos to your efforts and genuine passion for sharing your skills. IMPRESSIVE :)",1 year ago,Fathima Farahna,UCmMR20vhhydELL3JFxZ6MoQ,2,https://yt3.ggpht.com/ytc/AKedOLTsP0crbsq7j0CfAPty-RPMZVW7t34FCVgcSt6RIw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugz3cDZDOIhr8Z82NaR4AaABAg.9X105hl8aRw9X1w3Cqfq2U,What sort of video’s are you waiting for?,3 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3cDZDOIhr8Z82NaR4AaABAg.9X105hl8aRw9X2Qh3Jf6ye, @techTFQ  Data science tutorials for beginners,3 months ago,shivank garg,UCw_SAIAl_2HzLrHQ-i69jLg,0,https://yt3.ggpht.com/ytc/AKedOLTtxkftYG2sgCuHMVZOF4TNQfwK7HqRBsI2Zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzkKtdCgXuD991PWFt4AaABAg.9SukBONoqpI9Sukp1SbryI,"Thank you Samruddhi 🙏🏼
So happy to know you’ve liked my video and found value in them.
Sure will try my best to continue posting good content 🙂",6 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUtbe0orYRCyBQuHp4AaABAg.9Rh8GwERrcY9RkouLfgIbN,"Hi Vinoth,

Firstly I want to thank you 🙏🏼 
Got your feedback on my website and it felt so so good to receive such amazing feedback.. it made my day.. very happy that my content is helping..

Secondly, I am sorry for the delay. It’s been a hectic couple of weeks..

So are you asking abt predictive analytics or prescriptive analytics.. so let me know, I’ll try to give you a simpler example to explain further..",7 months ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUtbe0orYRCyBQuHp4AaABAg.9Rh8GwERrcY9Rm5-7wblJQ,"Once again thanks your response. 
I need explanation regarding prescriptive analysis. That is at last I think in DS video.",7 months ago,VINOTH KUMAR 5012,UCE2eK8XqblmdqYFgB3knDHQ,0,https://yt3.ggpht.com/ytc/AKedOLToFM4eMmKz0DO2it9o0bTdrWllIAvW88yU_KCQ_w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5ZLtTfBzCtfuQWPR4AaABAg.9LsOIplY6Yw9LsUM3Am3ic,Thank you once again... always appreciated ❤️,1 year ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
