cid,text,time,author,channel,votes,photo,heart
UgykQIG90K7yQQcXtaN4AaABAg,"Is it for complete beginners or it also include advance topic like trigger, function and procedures?",1 day ago,Shashank Gupta,UC_fWIZmasNBwjZY-KUsYwSA,0,https://yt3.ggpht.com/ytc/AKedOLSJ8kIleY9mk2Q4CDSy0JKQ_jl7sV6GuqvgGnDttg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwugbMIaZz2kJyqdQt4AaABAg,"I am interested in taking sql live classes ,May I know the price of the course as I could not find it  on light hall.,Also I would be interested to start in next course.it would be great if you give the details when the next course will be going to start?",1 day ago,Sadia Nazeer,UCp1RelgecVVg_j9yZbrciNA,0,https://yt3.ggpht.com/ytc/AKedOLRJkO2ieCsK8H5L6Bj5HxNzXFLXH-huVaglzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxH3POjPgQ9_lrmXs94AaABAg,is there any option like netbaking,3 days ago,syed omar farooq,UCjenT6BtyMp5mhtJiktHEPA,0,https://yt3.ggpht.com/ob9VEYDsF5o1SvTGw_0JlrqMyoyYVazQxPQ-w7jVQrY5cw4sp7uTcjQAjtc-5ln6XRW0_9u5_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5zUWd13Ph_Lo5vXt4AaABAg,sir payment is working,3 days ago,syed omar farooq,UCjenT6BtyMp5mhtJiktHEPA,0,https://yt3.ggpht.com/ob9VEYDsF5o1SvTGw_0JlrqMyoyYVazQxPQ-w7jVQrY5cw4sp7uTcjQAjtc-5ln6XRW0_9u5_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQSBEuYkAwS6Ip_fJ4AaABAg,Sir i want to talk to u,4 days ago,Syed Farook,UC3BtJ2otaqKC5BBNYXzSlaQ,0,https://yt3.ggpht.com/ytc/AKedOLRRGUpSHiT1Umvn7bRxgUELcjkQbJePq2Se1FShtA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvxGQnebPi1HbVZWJ4AaABAg,How to watch these vedios and where to???,4 days ago,kalpna verma,UCSc9reFLlr2wMZA7qtAwOyQ,0,https://yt3.ggpht.com/ytc/AKedOLTdLI7Rk2YNJu4VsLROFR6r89aWXmonaIWzHuPfOlg=s176-c-k-c0x00ffffff-no-rj,1.0
UgzI1JId4HZ3wIbDGk94AaABAg,Yes,4 days ago,Kareem Shah,UC6KLxg8Lc2Ffid536WTMvHw,0,https://yt3.ggpht.com/ytc/AKedOLQUij5fJ_0tehrXI4odXzHGJD4xiSNNFX85oRgbfU4=s176-c-k-c0x00ffffff-no-rj,0.0
UgykyQ6E-RQXIYxLh1x4AaABAg,i always think i am good in sql but after watching your videos in YouTube i start thinking that i have to learn more,5 days ago,RAVINDRA YADAV,UC8g7m4rCms0QWv3NsF8ZLmA,1,https://yt3.ggpht.com/ytc/AKedOLRNylB0QdzBI40enmwYJNHPswtgL6hZiB2hZBfJuQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgyZ_xYiRFNvdYqst8h4AaABAg,"Hi sir, pls do video on ssrs n ssis",7 days ago,t uma,UCDVRVtKNkcnPXITwMN0XPHA,1,https://yt3.ggpht.com/ytc/AKedOLQL9WeBsTtpjRQY1V0tIQBfZuzseH0hyWc0kA=s176-c-k-c0x00ffffff-no-rj,1.0
UgwfL52V0_i8X6bRchx4AaABAg,"Hii sir, can I enroll this course after the live class start also( after April 11th)... Please say sir",7 days ago,Dheeraj Lakkakula,UCFJdvns5nh41mZpr22eiTxQ,1,https://yt3.ggpht.com/ytc/AKedOLQzonFzTM5YDhC1XxnxczsNggmPkAZXjtXS0lyO=s176-c-k-c0x00ffffff-no-rj,1.0
UgyOKL_SyfN5sY73BYp4AaABAg,You are amazing. Your teaching style is at another level. I new k ew SQL can be taught like you do.,7 days ago,raj bhowmick,UCSjdPzYRUdBkxaEJYomCjLg,1,https://yt3.ggpht.com/ytc/AKedOLRUVNxy2EKigyiU65nwTS1gJLChxk5HKqic6vfJfw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwb00DLjUVExf7KbJB4AaABAg,"Why can't you make it sometime early in the morning at IST. So that, it will be easy for people from Eastern or Central time zone to attend after their 9-5 work.",8 days ago,sumanth b,UC_cPkhRSVAzaDR6OkXQIWCA,1,https://yt3.ggpht.com/ytc/AKedOLR1-lcuhlwKQU6KtJ__FYFwHmi-7pH95UsdrgYIml1lQweRpXmzawC0T5-YOr0K=s176-c-k-c0x00ffffff-no-rj,1.0
UgzPKaTDCUOPCoe2Amh4AaABAg,Bro ur way of teaching is excellent and tell how to write queries in easy way,8 days ago,Vamshitha,UCv_iXIfuS0tgfoMSjpbAfBw,1,https://yt3.ggpht.com/ytc/AKedOLQDclsalA3IEBby-jKQM7BdGNkxwfccV1gc8AW_JK4=s176-c-k-c0x00ffffff-no-rj,1.0
UgxRSQKBmypjy5M0STZ4AaABAg,I'm interested . Can you please share details i can't see in video description,8 days ago,RABINDRA JAISWAL,UCoybpcQyLekvIrr_0czUeVg,1,https://yt3.ggpht.com/ytc/AKedOLTMlbWpOw0fXVzwm51Qe2ADsF80_dzP3IyB9A=s176-c-k-c0x00ffffff-no-rj,1.0
Ugx_KZcmicT4eW9oUq14AaABAg,Discord link is broken,8 days ago,Ayo Bishopton,UCyNlBL2R3QOmPZ5daUw57_Q,0,https://yt3.ggpht.com/ytc/AKedOLQn0CgzsFNmP8l9ob5kcHfbavKGtQVv0Wl1IxuvEw=s176-c-k-c0x00ffffff-no-rj,1.0
