cid,text,time,author,channel,votes,photo,heart
UgzXVR4N-YN_8qpmVD14AaABAg,"I am getting an error on the 10th line of the code, where it shows  ""'Response' object has no attribute called 'find_all'. Can you please help me with this.",9 days ago,Monika Bhandari,UCvgYqt0R_PPMzl_SVMRYDhQ,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqcAak3TFel3R6Sid4AaABAg,Best and simplest tutorial so far. I strongly recommend it,2 weeks ago,dma 64,UC40qoXuDC6XUBvC9vyo5ByA,1,https://yt3.ggpht.com/ytc/AKedOLRoHtuqO8GJKoO_CQFEPGyN5VC6sdSHvk1g3zxvhg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwUhdEjJ336l-5Ngx54AaABAg,thanks for saving me!,2 weeks ago,Tasleem khan,UCLUGw4l9tUdm2bkuHqYGDMA,1,https://yt3.ggpht.com/ytc/AKedOLS3I0f26UHJ8fj0oN6sUmVyrDBFajqlT4x-mI_jRg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzc12VPecAFl8Itd3F4AaABAg,"Thank you for the video, please upload code file",2 weeks ago,Narmada Marpadaga,UCyuqPTg1ChonPGEq4uQz3OA,1,https://yt3.ggpht.com/ytc/AKedOLQyDmWmgW3XOB45hrjhlgZQ55x3oTeHOXNlKg=s176-c-k-c0x00ffffff-no-rj,1.0
UgxFs8ohFgMJM4DK_cV4AaABAg,Thank you for this amazing session!,3 weeks ago,Shruthi G,UC9m-RdM_cs4L6Z-G3K9GKWw,1,https://yt3.ggpht.com/ytc/AKedOLTKq3BQX7GdZwf8kBsuOw5VW5wnCZHpynXx=s176-c-k-c0x00ffffff-no-rj,1.0
UgyeasabqCTZ7GkIQel4AaABAg,how can we get the cast of the movies?,3 weeks ago,Abhishek Ramakrishnan,UCHXVY5pDa-iTuBHM9Uwq6Iw,0,https://yt3.ggpht.com/ytc/AKedOLQZ02GIWUBvpjYlvBMd_Fciq8LfuSb0KQTFlbelBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNY5_JtbyTy77BFnR4AaABAg,"amazing video, thank you.",4 weeks ago,Quynh Pham,UC-iwI-15X5NfRq9RePPGTWw,1,https://yt3.ggpht.com/ytc/AKedOLQtn0xQPSF0I8mQPKDeQDN8YUC0V6tf3ECjA56ftQ=s176-c-k-c0x00ffffff-no-rj,1.0
UgxDQwRLx_cFd6hEvhJ4AaABAg,"Sir, please reply actually I am getting error in ""find_all"" to find same tags but it's giving me an error of ""AttributeError: 'NoneType' object has no attribute 'find'.

Please help 😔",1 month ago,Geetu Sethi,UCkdw0kowqUP-CfOM6uWLTNw,0,https://yt3.ggpht.com/ytc/AKedOLQa3I5hYbByQF9wxWqhmlT8hoEn_BKsUJlqMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxoERbi--SpOI_a4_R4AaABAg,Thanks for the video. It's really very helpful and beginner friendly.  🙏,1 month ago,Yogesh Anjana,UCkPqcwITKMXbNSqQ0PH_8yA,1,https://yt3.ggpht.com/ytc/AKedOLQl1LI-hc4yVNRNNxwzfgxqZFYpCEFBUn66kw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy7RvfxurTGILq1rzB4AaABAg,Thanks for your efforts ... It is a excellent tutorial :),1 month ago,Code Craft,UCxnIL1wwdHlWeZ762PUX9GQ,1,https://yt3.ggpht.com/L8aWMZVpJeR4ihN5sYi1-VKcR3RQCkExsSsgh3pSjO3HYzv0v_X7dHmVEzytU3gJDluJXf2eKA=s176-c-k-c0x00ffffff-no-rj,1.0
Ugwc4hOzrADQC9wMSgV4AaABAg,Thanks for your efforts ... It is a excellent tutorial :),1 month ago,Code Craft,UCxnIL1wwdHlWeZ762PUX9GQ,1,https://yt3.ggpht.com/L8aWMZVpJeR4ihN5sYi1-VKcR3RQCkExsSsgh3pSjO3HYzv0v_X7dHmVEzytU3gJDluJXf2eKA=s176-c-k-c0x00ffffff-no-rj,1.0
UgxBegtxZEiuftqMBXJ4AaABAg,excellent sir,1 month ago,Biswajit Biswal,UCpZ2_-tqWvgFHcTljNOuEww,1,https://yt3.ggpht.com/ytc/AKedOLTgW5MAN-IOGfbEGkY4zzivEB4B8RZ5PuJQaeQ19ps4_ufg3zPBZn5NXhe8Zi9P=s176-c-k-c0x00ffffff-no-rj,1.0
UgyA1SItZIWYR1nJdz14AaABAg,Excellent tutorial on web scraping. Loved the way you explained everything with so much ease & great details.,1 month ago,Anoop Bhagat,UC7K2MvjaPStkzuNte9mXzJw,3,https://yt3.ggpht.com/ytc/AKedOLQvbkrtjqDp0YYutD7C6PzoYd0ibZ2FD5P5=s176-c-k-c0x00ffffff-no-rj,1.0
UgzKNSrnPeFFz0nRRn14AaABAg,Your videos are gold mate 👌,1 month ago,Aaron Taylor,UCvsPAlww35CsTDPcb5Hlw_w,1,https://yt3.ggpht.com/ytc/AKedOLRDqAKqmscsq2Zj8aYPzVtMUdAdWxCvS3D8Uw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzq_6WwWNvqBROAb-V4AaABAg,Thankyou so much sir for this wonderful video but i have one question how we convert our output in tabular form using pandas.,1 month ago,Sameer Mehdi,UCOiN_TuZ-Ac3CKOyc9QNduw,1,https://yt3.ggpht.com/ytc/AKedOLRhr2FU8xfATfjAb0BpQt7dWlMADFHODhwjLw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugy_Q7kafznIVhFordp4AaABAg,"Hey, techTFQ you are doing a fantabulous work man. I watch all your videos to learn and try to implement it. I had a doubt  which I hope you will clarify how to get the movie names of the movie in English which are originally in some other language.
For example @31:37 in the above video at number 9 position the name of the movie is The Good, The Bad and the Ugly but in the excel file we get Il buono, il brutto, ill cattivo.",1 month ago,Harish Kumar,UCrZlEue31jMTdmBXTEghiNA,0,https://yt3.ggpht.com/ytc/AKedOLS0pLWK3UIjNrF18vzKdHwt_6k01cy7BnKrDg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYEIClnKpZZFkq5E14AaABAg,"The explanation is bit by bit, Fabulous.",1 month ago,Shubham Awale,UCVdm5pARV82W4YEhb_XtthQ,1,https://yt3.ggpht.com/ytc/AKedOLS9fLz81MzLMH5X-NNlav0hfPWUjvfW8teLzGg3Yw=s176-c-k-c0x00ffffff-no-rj,1.0
Ugw_51aiMNbd5jMoZrZ4AaABAg,Could you please tell me as to how we can scrap posters as well?,2 months ago,Arbaz Khan,UCYDHU9D-gbopiP5xiyor0vQ,0,https://yt3.ggpht.com/ytc/AKedOLT5ZLVFXzBBtSGoE-P6oFxpDhRr2hIMEq0B8jWZXQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoXwRTwaN4QfB_XCZ4AaABAg,Thank you very much for your efforts.,2 months ago,Ravven Hawk,UCUBC0hpr83n4Tjv-GFlbNww,1,https://yt3.ggpht.com/dTU47LIuS6qM9x5HlG2o0uyXrhE6Pm03Icgs7or196XcBbiJne8VbIF7z6L7IZDa906uSKOfUg=s176-c-k-c0x00ffffff-no-rj,1.0
UgwraORWvmptDyuH9lZ4AaABAg,Excelente !!! 👍👍👍,2 months ago,Diego Martin,UCa9_KcAbUlettNCbR2LkM1w,1,https://yt3.ggpht.com/gIQfp5fyFij5w9J271VcucVZK6-3cE_wIx7mHYj7yuppWD50mnKhL6BLwEqD539tC4W5aCrp=s176-c-k-c0x00ffffff-no-rj,1.0
UgzqcAak3TFel3R6Sid4AaABAg.9_AC3SymcuU9_B4_EOiKuB,Thank you 😀,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUhdEjJ336l-5Ngx54AaABAg.9_6VIxBJqnM9_B6Y0GXiT-,Glad this helped Tasleem,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzc12VPecAFl8Itd3F4AaABAg.9_4VaQC-hxT9_B7GOUzgJB,Thanks you. You can join my discord and request there so I can share the scripts over there,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzc12VPecAFl8Itd3F4AaABAg.9_4VaQC-hxT9_BBBVAHYWV, @techTFQ  please let me know how to join your discord. Any link?,2 weeks ago,Narmada Marpadaga,UCyuqPTg1ChonPGEq4uQz3OA,1,https://yt3.ggpht.com/ytc/AKedOLQyDmWmgW3XOB45hrjhlgZQ55x3oTeHOXNlKg=s176-c-k-c0x00ffffff-no-rj,1.0
Ugzc12VPecAFl8Itd3F4AaABAg.9_4VaQC-hxT9_BD8OQ1V4I,You can find the link to join my discord in my channel page,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFs8ohFgMJM4DK_cV4AaABAg.9_--4D5U5JH9_0jqxbCYDA,Glad you liked it,2 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNY5_JtbyTy77BFnR4AaABAg.9Zc53kMrHsK9ZcIfTinGLt,Glad you liked it,4 weeks ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
UgxoERbi--SpOI_a4_R4AaABAg.9ZIfexhnndC9ZIouKY1C-3,Glad this helped,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,1,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7RvfxurTGILq1rzB4AaABAg.9ZEdDmDUXxh9ZF_WirY4wV,Glad you liked it,1 month ago,techTFQ,UCnz-ZXXER4jOvuED5trXfEA,0,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s176-c-k-c0x00ffffff-no-rj,0.0
